MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",89.825915,175.804082,86.012532,10.159811,0.000000,0.014274,3.813382,91.519108,92.771320,32.609232,3.401023,86.012532,5.387932,4.453071,0.318809,86.012532,3.852131,4.052827,2.254853,4,8
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.230524,110.184490,88.203628,5.729737,2.039739,0.000000,4.026895,90.222398,75.368789,98.057611,20.604316,88.203628,1.800323,3.093538,0.835876,88.203628,0.944395,3.475358,1.309985,4,10
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",78.396594,177.580408,76.280147,18.719071,2.884335,0.000000,2.116446,91.190936,69.493225,45.468387,28.390328,76.280147,6.255435,8.054062,3.283323,76.280147,5.537030,7.650288,5.531753,7,18
"Beatles/01_-_Please_Please_Me/04_-_Chains",88.514059,146.494694,84.040015,10.757308,0.300664,0.427968,4.474044,88.588409,94.578247,48.995655,0.519740,84.040015,2.014660,4.513200,4.229449,84.040015,1.809874,7.556958,1.390476,4,10
"Beatles/01_-_Please_Please_Me/05_-_Boys",80.003400,147.513469,76.550470,16.254615,3.741985,0.000000,3.452930,79.288238,96.547070,-nan,0.000000,76.550470,4.968470,4.903124,6.383021,76.550470,4.968470,10.763591,0.522554,3,13
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",81.817575,140.576508,78.779784,14.512573,3.417550,0.252301,3.037791,81.100315,60.457631,82.059548,36.252276,78.779784,5.806660,5.233123,3.472791,78.779784,3.861597,4.496071,6.154905,9,11
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",83.654190,123.376327,80.069723,14.924190,1.421620,0.000000,3.584467,83.168529,88.106312,81.752538,8.309221,80.069723,3.002780,9.960344,1.961065,80.069723,1.724397,11.650427,1.549365,7,11
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.469059,142.759184,84.271121,9.733339,2.797601,0.000000,3.197939,87.055089,96.802061,-nan,0.000000,84.271121,0.000000,7.673340,2.059999,84.271121,0.000000,9.733339,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",93.596056,125.753469,90.050326,6.090163,0.313781,0.000000,3.545730,92.836290,85.200057,97.330251,11.254214,90.050326,0.571775,2.850291,2.668097,90.050326,0.412734,5.024595,0.652834,8,12
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.413303,158.066939,86.419526,5.630083,3.956614,0.000000,3.993777,91.292987,62.214002,87.660723,33.792221,86.419526,3.688614,1.164114,0.777354,86.419526,1.581962,1.760445,2.287676,5,8
