MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",83.802458,175.804082,82.306668,13.865676,0.000000,2.331866,1.495790,-nan,0.000000,-nan,0.000000,99.739075,2.535909,88.410276,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,83.244464,4.305750,5.802227,0.997219,82.306668,2.938749,5.406017,5.520910,5,17
"Beatles/01_-_Please_Please_Me/02_-_Misery",88.963352,110.184490,88.641978,7.331127,0.000000,3.705521,0.321374,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.490101,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.890015,20.604316,88.641978,2.873862,2.360490,2.096776,88.641978,0.790304,4.067640,2.473183,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",70.295744,177.580408,69.723681,28.159873,0.000000,1.544383,0.572064,-nan,0.000000,-nan,0.000000,0.000000,1.196858,85.832117,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.110018,28.390328,71.081238,11.832510,4.635981,2.514532,69.723681,6.725029,2.198068,19.236776,8,20
"Beatles/01_-_Please_Please_Me/04_-_Chains",73.831910,146.494694,73.308847,21.789140,0.000000,4.378950,0.523062,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.511319,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,74.133067,6.335737,11.991187,1.369967,73.308847,2.499220,3.326778,15.963142,4,11
"Beatles/01_-_Please_Please_Me/05_-_Boys",74.672621,147.513469,73.714394,22.832676,0.000000,2.494703,0.958227,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.350731,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.714394,3.888500,9.268000,8.952095,73.714394,3.440974,12.667442,6.724261,3,13
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",82.598239,140.576508,82.331892,14.378016,0.000000,3.023745,0.266347,-nan,0.000000,0.000000,2.560239,-nan,0.000000,81.575509,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.826470,36.252276,83.422058,6.690339,4.401042,2.174477,82.331892,4.239470,3.111707,7.026838,10,12
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",81.967901,123.376327,81.415050,15.000483,0.000000,3.031617,0.552850,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.540141,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,60.833553,4.149906,85.426400,2.604841,7.171052,1.213240,81.415050,6.040550,8.119997,0.839936,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.257885,142.759184,73.995610,22.806451,0.000000,2.935663,0.262275,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.440118,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.995610,1.179221,20.160355,1.466876,73.995610,1.179221,20.464274,1.162956,3,6
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",90.755405,125.753469,90.464587,5.989684,0.000000,3.254911,0.290818,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.214545,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.577104,11.254214,90.464587,1.866606,1.908949,1.992552,90.464587,0.480081,3.228358,2.281245,8,10
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",81.480766,158.066939,81.019868,14.986355,0.000000,3.532880,0.460897,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.175729,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.102981,33.792221,81.019868,8.759732,4.087245,2.139378,81.019868,6.604435,5.738488,2.643431,5,12
