MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",90.472949,175.804082,86.669335,9.498928,0.004080,0.024042,3.803614,-nan,0.000000,-nan,0.000000,0.000000,2.535909,96.048031,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,90.439419,2.773473,2.664398,0.290974,86.669335,4.652860,2.888769,1.957300,5,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",96.061032,110.184490,92.034137,3.623610,0.315358,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.963306,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.306587,20.604316,92.034137,1.072237,2.005138,0.546235,92.034137,0.000000,2.523557,1.100053,4,5
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",86.192931,177.580408,84.076484,12.544535,1.262535,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,93.991748,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.036297,28.390328,85.201007,4.630981,5.235279,1.553752,84.076484,4.213167,2.989130,5.342237,8,13
"Beatles/01_-_Please_Please_Me/04_-_Chains",94.124182,146.494694,89.916360,5.174490,0.007138,0.694190,4.207823,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.816054,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.368888,0.519740,89.916360,0.562571,4.080264,0.531655,89.916360,0.278743,4.574917,0.320831,4,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",88.707706,147.513469,85.277228,10.732229,0.537613,0.022452,3.430479,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.327101,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.277228,1.882200,5.226965,3.623064,85.277228,1.882200,8.766307,0.083723,3,6
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",85.352661,140.576508,82.314869,13.723324,0.671715,0.252301,3.037791,-nan,0.000000,0.000000,2.560239,-nan,0.000000,86.719995,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.563414,36.252276,83.908308,6.458743,3.948909,1.722233,82.314869,5.004951,2.112943,6.605429,10,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",86.421298,123.376327,82.836831,13.316137,0.262565,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.902734,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,87.395901,4.149906,86.124562,0.868235,6.860673,2.299498,82.836831,3.287731,8.071485,1.956921,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",89.883963,142.759184,86.686024,9.573982,0.542055,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.549771,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.686024,0.765930,8.404509,0.403543,86.686024,0.560384,8.726401,0.287197,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",97.888735,125.753469,94.343005,1.630490,0.480775,0.000000,3.545730,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.639141,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.113115,11.254214,94.343005,0.000000,0.751235,0.879255,94.343005,0.000000,1.250008,0.380483,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",94.918085,158.066939,90.942632,5.061653,0.001938,0.018325,3.975452,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.621254,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.918186,33.792221,90.942632,2.250273,1.897695,0.913685,90.942632,0.676928,1.700371,2.684354,5,7
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",83.553220,119.353469,79.716641,16.025999,0.414213,0.006567,3.836580,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.105872,45.786020,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.446216,50.370833,79.716641,6.995799,2.801825,6.228375,79.716641,2.333892,6.063305,7.628802,13,16
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",84.480922,125.152653,80.803291,14.151395,0.822995,0.544688,3.677631,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.004242,39.992892,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.925924,55.784789,80.803291,3.640136,5.619475,4.891784,80.803291,2.603009,7.181042,4.367343,6,8
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",91.344409,112.875102,86.332425,8.547950,0.033506,0.074135,5.011984,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.194895,74.661011,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.028622,20.252870,86.332425,2.977103,3.290107,2.280739,86.332425,2.216387,3.234241,3.097322,8,8
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",96.077336,153.155918,94.591808,3.898285,0.000486,0.023893,1.485528,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.041479,98.490579,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.591808,0.000000,1.634344,2.263941,94.591808,0.000000,3.898285,0.000000,3,3
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",86.775725,125.498415,82.985299,11.463285,1.760990,0.000000,3.790426,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.020303,73.363138,-nan,0.000000,-nan,0.000000,0.000000,2.941848,77.752511,19.904588,84.405330,6.457725,3.226939,0.358590,82.985299,5.707756,3.507222,2.248307,11,12
