MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",93.676179,175.804082,90.674693,5.497650,0.000000,0.826170,3.001486,-nan,0.000000,-nan,0.000000,0.000000,2.535909,98.657179,90.235411,-nan,0.000000,-nan,0.000000,48.543693,3.401023,-nan,0.000000,93.157733,1.690581,1.264532,0.059498,90.674693,2.509455,1.198492,1.789703,5,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",97.081100,110.184490,93.366859,2.606246,0.000000,0.312655,3.714241,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.765459,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.182639,20.604316,93.366859,1.986559,0.420375,0.199312,93.366859,0.000000,0.535590,2.070655,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",89.970285,177.580408,87.873595,9.520921,0.489038,0.019756,2.096690,-nan,0.000000,-nan,0.000000,0.000000,1.196858,96.889698,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.439591,28.390328,90.156381,5.059081,2.133596,0.045458,87.873595,5.592696,0.444440,3.483785,8,10
"Beatles/01_-_Please_Please_Me/04_-_Chains",95.015203,146.494694,91.512271,3.585717,0.000000,1.399080,3.502932,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.758265,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,91.512271,0.519740,3.009773,0.056203,91.512271,0.519740,2.527064,0.538913,4,4
"Beatles/01_-_Please_Please_Me/05_-_Boys",91.246008,147.513469,88.205732,7.479838,0.861500,0.412654,3.040276,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.360340,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.205732,0.000000,5.413299,2.066539,88.205732,0.000000,7.479838,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",89.352778,140.576508,86.391223,10.057230,0.261454,0.328538,2.961555,-nan,0.000000,86.560374,2.560239,-nan,0.000000,87.392937,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.619948,36.252276,86.391223,5.316472,2.833254,1.907504,86.391223,4.107308,1.378723,4.571199,10,10
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",92.296627,123.376327,88.790022,7.549176,0.076335,0.077862,3.506605,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.821058,88.106312,-nan,0.000000,30.461086,4.159316,-nan,0.000000,95.898858,4.149906,91.051072,0.293334,4.385286,0.609506,88.790022,2.261050,4.363499,0.924628,7,8
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",92.273740,142.759184,89.076889,7.341663,0.383509,0.001088,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.019620,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.076889,0.000000,7.110936,0.230727,89.076889,0.000000,7.341663,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",93.859820,125.753469,93.545920,2.908350,0.000000,3.231830,0.313899,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.794802,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.422637,11.254214,93.545920,0.000000,1.157513,1.750838,93.545920,0.000000,2.174786,0.733564,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",98.017005,158.066939,94.500598,1.505625,0.000000,0.477370,3.516407,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.077836,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.083309,33.792221,94.500598,0.735091,0.599611,0.170924,94.500598,0.000000,0.721797,0.783828,5,5
