MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",88.250090,175.804082,84.436707,11.735636,0.000000,0.014274,3.813382,-nan,0.000000,-nan,0.000000,80.235775,2.535909,91.318918,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,86.012532,5.387932,4.453071,0.318809,84.436707,5.427956,3.481123,2.826557,5,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.230524,110.184490,88.203628,5.729737,2.039739,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.222398,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.057611,20.604316,88.203628,1.800323,3.093538,0.835876,88.203628,0.944395,3.475358,1.309985,4,10
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",77.694358,177.580408,75.577912,19.421307,2.884335,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,91.760791,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.468387,28.390328,76.280147,6.255435,8.054062,3.283323,75.577912,6.239266,7.552063,5.629978,8,18
"Beatles/01_-_Please_Please_Me/04_-_Chains",88.514059,146.494694,84.040015,10.757308,0.300664,0.427968,4.474044,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.588409,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.995655,0.519740,84.040015,2.014660,4.513200,4.229449,84.040015,1.809874,7.556958,1.390476,4,10
"Beatles/01_-_Please_Please_Me/05_-_Boys",80.003400,147.513469,76.550470,16.254615,3.741985,0.000000,3.452930,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.288238,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.550470,4.968470,4.903124,6.383021,76.550470,4.968470,10.763591,0.522554,3,13
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",80.465998,140.576508,77.428207,15.864151,3.417550,0.252301,3.037791,-nan,0.000000,0.000000,2.560239,-nan,0.000000,82.352158,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.059548,36.252276,78.779784,5.806660,5.233123,3.472791,77.428207,5.213174,3.287410,7.363567,10,11
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",80.771723,123.376327,77.187256,17.806657,1.421620,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.168529,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,94.231837,4.149906,80.069723,3.002780,9.960344,1.961065,77.187256,4.606864,10.373578,2.826214,7,11
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.137013,142.759184,83.939075,10.065385,2.797601,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.712073,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.271121,0.000000,7.673340,2.059999,83.939075,0.332046,9.645097,0.088242,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",93.596056,125.753469,90.050326,6.090163,0.313781,0.000000,3.545730,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.836290,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.330251,11.254214,90.050326,0.571775,2.850291,2.668097,90.050326,0.412734,5.024595,0.652834,8,12
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.286775,158.066939,86.292998,5.756612,3.956614,0.000000,3.993777,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.089611,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.660723,33.792221,86.419526,3.688614,1.164114,0.777354,86.292998,1.708491,1.760445,2.287676,5,9
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",77.840968,119.353469,73.997822,19.254600,2.904432,0.000000,3.843147,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.957904,45.786020,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.499114,50.370833,73.997822,4.205241,7.272838,6.854889,73.997822,2.790168,11.748654,4.715778,13,24
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",72.164088,125.152653,67.941769,25.783771,2.052140,0.000000,4.222320,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.858319,39.992892,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.445553,55.784789,68.181476,6.800523,8.614691,9.569533,67.941769,6.023375,12.944573,6.815823,6,21
