MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",95.125809,175.804082,91.322195,4.846069,0.004080,0.024042,3.803614,94.956815,96.172344,96.168264,91.322195,0.000000,4.846069,0.000000,3,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",96.061032,110.184490,92.034137,3.623610,0.315358,0.000000,4.026895,95.895758,95.973105,95.657746,92.034137,0.000000,3.623610,-0.000000,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",90.406098,177.580408,88.289652,8.331367,1.262535,0.000000,2.116446,90.198658,97.883554,96.621019,88.289652,0.000000,8.331367,-0.000000,5,10
"Beatles/01_-_Please_Please_Me/04_-_Chains",94.402925,146.494694,90.195102,4.895747,0.007138,0.694190,4.207823,94.844386,95.097988,95.090850,90.195102,0.000000,4.895747,-0.000000,3,6
"Beatles/01_-_Please_Please_Me/05_-_Boys",90.589906,147.513469,87.159427,8.850030,0.537613,0.022452,3.430479,90.276616,96.547070,96.009457,87.159427,0.000000,8.850030,0.000000,3,5
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",90.822765,147.774694,87.932946,8.298229,0.638995,0.240011,2.889819,90.774019,96.870170,96.231175,87.932946,0.000000,8.298229,0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",89.709029,123.376327,86.124562,10.028406,0.262565,0.000000,3.584467,89.326439,96.415533,96.152968,86.124562,0.000000,10.028406,-0.000000,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",90.444347,142.759184,87.246409,9.013598,0.542055,0.000000,3.197939,90.128668,96.802061,96.260007,87.246409,0.000000,9.013598,0.000000,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",97.888735,125.753469,94.343005,1.630490,0.480775,0.000000,3.545730,97.811123,96.454270,95.973496,94.343005,0.000000,1.630490,-0.000000,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",95.595013,158.066939,91.619561,4.384725,0.001938,0.018325,3.975452,95.430856,96.006223,96.004285,91.619561,0.000000,4.384725,-0.000000,5,5
