MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",93.678046,175.804082,89.864664,6.307680,0.000000,0.014274,3.813382,93.441274,96.172344,96.172344,89.864664,0.000000,6.307680,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",93.174919,110.184490,89.148023,4.785342,2.039739,0.000000,4.026895,92.888548,95.973105,93.933366,89.148023,0.000000,4.785342,-0.000000,4,5
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",83.933624,177.580408,81.817178,13.182041,2.884335,0.000000,2.116446,83.586236,97.883554,94.999219,81.817178,0.000000,13.182041,0.000000,5,8
"Beatles/01_-_Please_Please_Me/04_-_Chains",90.323934,146.494694,85.849890,8.947434,0.300664,0.427968,4.474044,90.275191,95.097988,94.797324,85.849890,0.000000,8.947434,0.000000,3,6
"Beatles/01_-_Please_Please_Me/05_-_Boys",84.971870,147.513469,81.518940,11.286145,3.741985,0.000000,3.452930,84.434401,96.547070,92.805085,81.518940,0.000000,11.286145,0.000000,3,8
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",86.376747,147.774694,83.486928,10.132162,3.251080,0.240011,2.889819,86.184352,96.870170,93.619090,83.486928,0.000000,10.132162,0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.378587,123.376327,81.794120,13.199792,1.421620,0.000000,3.584467,84.835003,96.415533,94.993912,81.794120,0.000000,13.199792,0.000000,7,8
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.469059,142.759184,84.271121,9.733339,2.797601,0.000000,3.197939,87.055089,96.802061,94.004460,84.271121,0.000000,9.733339,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",94.008790,125.753469,90.463060,5.677429,0.313781,0.000000,3.545730,93.788548,96.454270,96.140489,90.463060,0.000000,5.677429,-0.000000,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",91.995265,158.066939,88.001488,4.048121,3.956614,0.000000,3.993777,91.662275,96.006223,92.049609,88.001488,0.000000,4.048121,0.000000,5,5
