MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",71.351640,175.804082,67.538258,28.634086,0.000000,0.014274,3.813382,74.174692,89.126356,-nan,0.000000,8.779515,3.644964,32.609232,3.401023,-nan,0.000000,67.538258,23.236510,5.019448,0.378128,0.000000,67.538258,22.326406,3.993508,2.314172,5,13
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.230524,110.184490,88.203628,5.729737,2.039739,0.000000,4.026895,90.222398,75.368789,-nan,0.000000,-nan,0.000000,98.057611,20.604316,-nan,0.000000,88.203628,1.800323,3.093538,0.835876,0.000000,88.203628,0.944395,3.475358,1.309985,4,10
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",73.466962,177.580408,71.350516,23.648703,2.884335,0.000000,2.116446,86.707540,64.705795,-nan,0.000000,53.522203,4.787431,44.674983,28.390328,-nan,0.000000,71.350516,10.285605,8.474987,3.761861,0.000000,71.350516,10.466662,7.171750,6.010291,7,24
"Beatles/01_-_Please_Please_Me/04_-_Chains",77.921469,146.494694,73.447425,21.349899,0.300664,0.427968,4.474044,90.144060,71.809188,-nan,0.000000,37.160329,22.769059,48.995655,0.519740,-nan,0.000000,73.447425,11.956991,3.241531,3.182574,2.832279,73.447425,12.402465,3.054600,5.892834,7,17
"Beatles/01_-_Please_Please_Me/05_-_Boys",69.096306,147.513469,65.643376,27.161709,3.741985,0.000000,3.452930,67.991060,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.643376,15.875564,4.903124,6.238024,0.144997,65.643376,15.875564,10.553056,0.733089,3,17
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",67.307133,138.919232,64.233101,28.979235,3.458321,0.255311,3.074032,83.312656,47.810678,0.910404,7.906845,4.223172,4.268376,75.926792,12.354255,60.698790,24.330503,64.233101,19.572803,5.572621,3.312993,0.520819,64.233101,19.394173,1.802466,7.782596,13,17
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",83.329979,123.376327,79.745511,15.248401,1.421620,0.000000,3.584467,82.800552,88.106312,-nan,0.000000,-nan,0.000000,81.752538,8.309221,-nan,0.000000,79.745511,3.326992,9.960344,1.961065,0.000000,79.745511,2.048609,11.650427,1.549365,7,13
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.152279,142.759184,83.954340,10.050120,2.797601,0.000000,3.197939,86.727843,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.954340,0.316780,7.639649,2.023873,0.069817,83.954340,0.316780,9.629832,0.103508,3,6
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",91.932673,125.753469,88.386943,7.753546,0.313781,0.000000,3.545730,92.632638,83.076620,-nan,0.000000,22.469428,2.123436,97.330251,11.254214,-nan,0.000000,88.386943,2.235158,2.850291,2.350014,0.318083,88.386943,2.076117,4.405501,1.271928,8,14
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",88.641902,158.066939,84.648125,7.401485,3.956614,0.000000,3.993777,88.649093,62.214002,-nan,0.000000,-nan,0.000000,87.286292,33.792221,-nan,0.000000,84.648125,5.460016,1.164114,0.777354,0.000000,84.648125,3.353363,1.760445,2.287676,5,11
