MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",92.728595,175.804082,89.779941,6.392403,0.000000,0.879002,2.948655,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.851279,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,0.000000,1.109055,-nan,0.000000,-nan,0.000000,49.320393,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.779941,5.342136,0.957824,0.092443,0.000000,89.779941,3.664738,0.970982,1.756683,6,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",96.794760,110.184490,93.080519,2.892585,0.000000,0.312655,3.714241,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.364353,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.260146,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.080519,1.975257,0.526416,0.390912,0.000000,93.080519,0.000000,0.896017,1.996569,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",87.474789,177.580408,85.378099,12.016417,0.489038,0.019756,2.096690,-nan,0.000000,-nan,0.000000,0.000000,1.196858,96.379529,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.999994,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.697841,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.739965,7.348119,2.268059,0.038373,0.000000,85.378099,7.785710,0.334448,3.896259,8,10
"Beatles/01_-_Please_Please_Me/04_-_Chains",83.563017,146.494694,80.060085,15.037903,0.000000,1.399080,3.502932,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.948175,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.015988,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.060085,11.853848,2.752896,0.407748,0.023412,80.060085,11.853848,2.291418,0.892637,7,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",88.583908,147.513469,85.543631,10.157679,0.845759,0.412654,3.040276,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.603032,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.543631,1.986755,5.887414,2.283511,0.000000,85.543631,1.986755,7.906730,0.264194,3,5
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",66.752288,138.919232,63.755403,32.650681,0.264574,0.332457,2.996885,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.879311,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,0.000000,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.971625,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.128090,24.330503,63.755403,26.571136,3.904104,1.991771,0.183670,63.755403,27.799572,1.103593,3.747517,14,12
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",91.176714,123.376327,87.670109,8.669089,0.076335,0.077862,3.506605,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.464521,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.818552,4.159316,-nan,0.000000,96.352372,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.648852,0.349796,5.194565,1.145986,0.000000,87.670109,1.978743,5.483412,1.206934,7,8
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",90.178992,142.759184,86.982142,9.322555,0.497365,0.001088,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.855671,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.072807,0.000000,8.984897,0.246992,0.000000,86.982142,0.090665,8.720745,0.511144,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.933196,125.753469,92.619297,3.834974,0.000000,3.231830,0.313899,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.062569,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.093801,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.619297,2.088181,0.819309,0.892228,0.035255,92.619297,2.088181,1.332153,0.414640,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",98.526466,158.066939,95.010059,0.996164,0.000000,0.477370,3.516407,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.926312,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.028831,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.010059,0.468776,0.293725,0.233663,0.000000,95.010059,0.000000,0.439936,0.556228,5,5
