Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,62,0.944402,0.945493,0.944402,0.946586
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,48,0.960610,0.968824,0.977179,0.960610
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,81,0.902911,0.917704,0.932989,0.902911
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,41,0.920905,0.932677,0.920905,0.944754
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,65,0.862346,0.899727,0.940496,0.862346
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,78,0.870902,0.914810,0.870902,0.963380
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,74,0.910762,0.918439,0.910762,0.926248
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,64,0.918936,0.920808,0.918936,0.922688
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,66,0.978887,0.980631,0.978887,0.982381
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,58,0.949181,0.959110,0.969248,0.949181
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,102,0.906447,0.930998,0.906447,0.956916
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,52,0.824661,0.862136,0.824661,0.903179
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,63,0.941392,0.942028,0.941392,0.942664
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,102,0.906548,0.940480,0.906548,0.977050
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,67,0.883809,0.908902,0.935462,0.883809
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",124.551837,45,47,0.915548,0.927195,0.939142,0.915548
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",129.567347,71,68,0.924511,0.930583,0.924511,0.936735
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",149.394286,77,90,0.897132,0.921719,0.947692,0.897132
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",108.016327,63,60,0.888032,0.907574,0.888032,0.927995
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",136.751020,91,85,0.887701,0.918189,0.887701,0.950845
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",156.734694,41,45,0.949250,0.962477,0.976076,0.949250
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",167.627755,65,72,0.891373,0.904051,0.917095,0.891373
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",152.581224,85,83,0.902375,0.921853,0.902375,0.942191
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",182.909388,55,57,0.885488,0.893307,0.901266,0.885488
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",118.987755,30,29,0.953204,0.961758,0.953204,0.970467
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",147.670204,70,60,0.915346,0.928268,0.915346,0.941561
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",128.339592,65,69,0.918914,0.924084,0.929313,0.918914
"Beatles/02_-_With_the_Beatles/14_-_Money",167.444898,88,83,0.866421,0.872036,0.866421,0.877725
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",152.555102,95,81,0.868572,0.915076,0.868572,0.966842
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",164.101224,136,124,0.897976,0.934271,0.897976,0.973624
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",142.053878,76,69,0.937428,0.950945,0.937428,0.964858
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",118.700408,108,108,0.864689,0.870868,0.864689,0.877136
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",151.092245,60,67,0.918658,0.945310,0.973554,0.918658
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",130.089796,99,76,0.765799,0.846343,0.765799,0.945822
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",134.948571,58,61,0.949025,0.952498,0.955997,0.949025
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",133.407347,72,67,0.913346,0.925200,0.913346,0.937366
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",107.755102,38,38,0.950387,0.951700,0.950387,0.953016
"Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today",158.850612,93,40,0.562739,0.714483,0.562739,0.978278
"Beatles/03_-_A_Hard_Day's_Night/11_-_When_I_Get_Home",138.370612,54,54,0.969896,0.969896,0.969896,0.969896
"Beatles/03_-_A_Hard_Day's_Night/12_-_You_Can't_Do_That",157.648980,58,59,0.917625,0.923677,0.917625,0.929809
"Beatles/03_-_A_Hard_Day's_Night/13_-_I'll_Be_Back",140.434286,65,63,0.958353,0.964066,0.958353,0.969847
