Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,58,0.947198,0.962466,0.947198,0.978234
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,45,0.971654,0.979752,0.971654,0.987986
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,64,0.907401,0.936456,0.907401,0.967434
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,42,0.942835,0.943148,0.943461,0.942835
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,51,0.918486,0.926192,0.918486,0.934027
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,78,0.878270,0.922791,0.878270,0.972066
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,73,0.945577,0.953400,0.945577,0.961353
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,62,0.946622,0.950220,0.946622,0.953847
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,65,0.944775,0.958813,0.944775,0.973274
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,54,0.980170,0.980170,0.980170,0.980170
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,101,0.909273,0.934114,0.909273,0.960350
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,47,0.803147,0.856127,0.803147,0.916592
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,60,0.957302,0.966235,0.957302,0.975335
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,105,0.909822,0.940453,0.909822,0.973219
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,56,0.945406,0.955604,0.945406,0.966024
