MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",90.292572,229.663764,84.574630,8.613381,0.039336,1.054712,5.717942,84.688491,54.409019,99.170818,38.818328,84.574630,2.414730,5.351913,0.846737,84.574630,0.000000,5.869026,2.744355,9,9
"JayChou-02",79.258011,321.917800,79.063260,18.329907,0.000000,2.412082,0.194751,79.768283,58.878406,83.336793,38.514761,79.063260,7.781342,7.942888,2.605678,79.063260,0.548210,9.001354,8.780343,11,11
"JayChou-03",89.919898,195.357143,78.330902,8.882760,0.034439,1.162903,11.588996,89.051474,53.030347,90.907768,34.217753,78.330902,2.828844,3.161603,2.892313,78.330902,0.000000,5.026633,3.856127,8,9
"JayChou-04",80.754776,246.819320,77.767987,15.142734,0.044337,4.058152,2.986789,82.714181,61.991264,85.559349,30.963794,77.767987,6.004925,6.041334,3.096475,77.767987,1.485751,7.807716,5.849267,8,11
"JayChou-05",82.921707,286.002018,81.240004,13.461507,0.091408,3.525378,1.681703,87.848083,62.148904,81.617973,32.644014,81.240004,5.850243,5.936062,1.675202,81.240004,0.659954,6.200732,6.600821,18,19
"JayChou-06",90.395911,210.971882,90.197800,6.804961,0.000000,2.799129,0.198111,92.380425,66.111205,94.278153,30.891555,90.197800,1.808475,2.850161,2.146324,90.197800,0.000000,3.136075,3.668886,7,7
"JayChou-07",78.817861,222.881587,74.470505,18.724320,0.096123,2.361697,4.347356,85.486606,49.252636,73.495319,44.038312,74.470505,5.944220,3.134455,9.645645,74.470505,0.882606,9.524932,8.316782,9,8
"JayChou-08",61.100949,229.551383,60.925540,37.096927,0.006668,1.795457,0.175409,52.340561,53.560598,73.966056,44.468536,60.925540,10.046896,26.790143,0.259888,60.925540,1.010776,25.856793,10.229358,8,9
"JayChou-09",84.117278,306.033288,82.842595,13.405275,0.007587,2.456953,1.287590,85.447524,63.963608,87.289135,32.291850,82.842595,5.240030,6.357889,1.807356,82.842595,1.200661,7.450622,4.753992,15,15
"JayChou-10",88.595445,292.740385,86.350710,10.106066,0.031728,1.245506,2.265991,90.091565,55.941296,88.667810,40.547207,86.350710,3.670770,2.199150,4.236145,86.350710,0.468813,2.112751,7.524502,9,10
"JayChou-11",88.286643,226.495692,87.521610,10.990543,0.010252,0.712562,0.765033,86.513462,70.173690,94.578966,28.348714,87.521610,1.468144,6.011377,3.511022,87.521610,0.857800,7.764720,2.368023,16,18
"JayChou-12",93.555575,289.258073,88.015394,4.879149,0.000000,1.565276,5.540181,93.070647,67.219411,99.138157,25.675132,88.015394,1.191060,2.216602,1.471487,88.015394,0.000000,3.157966,1.721183,6,7
"JayChou-13",75.594308,217.481610,73.606307,23.698253,0.014201,0.693238,1.988001,77.697940,55.242391,72.924796,42.076370,73.606307,15.982043,4.349126,3.367084,73.606307,1.336199,4.518630,17.843425,9,11
"JayChou-14",79.082782,236.171678,78.953260,19.295353,0.273582,1.348283,0.129523,76.273643,70.233883,89.730765,28.288311,78.953260,5.702537,12.959278,0.633537,78.953260,0.000000,12.971635,6.323718,5,6
"JayChou-15",81.201108,256.435601,79.817885,17.722298,0.063384,1.013210,1.383222,88.172200,74.587644,61.054769,23.015923,79.817885,6.967930,9.941753,0.812614,79.817885,0.786670,7.034807,9.900821,13,15
"JayChou-16",94.982773,248.726689,94.532643,4.661493,0.009336,0.346399,0.450129,93.253194,53.879428,97.714926,45.324044,94.532643,0.456675,1.388277,2.816540,94.532643,0.025591,2.515524,2.120378,8,8
"JayChou-17",83.543954,292.381973,83.464537,15.727229,0.000000,0.728817,0.079417,83.933955,64.034304,84.528323,35.157462,83.464537,7.550385,6.231784,1.945061,83.464537,2.778926,4.964315,7.983988,13,14
"JayChou-18",96.025089,248.416961,94.839121,3.033430,0.000000,0.941481,1.185968,96.942104,65.274380,96.817588,32.598172,94.839121,0.823226,1.241238,0.968966,94.839121,0.029447,1.113673,1.890310,9,9
"JayChou-19",90.430513,225.834490,89.010142,9.129054,0.000000,0.440433,1.420371,92.585229,62.902848,87.328562,35.236348,89.010142,4.127980,2.312301,2.688773,89.010142,1.521121,3.490496,4.117438,9,10
"JayChou-20",86.784802,230.537664,85.403214,11.352600,0.000000,1.862598,1.381587,87.348583,68.445606,90.486610,28.310208,85.403214,4.140218,3.788777,3.423605,85.403214,0.879370,6.029216,4.444013,9,9
"JayChou-21",84.055995,227.925782,83.596821,15.408793,0.000000,0.535212,0.459174,90.138696,70.053555,70.639052,28.952059,83.596821,10.379816,2.812001,2.216977,83.596821,0.099706,4.344235,10.964851,9,11
"JayChou-22",79.548625,222.908798,77.749012,18.481512,0.000000,1.969863,1.799613,79.954393,45.006977,81.532731,51.223546,77.749012,10.675751,6.504363,1.301398,77.749012,0.187808,6.457579,11.836125,15,17
"JayChou-23",86.326519,252.586349,83.469204,11.272802,0.000000,2.400679,2.857315,87.959414,46.252636,88.237187,48.489370,83.469204,1.861881,4.440663,4.970259,83.469204,0.098805,5.334329,5.839668,15,16
"JayChou-24",91.095730,278.120023,89.985327,8.263892,0.000000,0.622009,1.128773,88.569394,52.897968,95.110756,45.351250,89.985327,3.466610,1.692290,3.104991,89.985327,0.849296,3.455807,3.958788,16,19
"JayChou-25",76.157264,255.530317,74.848741,22.084062,0.000000,1.729079,1.338118,54.158620,43.258629,95.801128,53.674174,74.848741,10.677922,9.113580,2.292560,74.848741,1.541909,5.435169,15.106984,9,11
"JayChou-26",83.375975,251.105986,81.283915,14.399969,0.025520,2.173857,2.116740,84.252387,55.079921,85.843492,40.629482,81.283915,6.392256,6.748747,1.258966,81.283915,2.036460,2.047965,10.315544,8,10
"JayChou-27",89.874648,292.466961,88.655299,9.737480,0.008629,0.363194,1.235397,87.428056,59.390750,94.156630,39.010659,88.655299,5.213334,3.780817,0.743329,88.655299,1.787089,4.251208,3.699183,10,11
"JayChou-28",87.264008,243.380816,86.538923,11.772132,0.000000,0.941127,0.747818,84.680629,65.821738,94.802428,32.489318,86.538923,4.932921,5.870050,0.969161,86.538923,0.000000,4.269142,7.502990,9,11
"JayChou-29",73.038284,213.463333,71.690465,17.676431,5.146184,4.113299,1.373621,72.802129,60.223643,81.209765,34.289437,71.690465,10.255135,5.690081,1.731215,71.690465,0.746006,3.333035,13.597390,10,11
