MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",78.407249,229.663764,71.819604,19.781961,1.625782,0.185009,6.587645,72.405832,54.409019,83.528331,38.818328,71.819604,7.197864,8.994397,2.718862,71.819604,4.714819,8.192851,6.874291,9,19
"JayChou-02",74.653781,321.917800,73.078802,24.218764,0.095601,1.031855,1.574978,76.342123,58.878406,73.036355,38.514761,73.078802,9.951090,11.514249,2.753425,73.078802,6.481845,12.578562,5.158357,11,15
"JayChou-03",86.149549,195.357143,73.578329,12.984522,0.685250,0.180680,12.571220,86.429676,53.030347,81.081804,34.217753,73.578329,5.335446,4.975491,2.571208,73.578329,2.597046,5.328644,5.058832,8,15
"JayChou-04",74.797753,246.819320,68.762060,23.802038,0.390960,1.009249,6.035693,77.523581,61.991264,66.865876,30.963794,68.762060,9.090890,10.621575,3.968026,68.762060,5.690264,11.299277,6.812497,8,17
"JayChou-05",71.115224,286.002018,68.368395,25.705906,0.718618,2.460253,2.746829,75.284118,62.148904,66.107496,32.644014,68.368395,10.684890,11.310411,1.612717,68.368395,6.259720,11.683480,7.762706,18,28
"JayChou-06",82.440514,210.971882,79.811702,11.490123,5.700935,0.368428,2.628812,81.717942,66.111205,83.475841,30.891555,79.811702,4.403592,5.254969,1.262766,79.811702,3.540950,5.548321,2.400853,7,14
"JayChou-07",65.116555,222.881587,59.387829,33.384169,0.518950,0.980326,5.728727,78.088278,49.252636,47.520654,44.038312,59.387829,15.372042,7.829697,9.688895,59.387829,10.886148,12.380968,10.117053,9,17
"JayChou-08",49.327704,229.551383,47.485740,47.486757,3.056637,0.128902,1.841964,34.257417,53.560598,65.523322,44.468536,47.485740,10.649728,35.153177,1.640289,47.485740,2.356198,33.482779,11.647781,8,17
"JayChou-09",74.697964,306.033288,72.631147,21.181814,2.442497,1.675503,2.069040,77.622498,63.963608,71.166555,32.291850,72.631147,10.043510,6.755271,2.259080,72.631147,7.543330,8.312384,5.326099,15,22
"JayChou-10",71.724120,292.740385,68.476081,26.956306,1.056116,0.262528,3.248969,78.364256,55.941296,60.763988,40.547207,68.476081,13.042459,7.370821,5.415748,68.476081,11.724272,8.077444,7.154591,9,18
"JayChou-11",80.766525,226.495692,79.711847,18.141235,0.669322,0.422918,1.054677,80.836638,70.173690,81.082321,28.348714,79.711847,4.735815,8.285972,3.044353,79.711847,4.897311,8.133466,5.110457,16,28
"JayChou-12",88.349575,289.258073,81.244118,11.603288,0.047138,0.000000,7.105457,85.389781,67.219411,92.874341,25.675132,81.244118,1.782894,7.854045,1.966349,81.244118,0.723291,8.299127,2.580870,6,10
"JayChou-13",66.474596,217.481610,63.937890,30.638262,2.742609,0.144532,2.536707,73.486165,55.242391,55.476210,42.076370,63.937890,20.663806,8.198446,1.592086,63.937890,7.055388,6.763874,16.819000,9,16
"JayChou-14",71.251658,236.171678,69.867139,27.514315,1.140740,0.093287,1.384519,65.090699,70.233883,85.375946,28.288311,69.867139,4.039386,21.393542,2.081387,69.867139,1.014117,21.474443,5.025755,5,11
"JayChou-15",71.471110,256.435601,69.741396,24.625491,3.236680,0.666719,1.729713,75.740047,74.587644,57.563103,23.015923,69.741396,5.773578,16.142574,2.709339,69.741396,1.748221,15.751595,7.125675,13,20
"JayChou-16",83.324738,248.726689,82.528209,15.649958,1.025304,0.000000,0.796529,82.416050,53.879428,84.111897,45.324044,82.528209,5.588217,7.002094,2.175142,82.528209,5.906528,7.149329,2.594101,8,14
"JayChou-17",71.578314,292.381973,70.800552,27.861606,0.529609,0.030471,0.777762,77.246975,64.034304,60.686942,35.157462,70.800552,10.553507,12.326574,4.502699,70.800552,7.637727,12.914574,7.309304,13,19
"JayChou-18",87.731228,248.416961,85.906029,11.358089,0.608433,0.302249,1.825199,86.977598,65.274380,89.366797,32.598172,85.906029,2.337705,6.451473,2.045597,85.906029,1.815669,6.008870,3.533550,9,14
"JayChou-19",83.118865,225.834490,81.258062,15.620444,1.260691,0.000000,1.860803,83.585413,62.902848,81.394520,35.236348,81.258062,4.437400,7.018033,3.456528,81.258062,3.001426,8.196810,4.422208,9,18
"JayChou-20",81.572811,230.537664,78.955456,15.947144,1.853215,0.626830,2.617356,81.191642,68.445606,82.596865,28.310208,78.955456,4.673380,7.124546,4.149218,78.955456,2.278574,9.772089,3.896481,9,12
"JayChou-21",77.032087,227.925782,76.037701,20.411496,2.556418,0.000000,0.994386,85.115257,70.053555,56.684870,28.952059,76.037701,11.393562,6.303142,2.576196,76.037701,2.652294,7.421529,10.337673,9,16
"JayChou-22",70.944270,222.908798,67.442019,28.788504,0.000000,0.267225,3.502251,76.630531,45.006977,64.331613,51.223546,67.442019,15.951278,10.263128,2.394653,67.442019,7.662632,9.999178,11.126694,15,22
"JayChou-23",80.601376,252.586349,75.373492,19.265121,0.103393,0.030110,5.227884,84.743293,46.252636,74.609105,48.489370,75.373492,8.406896,4.001039,5.748655,75.373492,7.810795,7.562237,3.892089,15,23
"JayChou-24",80.460409,278.120023,78.753027,19.306099,0.190092,0.043400,1.707382,79.758045,52.897968,80.621023,45.351250,78.753027,6.508634,5.339438,3.790546,78.753027,8.368783,7.149828,3.787489,16,26
"JayChou-25",70.557492,255.530317,68.185208,27.323852,1.423743,0.675115,2.392082,52.562564,43.258629,84.672683,53.674174,68.185208,11.891272,13.857367,1.575213,68.185208,6.164779,11.246097,9.912975,9,16
"JayChou-26",78.075054,251.105986,73.792991,21.300146,0.616267,0.000000,4.290597,76.587764,55.079921,77.796981,40.629482,73.792991,7.565018,10.828359,2.468707,73.792991,6.648050,8.084407,6.567689,8,16
"JayChou-27",78.466611,292.466961,76.868019,20.762762,0.770628,0.000000,1.598591,79.221057,59.390750,76.435622,39.010659,76.868019,7.710583,12.205073,0.812914,76.868019,5.975526,10.898516,3.888720,10,16
"JayChou-28",79.192934,243.380816,77.503989,19.506677,1.300389,0.000000,1.688944,77.669399,65.821738,81.197892,32.489318,77.503989,8.065661,7.961199,3.397641,77.503989,3.953296,8.656246,6.897135,9,16
"JayChou-29",62.466059,213.463333,59.928192,26.582303,8.002585,2.943158,2.543762,61.351812,60.223643,67.017419,34.289437,59.928192,14.557827,9.299191,1.413584,59.928192,5.314077,6.172195,15.096030,10,18
