MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",68.492715,229.663764,62.414787,30.771150,0.041409,0.694726,6.077928,-nan,0.000000,0.000000,4.720822,0.000000,12.127262,77.558989,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.740186,38.818328,76.747512,4.738051,6.175132,5.525242,62.414787,15.779590,7.779617,7.211943,13,12
"JayChou-02",68.669450,321.917800,67.094472,30.277648,0.021047,1.031855,1.574978,-nan,0.000000,0.000000,7.257095,0.000000,7.827923,92.741800,43.793387,-nan,0.000000,0.000000,6.179378,-nan,0.000000,81.890776,32.335384,80.706994,7.294273,6.906715,2.464137,67.094472,15.668103,2.768210,11.841335,18,11
"JayChou-03",81.590401,195.357143,69.372380,15.634346,2.241374,0.533879,12.218020,-nan,0.000000,0.000000,1.752451,0.000000,8.017341,89.109352,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,91.290951,33.763675,77.290026,2.467613,3.645315,1.603772,69.372380,7.929555,3.728690,3.976101,12,9
"JayChou-04",65.475108,246.819320,59.132829,32.931596,0.890633,0.702663,6.342278,-nan,0.000000,0.000000,8.514403,0.000000,11.990465,79.653067,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,86.282709,30.235076,70.896647,5.851297,9.392156,5.924326,59.132829,13.266243,5.690521,13.974832,16,11
"JayChou-05",58.404794,286.002018,55.997004,38.655540,0.140375,2.799292,2.407789,-nan,0.000000,0.000000,8.518968,0.000000,17.317901,84.084976,36.312035,-nan,0.000000,-nan,0.000000,0.000000,5.130936,92.552489,27.513078,73.562545,8.291911,11.551383,1.246705,55.997004,19.189350,4.950744,14.515446,31,21
"JayChou-06",65.196994,210.971882,62.966425,33.168233,0.868102,0.766671,2.230569,-nan,0.000000,0.000000,8.079378,0.000000,18.528439,86.544945,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.158919,30.891555,88.040072,2.659219,4.277558,1.157810,62.966425,25.073647,2.821184,5.273403,12,8
"JayChou-07",58.388722,222.881587,52.169186,40.335370,0.786391,0.489517,6.219536,-nan,0.000000,0.000000,5.422207,0.000000,10.171066,81.036632,33.659363,-nan,0.000000,0.000000,5.484726,-nan,0.000000,64.566685,38.553586,66.104115,12.213811,6.774094,7.412537,52.169186,18.883012,9.407230,12.045128,12,12
"JayChou-08",44.732277,229.551383,43.103773,52.962161,1.963200,0.342362,1.628504,-nan,0.000000,0.000000,11.295926,0.000000,4.095833,33.176774,38.168839,-nan,0.000000,0.000000,0.369300,0.000000,10.321414,90.120027,33.777823,54.216298,11.119223,30.208256,0.522156,43.103773,13.136932,23.590665,16.234564,14,10
"JayChou-09",78.245456,306.033288,76.306077,19.000186,0.949195,1.802940,1.941603,-nan,0.000000,0.000000,1.557305,0.000000,6.405206,88.536555,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,90.129650,29.651325,80.444690,7.886327,4.647983,2.327263,76.306077,5.742947,3.341462,9.915777,22,17
"JayChou-10",72.490364,292.740385,69.808807,26.594296,0.085400,0.829010,2.682486,-nan,0.000000,0.000000,3.373006,0.000000,13.556059,91.879849,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.765147,40.547207,77.713949,4.661278,9.333570,4.694307,69.808807,9.612559,2.180428,14.801309,13,10
"JayChou-11",78.353470,226.495692,77.525735,20.934859,0.061811,0.649860,0.827735,-nan,0.000000,0.000000,3.960380,0.000000,7.801993,88.662124,58.411317,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.787258,28.348714,85.698716,2.899236,6.841966,3.020676,77.525735,9.029901,5.522503,6.382455,22,18
"JayChou-12",63.049599,289.258073,56.473097,36.421446,0.000000,0.528955,6.576501,-nan,0.000000,0.000000,9.275878,0.000000,19.232298,84.555075,38.711236,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.466060,25.675132,76.905126,3.634829,8.608802,3.745786,56.473097,20.432029,4.660669,11.328749,9,7
"JayChou-13",62.948894,217.481610,60.267655,36.554356,0.496750,0.000000,2.681239,-nan,0.000000,0.000000,5.159411,0.000000,2.627626,72.264839,47.455353,-nan,0.000000,0.000000,6.485788,0.000000,7.048090,91.001584,28.542492,70.231924,13.673041,11.168062,1.748984,60.267655,11.348044,3.827488,21.378824,14,12
