MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",89.074544,229.663764,83.356602,9.861740,0.009005,1.054712,5.717942,-nan,0.000000,24.137217,4.720822,77.378508,12.127262,91.112434,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.464745,38.818328,84.054220,2.628441,5.469970,1.065711,83.356602,0.697618,2.023929,7.140193,13,14
"JayChou-02",78.571599,321.917800,78.376848,19.016319,0.000000,2.412082,0.194751,-nan,0.000000,9.369586,7.257095,57.069262,7.827923,94.026019,43.793387,-nan,0.000000,59.087500,6.179378,-nan,0.000000,87.832983,32.335384,78.878236,7.835235,8.146394,2.533301,78.376848,0.769700,0.809984,17.436635,18,19
"JayChou-03",86.579844,195.357143,74.990848,12.234700,0.022553,1.162903,11.588996,-nan,0.000000,0.000000,1.752451,69.507929,8.017341,90.647209,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,89.456121,33.763675,78.898662,3.034828,2.212565,3.079493,74.990848,3.907815,4.142422,4.184464,12,13
"JayChou-04",78.822924,246.819320,75.810613,17.144446,0.000000,4.032630,3.012311,-nan,0.000000,69.925979,8.514403,52.734364,11.990465,88.921964,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,88.120232,30.235076,79.102205,5.515395,5.067879,3.269580,75.810613,4.777343,2.043771,10.323332,16,16
"JayChou-05",80.326352,286.002018,78.539105,16.178644,0.075170,3.419834,1.787248,-nan,0.000000,41.321823,8.518968,85.253036,17.317901,92.696560,36.312035,-nan,0.000000,-nan,0.000000,0.000000,5.130936,96.662641,27.513078,79.732236,5.833800,7.236791,1.914921,78.539105,1.844967,0.996576,13.337100,31,31
"JayChou-06",81.671177,210.971882,81.473066,15.529694,0.000000,2.799129,0.198111,-nan,0.000000,64.031641,8.079378,71.523036,18.528439,85.731089,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.462454,30.891555,89.688065,2.247218,3.092888,1.974589,81.473066,8.214999,2.721333,4.593362,12,11
"JayChou-07",75.238532,222.881587,70.891176,22.303648,0.096123,2.361697,4.347356,-nan,0.000000,44.638833,5.422207,71.262611,10.171066,88.603300,33.659363,-nan,0.000000,0.000000,5.484726,-nan,0.000000,81.443250,38.553586,73.264369,6.699306,3.485373,9.745777,70.891176,3.255799,7.605769,11.442080,12,13
"JayChou-08",58.963416,229.551383,58.788008,39.234459,0.006668,1.795457,0.175409,-nan,0.000000,74.806626,11.295926,0.000000,4.095833,46.375618,38.168839,-nan,0.000000,0.000000,0.369300,12.526953,10.321414,92.794354,33.777823,58.809157,10.767833,28.150817,0.294659,58.788008,1.052156,4.371546,33.810757,14,13
"JayChou-09",81.375279,306.033288,80.100597,16.147273,0.007587,2.456953,1.287590,-nan,0.000000,0.000000,1.557305,7.699685,6.405206,91.972356,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,94.774478,29.651325,82.870581,5.361651,5.707329,2.308309,80.100597,4.190702,2.855721,9.100851,22,20
"JayChou-10",86.658940,292.740385,84.326953,12.129822,0.031728,1.158255,2.353242,-nan,0.000000,48.411299,3.373006,78.106438,13.556059,92.795261,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.549577,40.547207,85.937847,3.889627,2.343598,4.285704,84.326953,2.206617,0.992420,8.930785,13,14
"JayChou-11",86.783698,226.495692,86.018666,12.493488,0.010252,0.712562,0.765033,-nan,0.000000,82.084579,3.960380,65.780657,7.801993,87.685296,58.411317,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.187526,28.348714,87.462582,1.655861,6.467043,2.926667,86.018666,2.301716,2.974312,7.217459,22,24
"JayChou-12",93.373100,289.258073,87.873056,5.021487,0.000000,1.605413,5.500043,-nan,0.000000,74.334485,9.275878,96.384826,19.232298,95.477909,38.711236,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.240716,25.675132,87.873056,1.483826,2.557117,0.980544,87.873056,0.000000,0.871390,4.150097,9,10
"JayChou-13",72.062913,217.481610,70.082064,27.236697,0.000000,0.700390,1.980849,-nan,0.000000,85.669798,5.159411,98.486195,2.627626,76.496469,47.455353,-nan,0.000000,16.790987,6.485788,0.000000,7.048090,89.983244,28.542492,75.002938,16.116441,2.562585,3.636797,70.082064,6.342486,3.975773,16.918437,14,16
"JayChou-14",77.913805,236.171678,77.784282,20.601976,0.135936,1.348283,0.129523,-nan,0.000000,66.409270,4.665214,37.686006,7.462124,81.001326,58.106545,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.693108,28.288311,78.512259,6.022167,12.318578,1.533254,77.784282,0.727977,9.356131,10.517869,7,8
"JayChou-15",74.658501,256.435601,73.275278,24.165301,0.162988,1.013210,1.383222,-nan,0.000000,49.420825,5.571179,61.584400,19.112745,89.013553,49.903721,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.263032,23.015923,78.611587,6.773392,10.334058,1.721543,73.275278,6.023375,6.929447,11.212479,20,23
"JayChou-16",92.897904,248.726689,92.447775,6.746361,0.009336,0.346399,0.450129,-nan,0.000000,72.759347,0.744180,62.077677,4.045156,92.397974,49.090091,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.160187,45.324044,93.912195,0.380505,1.782220,3.119216,92.447775,1.464420,2.026065,3.255875,12,11
