MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",75.647521,229.663764,69.059876,22.541689,1.625782,0.185009,6.587645,-nan,0.000000,23.058438,4.720822,55.839351,12.127262,76.609495,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.528331,38.818328,71.819604,7.197864,8.994397,2.718862,69.059876,7.474547,6.094940,8.972202,13,25
"JayChou-02",73.923027,321.917800,72.348049,24.949518,0.095601,1.031855,1.574978,-nan,0.000000,18.219399,7.257095,68.782783,7.827923,86.087637,43.793387,-nan,0.000000,57.003739,6.179378,-nan,0.000000,75.516091,32.335384,73.078802,9.951090,11.514249,2.753425,72.348049,7.212599,5.918794,11.818125,18,32
"JayChou-03",84.162793,195.357143,71.591573,14.971278,0.685250,0.180680,12.571220,-nan,0.000000,17.525732,1.752451,77.946589,8.017341,86.318854,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,82.020644,33.763675,73.578329,5.335446,4.975491,2.571208,71.591573,4.583802,4.513067,5.874409,12,22
"JayChou-04",70.716008,246.819320,64.680315,27.883783,0.390960,1.009249,6.035693,-nan,0.000000,46.677385,8.514403,38.729322,11.990465,85.227882,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,68.477460,30.235076,68.762060,9.090890,10.621575,3.968026,64.680315,9.772009,4.694502,13.417271,16,27
"JayChou-05",68.115768,286.002018,65.368939,28.705362,0.718618,2.460253,2.746829,-nan,0.000000,26.552136,8.518968,55.705314,17.317901,87.794142,36.312035,-nan,0.000000,-nan,0.000000,0.000000,5.130936,78.435936,27.513078,68.368395,10.684890,11.310411,1.612717,65.368939,9.259175,4.233475,15.212712,31,43
"JayChou-06",73.342806,210.971882,70.713994,20.587831,5.700935,0.368428,2.628812,-nan,0.000000,29.920420,8.079378,63.031511,18.528439,78.046140,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.475841,30.891555,79.811702,4.403592,5.254969,1.262766,70.713994,12.638657,3.364593,4.584581,12,19
"JayChou-07",61.531916,222.881587,55.803189,36.968808,0.518950,0.980326,5.728727,-nan,0.000000,22.095382,5.422207,69.746490,10.171066,79.249850,33.659363,-nan,0.000000,0.000000,5.484726,-nan,0.000000,54.044717,38.553586,59.387829,15.372042,7.829697,9.688895,55.803189,14.470788,10.103369,12.394652,12,23
"JayChou-08",48.703189,229.551383,46.861225,48.111272,3.056637,0.128902,1.841964,-nan,0.000000,48.919162,11.295926,20.208379,4.095833,30.881691,38.168839,-nan,0.000000,0.000000,0.369300,0.000000,10.321414,85.027587,33.777823,47.485740,10.649728,35.153177,1.640289,46.861225,2.980713,20.877091,24.253468,14,28
"JayChou-09",71.126835,306.033288,69.060018,24.752943,2.442497,1.675503,2.069040,-nan,0.000000,2.098251,1.557305,8.672556,6.405206,81.232070,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,77.504115,29.651325,72.631147,10.043510,6.755271,2.259080,69.060018,11.114459,5.119217,8.519267,22,29
"JayChou-10",69.199761,292.740385,65.951722,29.480666,1.056116,0.262528,3.248969,-nan,0.000000,0.000000,3.373006,53.548464,13.556059,87.292008,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.763988,40.547207,68.476081,13.042459,7.370821,5.415748,65.951722,14.248631,3.488971,11.743064,13,25
"JayChou-11",76.425135,226.495692,75.370457,22.482625,0.669322,0.422918,1.054677,-nan,0.000000,40.902875,3.960380,58.395301,7.801993,79.260423,58.411317,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.770836,28.348714,79.711847,4.735815,8.285972,3.044353,75.370457,9.238701,5.924647,7.319276,22,40
"JayChou-12",82.315708,289.258073,75.210251,17.637155,0.047138,0.000000,7.105457,-nan,0.000000,38.504315,9.275878,69.630493,19.232298,88.866924,38.711236,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.874341,25.675132,81.244118,1.782894,7.854045,1.966349,75.210251,6.757158,4.413089,6.466908,9,16
"JayChou-13",65.251619,217.481610,62.714912,31.861239,2.742609,0.144532,2.536707,-nan,0.000000,60.587952,5.159411,82.918806,2.627626,72.763080,47.455353,-nan,0.000000,2.835794,6.485788,0.000000,7.048090,79.517354,28.542492,63.937890,20.663806,8.198446,1.592086,62.714912,8.278366,5.673709,17.909164,14,27
"JayChou-14",68.384043,236.171678,66.999524,30.381930,1.140740,0.093287,1.384519,-nan,0.000000,14.302826,4.665214,62.186355,7.462124,64.606199,58.106545,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.375946,28.288311,69.867139,4.039386,21.393542,2.081387,66.999524,3.881732,18.164359,8.335840,7,15
