MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",89.666446,259.353900,84.603078,9.391610,0.007974,0.933971,5.063367,90.000726,94.002662,93.994688,84.603078,0.000000,9.391610,-0.000000,8,8
"JayChou-02",80.042338,334.300771,79.854801,17.634927,0.000000,2.322735,0.187537,81.910990,97.489728,97.489728,79.854801,0.000000,17.634927,0.000000,8,8
"JayChou-03",90.741051,202.197460,79.544109,8.113597,0.021790,1.123562,11.196942,90.721448,87.679496,87.657706,79.544109,0.000000,8.113597,0.000000,7,7
"JayChou-04",80.358111,265.362222,77.556293,15.891050,0.000000,3.750839,2.801818,82.994647,93.447343,93.447343,77.556293,0.000000,15.891050,-0.000000,7,8
"JayChou-05",82.570310,317.449184,80.960111,14.280908,0.067724,3.081058,1.610199,84.945104,95.308743,95.241019,80.960111,0.000000,14.280908,-0.000000,12,12
"JayChou-06",88.405337,231.501066,88.224794,9.043757,0.000000,2.550906,0.180543,90.702280,97.268551,97.268551,88.224794,0.000000,9.043757,-0.000000,7,7
"JayChou-07",80.556294,251.205465,76.699111,17.263010,0.085285,2.095411,3.857184,81.553670,94.047406,93.962121,76.699111,0.000000,17.263010,0.000000,7,7
"JayChou-08",59.669599,232.944807,59.496746,38.554528,0.006571,1.769302,0.172853,60.675152,98.057845,98.051274,59.496746,0.000000,38.554528,0.000000,5,7
"JayChou-09",85.872498,326.906803,84.679206,11.808243,0.007103,2.300072,1.205375,87.755427,96.494552,96.487450,84.679206,0.000000,11.808243,0.000000,10,10
"JayChou-10",89.047475,297.602721,86.753590,9.761076,0.031209,1.139331,2.314794,89.857375,96.545875,96.514666,86.753590,0.000000,9.761076,-0.000000,7,8
"JayChou-11",87.822498,238.204785,87.095071,11.490218,0.009748,0.677536,0.727427,88.336161,98.595037,98.585289,87.095071,0.000000,11.490218,0.000000,12,12
"JayChou-12",92.573009,301.863061,87.302633,5.888616,0.000000,1.538375,5.270376,93.681149,93.191248,93.191248,87.302633,0.000000,5.888616,0.000000,6,7
"JayChou-13",79.947611,239.781542,78.150983,19.417136,0.000000,0.635253,1.796628,80.098893,97.568119,97.568119,78.150983,0.000000,19.417136,-0.000000,7,8
"JayChou-14",78.332436,260.263946,78.214903,20.320737,0.123353,1.223475,0.117533,79.278027,98.658993,98.535640,78.214903,0.000000,20.320737,0.000000,5,6
"JayChou-15",80.681875,256.435601,79.298653,18.141927,0.162988,1.013210,1.383222,81.245650,97.603567,97.440580,79.298653,0.000000,18.141927,-0.000000,10,10
"JayChou-16",90.433062,261.531383,90.004972,9.228620,0.008878,0.329439,0.428091,90.691991,99.242470,99.233591,90.004972,0.000000,9.228620,-0.000000,7,6
"JayChou-17",85.914965,294.022517,85.835992,13.360285,0.000000,0.724751,0.078973,86.531466,99.196276,99.196276,85.835992,0.000000,13.360285,0.000000,8,9
"JayChou-18",92.023266,263.845556,90.906649,7.090307,0.000000,0.886427,1.116617,92.764768,97.996956,97.996956,90.906649,0.000000,7.090307,0.000000,8,7
"JayChou-19",90.305785,247.249410,89.001384,9.136991,0.161991,0.395233,1.304401,90.540237,98.300366,98.138375,89.001384,0.000000,9.136991,0.000000,6,7
"JayChou-20",86.052107,243.906349,84.736726,12.196905,0.000000,1.750988,1.315382,87.417262,96.933630,96.933630,84.736726,0.000000,12.196905,0.000000,8,7
"JayChou-21",83.610006,235.893197,83.166341,15.872858,0.000000,0.517135,0.443665,83.973156,99.039200,99.039200,83.166341,0.000000,15.872858,0.000000,7,9
"JayChou-22",82.075331,255.506825,80.505316,16.206125,0.000000,1.718544,1.570015,83.242805,96.711440,96.711440,80.505316,0.000000,16.206125,0.000000,11,11
"JayChou-23",86.511786,258.666077,83.739584,11.126007,0.000000,2.362206,2.772203,88.271820,94.865591,94.865591,83.739584,0.000000,11.126007,0.000000,11,12
"JayChou-24",90.205619,282.777256,89.113504,9.164549,0.000000,0.611765,1.110182,90.674877,98.278053,98.278053,89.113504,0.000000,9.164549,-0.000000,11,11
"JayChou-25",78.075010,263.250590,76.804862,20.217892,0.000000,1.678371,1.298875,79.161701,97.022753,97.022753,76.804862,0.000000,20.217892,0.000000,7,8
"JayChou-26",82.187922,258.221429,80.155670,15.671963,0.000000,2.116115,2.056252,83.645674,95.827633,95.827633,80.155670,0.000000,15.671963,0.000000,7,7
"JayChou-27",91.126704,299.862993,89.937430,8.128489,0.374918,0.354236,1.204927,91.361911,98.440837,98.065919,89.937430,0.000000,8.128489,0.000000,8,8
"JayChou-28",83.923720,258.075465,83.266913,15.140309,0.000000,0.914531,0.678246,84.614636,98.407223,98.407223,83.266913,0.000000,15.140309,0.000000,7,8
"JayChou-29",75.456425,242.912585,74.272008,16.871489,4.034784,3.614628,1.207091,78.034618,95.178281,91.143497,74.272008,0.000000,16.871489,0.000000,6,7
