MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",83.314869,259.353900,77.481360,15.046688,1.474613,0.163829,5.833509,82.424645,94.002662,92.528048,77.481360,0.000000,15.046688,0.000000,8,10
"JayChou-02",80.824592,334.300771,79.307953,17.215389,0.966386,0.993633,1.516639,81.350061,97.489728,96.523342,79.307953,0.000000,17.215389,-0.000000,8,8
"JayChou-03",87.680315,202.197460,75.534378,11.483050,0.662068,0.174567,12.145937,86.148280,87.679496,87.017428,75.534378,0.000000,11.483050,-0.000000,7,8
"JayChou-04",78.679055,265.362222,73.065123,19.905526,0.476694,0.938725,5.613933,78.188550,93.447343,92.970649,73.065123,0.000000,19.905526,-0.000000,7,9
"JayChou-05",77.266617,317.449184,74.791894,19.794466,0.722382,2.216535,2.474723,78.473278,95.308743,94.586360,74.791894,0.000000,19.794466,0.000000,12,12
"JayChou-06",85.940951,231.501066,83.545258,8.299987,5.423306,0.335756,2.395693,85.891336,97.268551,91.845245,83.545258,0.000000,8.299987,-0.000000,7,7
"JayChou-07",77.747426,251.205465,72.664624,20.890281,0.492501,0.869792,5.082802,77.263826,94.047406,93.554905,72.664624,0.000000,20.890281,-0.000000,7,7
"JayChou-08",51.621670,232.944807,49.806539,45.239196,3.012110,0.127024,1.815131,50.793018,98.057845,95.045735,49.806539,0.000000,45.239196,0.000000,5,8
"JayChou-09",81.685537,326.906803,79.750690,14.457323,2.286539,1.568519,1.936928,82.647868,96.494552,94.208013,79.750690,0.000000,14.457323,-0.000000,10,10
"JayChou-10",83.657275,297.602721,80.462303,15.044711,1.038861,0.258239,3.195886,83.341006,96.545875,95.507014,80.462303,0.000000,15.044711,0.000000,7,9
"JayChou-11",84.758717,238.204785,83.755883,14.202732,0.636421,0.402129,1.002834,84.949391,98.595037,97.958615,83.755883,0.000000,14.202732,-0.000000,12,12
"JayChou-12",89.206516,301.863061,82.397764,10.723931,0.069553,0.000000,6.808752,88.417921,93.191248,93.121695,82.397764,0.000000,10.723931,0.000000,6,6
"JayChou-13",75.368433,239.781542,73.067643,22.012932,2.487544,0.131091,2.300790,74.888851,97.568119,95.080575,73.067643,0.000000,22.012932,-0.000000,7,8
"JayChou-14",71.450917,260.263946,70.194561,27.429289,1.035143,0.084652,1.256356,71.148670,98.658993,97.623850,70.194561,0.000000,27.429289,0.000000,5,6
"JayChou-15",73.219331,256.435601,71.489617,22.877270,3.236680,0.666719,1.729713,73.244882,97.603567,94.366887,71.489617,0.000000,22.877270,0.000000,10,11
"JayChou-16",86.862812,261.531383,86.105282,12.162083,0.975104,0.000000,0.757530,86.762535,99.242470,98.267365,86.105282,0.000000,12.162083,0.000000,7,8
"JayChou-17",78.911406,294.022517,78.137983,20.531639,0.526654,0.030301,0.773422,78.771085,99.196276,98.669622,78.137983,0.000000,20.531639,-0.000000,8,9
"JayChou-18",88.596667,263.845556,86.878198,10.545904,0.572855,0.284575,1.718469,88.653976,97.996956,97.424101,86.878198,0.000000,10.545904,-0.000000,8,8
"JayChou-19",84.490740,247.249410,82.791106,14.357761,1.151499,0.000000,1.699634,84.222582,98.300366,97.148867,82.791106,0.000000,14.357761,0.000000,6,9
"JayChou-20",82.612430,243.906349,80.138533,15.043458,1.751639,0.592473,2.473897,82.673612,96.933630,95.181992,80.138533,0.000000,15.043458,0.000000,8,8
"JayChou-21",80.207269,235.893197,79.246469,17.322657,2.470073,0.000000,0.960800,80.015256,99.039200,96.569126,79.246469,0.000000,17.322657,0.000000,7,9
"JayChou-22",80.249801,255.506825,77.194374,19.517067,0.000000,0.233132,3.055427,79.819278,96.711440,96.711440,77.194374,0.000000,19.517067,0.000000,11,12
"JayChou-23",88.358300,258.666077,83.253293,11.511335,0.100963,0.029403,5.105007,87.759210,94.865591,94.764628,83.253293,0.000000,11.511335,0.000000,11,12
"JayChou-24",87.366209,282.777256,85.686947,12.404145,0.186962,0.042685,1.679262,87.188283,98.278053,98.091091,85.686947,0.000000,12.404145,-0.000000,11,12
"JayChou-25",76.826904,263.250590,74.524192,21.116572,1.381989,0.655317,2.321930,76.811046,97.022753,95.640764,74.524192,0.000000,21.116572,0.000000,7,8
"JayChou-26",82.388509,258.221429,78.224440,17.003907,0.599285,0.000000,4.172367,81.630359,95.827633,95.228348,78.224440,0.000000,17.003907,-0.000000,7,7
"JayChou-27",84.237216,299.862993,82.678053,14.833146,0.929638,0.000000,1.559163,83.987555,98.440837,97.511199,82.678053,0.000000,14.833146,0.000000,8,8
"JayChou-28",80.008774,258.075465,78.415997,18.764880,1.226346,0.000000,1.592777,79.685205,98.407223,97.180877,78.415997,0.000000,18.764880,0.000000,7,8
"JayChou-29",69.682290,242.912585,67.452099,20.693782,7.032400,2.586347,2.235372,70.869213,95.178281,88.145881,67.452099,0.000000,20.693782,0.000000,6,8
