MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",48.334214,221.561293,43.204805,49.774866,0.000000,1.890920,5.129409,49.745080,42.588892,21.236300,8.909488,31.555864,4.900371,12.342929,19.475137,94.568743,17.105784,43.204805,22.042518,13.321723,5.531626,0.197649,43.204805,22.315165,7.135856,20.323845,14,23
"JayChou-02",59.855880,317.632608,59.745254,37.612744,0.000000,2.531376,0.110626,72.948955,36.344754,50.236170,17.217927,0.000000,6.110055,44.357754,19.308450,87.162636,18.376812,59.745254,16.568629,6.051037,6.138925,0.002156,59.745254,15.407467,4.139168,18.066110,20,23
"JayChou-03",53.330640,195.357143,45.486921,41.761179,0.000000,4.908180,7.843719,55.114787,50.452094,-nan,0.000000,63.643567,2.578254,25.273096,23.033284,91.360981,11.184469,45.486921,30.440092,4.354917,4.923514,0.000000,45.486921,30.167575,4.362613,7.230992,12,16
"JayChou-04",69.784199,246.819320,65.078506,27.876552,0.000000,2.339249,4.705692,74.437479,58.050644,0.000000,1.430775,41.994583,2.509846,54.360588,18.154457,85.439250,12.809337,65.078506,9.387461,4.821203,8.059932,0.000000,65.078506,8.446694,4.502463,14.927396,13,22
"JayChou-05",46.730532,269.364354,45.701310,48.769986,0.000000,4.499482,1.029222,45.987611,52.685157,0.000000,4.236546,14.748866,8.381216,34.419358,12.692188,96.308453,16.476187,45.701310,13.857365,12.428815,5.208634,0.008065,45.701310,12.803755,6.499209,29.467021,26,38
"JayChou-06",63.200811,210.971882,63.025604,33.977156,0.000000,2.822033,0.175207,63.804403,53.326243,56.976702,5.362634,0.000000,7.422328,30.452870,4.022846,92.005127,26.868708,63.025604,19.913445,7.688218,5.524675,0.300510,63.025604,15.859235,4.854705,13.263215,12,15
"JayChou-07",53.535225,222.881587,49.656682,43.548561,0.085705,2.830510,3.878543,64.798931,35.146125,19.723294,4.536428,25.819991,9.570084,50.681085,23.567338,56.531061,20.470974,49.656682,15.955912,8.907417,3.054508,4.633863,49.656682,20.838323,7.618070,15.092168,17,25
"JayChou-08",48.989581,209.766803,48.811411,49.031837,0.000000,1.978582,0.178170,41.148069,18.714638,80.263737,13.607920,9.662601,16.858014,46.215357,36.648979,96.740370,12.013697,48.811411,10.244926,8.565229,10.426296,0.003275,48.811411,10.128470,2.828992,36.074375,12,18
"JayChou-09",52.045161,279.683492,51.906504,43.979565,0.016604,3.958670,0.138657,54.676596,36.253411,50.454398,16.446409,37.921262,11.849806,54.243879,12.015088,66.063798,19.337959,51.906504,24.472480,7.795749,4.504809,0.125790,51.906504,24.736879,3.081845,16.160842,24,38
"JayChou-10",58.841398,268.031134,58.696899,37.450560,0.017326,3.690716,0.144499,63.772886,24.137320,41.361907,18.935053,55.823410,8.807240,97.523041,5.500359,64.951492,38.784813,58.696899,13.890998,6.833961,5.728850,0.065811,58.696899,16.230744,3.119074,18.100742,12,24
