MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",59.301875,221.561293,53.374828,39.564069,0.040774,1.093282,5.927046,73.665837,42.588892,27.002767,8.909488,61.202403,4.900371,24.746083,19.475137,68.848515,17.105784,53.374828,33.049182,5.150318,1.277074,0.062564,53.374828,30.635698,1.378457,7.549914,14,15
"JayChou-02",58.609592,317.632608,58.412213,38.945785,0.000000,2.444623,0.197379,78.758078,36.344754,21.033718,17.217927,56.019709,6.110055,29.270183,19.308450,93.007206,18.376812,58.412213,25.647217,7.421965,3.243461,0.000000,58.412213,20.924194,1.846377,16.175214,20,21
"JayChou-03",56.845280,195.357143,45.256284,41.957378,0.034439,1.162903,11.588996,56.596897,50.452094,-nan,0.000000,99.760493,2.578254,23.360403,23.033284,78.226491,11.184469,45.256284,35.860109,2.509318,3.573988,0.013964,45.256284,33.074618,3.516532,5.366228,12,14
"JayChou-04",67.882618,246.819320,64.895828,28.014893,0.044337,4.058152,2.986789,75.757681,58.050644,0.000000,1.430775,54.738826,2.509846,50.360312,18.154457,81.202529,12.809337,64.895828,16.299758,6.011448,3.523688,0.000000,64.895828,14.357910,5.168478,8.488505,13,18
"JayChou-05",62.423495,269.364354,60.637919,33.736323,0.097054,3.743128,1.785576,79.432761,52.685157,0.000000,4.236546,42.380791,8.381216,31.726184,12.692188,68.036804,16.476187,60.637919,24.247822,6.251528,1.837222,0.019429,60.637919,20.179160,3.755410,9.801752,26,31
"JayChou-06",69.453979,210.971882,69.255868,27.746892,0.000000,2.799129,0.198111,70.903711,53.326243,55.727033,5.362634,44.700918,7.422328,65.646308,4.022846,83.734754,26.868708,69.255868,22.739003,2.442879,2.178182,0.386829,69.255868,20.941932,1.285037,5.519924,12,11
"JayChou-07",62.212946,222.881587,57.865590,35.329234,0.096123,2.361697,4.347356,77.231035,35.146125,68.305565,4.536428,23.189472,9.570084,48.444777,23.567338,68.325259,20.470974,57.865590,21.191947,4.046046,3.742620,4.535878,57.865590,17.487520,5.683046,12.158668,17,14
"JayChou-08",45.279414,209.766803,45.087461,52.748490,0.007297,1.964799,0.191953,72.552936,18.714638,5.464121,13.607920,8.650088,16.858014,59.791823,36.648979,61.551100,12.013697,45.087461,32.159057,9.700287,10.889146,0.000000,45.087461,22.330369,3.761579,26.656542,12,14
"JayChou-09",61.223239,279.683492,59.828465,36.065906,0.008302,2.688429,1.408897,69.170869,36.253411,50.715477,16.446409,52.264498,11.849806,55.708778,12.015088,69.935459,19.337959,59.828465,26.924264,7.382487,1.674455,0.084701,59.828465,23.919036,1.846005,10.300865,24,23
"JayChou-10",71.859168,268.031134,69.407495,26.722638,0.034653,1.360327,2.474888,79.629859,24.137320,57.655007,18.935053,76.680329,8.807240,8.347586,5.500359,82.654536,38.784813,69.407495,19.824016,1.302181,3.733879,0.008646,69.407495,16.331030,0.667021,9.724587,12,19
