MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",57.553010,221.561293,50.724456,40.569979,1.685237,0.191774,6.828554,75.286990,42.588892,0.000000,8.909488,0.000000,4.900371,30.072306,19.475137,74.851515,17.105784,50.724456,29.255675,7.448521,3.656958,0.208825,50.724456,27.836966,2.808608,9.924405,14,24
"JayChou-02",53.887347,317.632608,52.291121,44.969987,0.096890,1.045775,1.596227,83.756480,36.344754,13.551354,17.217927,3.530551,6.110055,27.815392,19.308450,75.803858,18.376812,52.291121,27.340448,13.395730,3.491562,0.742247,52.291121,26.993779,4.523652,13.452556,20,27
"JayChou-03",73.504715,195.357143,60.933496,25.629355,0.685250,0.180680,12.571220,84.247939,50.452094,-nan,0.000000,0.000000,2.578254,56.673965,23.033284,48.055668,11.184469,60.933496,15.988927,4.733641,3.792507,0.000000,60.933496,15.241879,3.734703,6.652773,12,30
"JayChou-04",66.088370,246.819320,60.052677,32.511421,0.390960,1.009249,6.035693,77.386619,58.050644,0.000000,1.430775,0.000000,2.509846,56.084722,18.154457,38.623157,12.809337,60.052677,14.208058,13.445448,4.617018,0.119351,60.052677,14.399647,9.551967,8.559807,13,25
"JayChou-05",59.728859,269.364354,56.812368,36.895924,0.763004,2.612213,2.916491,73.813704,52.685157,0.000000,4.236546,3.100637,8.381216,38.924694,12.692188,77.221961,16.476187,56.812368,20.507169,11.447366,2.676293,0.037630,56.812368,16.364629,9.588897,10.942398,26,39
"JayChou-06",67.799881,210.971882,65.171069,26.130756,5.700935,0.368428,2.628812,79.935115,53.326243,23.909471,5.362634,0.638609,7.422328,47.742065,4.022846,71.810329,26.868708,65.171069,15.961708,6.877662,2.326121,0.396470,65.171069,18.181583,2.904923,5.044250,12,22
"JayChou-07",52.256499,222.881587,46.527772,46.244226,0.518950,0.980326,5.728727,80.898354,35.146125,19.861894,4.536428,0.937649,9.570084,34.614013,23.567338,43.704712,20.470974,46.527772,21.386767,13.893307,5.744008,4.726608,46.527772,23.746205,6.641661,15.856360,17,29
"JayChou-08",36.304920,209.766803,34.289227,60.209091,3.344930,0.141059,2.015693,55.514609,18.714638,0.000000,13.607920,0.000000,16.858014,50.356474,36.648979,45.321064,12.013697,34.289227,27.953577,17.943141,13.718268,0.451089,34.289227,19.492318,8.008288,32.708484,12,26
"JayChou-09",49.247392,279.683492,46.985854,46.244208,2.672611,1.833357,2.263970,78.563600,36.253411,24.078546,16.446409,2.001971,11.849806,62.655387,12.015088,35.052735,19.337959,46.985854,29.769625,11.174390,2.678895,0.297242,46.985854,32.817620,3.000938,10.425650,24,37
"JayChou-10",47.177228,268.031134,43.629759,51.381549,1.153477,0.286730,3.548484,76.539857,24.137320,8.862519,18.935053,25.685594,8.807240,36.100635,5.500359,49.578966,38.784813,43.629759,26.870190,16.624858,5.541958,1.113342,43.629759,37.160776,3.808591,10.412183,12,29
