MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",45.417938,221.561293,40.288530,52.691142,0.000000,1.890920,5.129409,-nan,0.000000,-nan,0.000000,50.484029,12.184474,39.857330,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,52.126139,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.856958,2.407763,35.128865,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.342929,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.568743,17.105784,43.204805,22.042518,13.321723,5.531626,0.197649,40.288530,25.231441,3.435360,24.024341,18,28
"JayChou-02",51.708530,317.632608,51.597904,45.760094,0.000000,2.531376,0.110626,-nan,0.000000,23.416721,2.127453,58.974154,7.933530,73.644908,26.283771,-nan,0.000000,0.000000,5.227549,-nan,0.000000,-nan,0.000000,72.138067,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.110055,-nan,0.000000,0.000000,6.262744,-nan,0.000000,18.373801,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.162636,18.376812,59.745254,16.568629,6.051037,6.138925,0.002156,51.597904,23.554816,1.344428,20.860850,26,32
"JayChou-03",48.723705,195.357143,40.879986,46.368115,0.000000,4.908180,7.843719,-nan,0.000000,98.361351,1.752451,36.126964,8.017341,45.669669,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.643567,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,25.781350,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.360981,11.184469,45.486921,30.440092,4.354917,4.923514,0.000000,40.879986,34.774510,3.585386,8.008218,15,20
"JayChou-04",63.835655,246.819320,59.129963,33.825096,0.000000,2.339249,4.705692,-nan,0.000000,80.464545,7.083629,41.528430,11.990465,68.204167,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.994583,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,56.633865,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.439250,12.809337,65.078506,9.387461,4.821203,8.059932,0.000000,59.129963,14.395237,2.329667,17.100191,21,28
"JayChou-05",42.607287,269.364354,41.578065,52.893231,0.000000,4.499482,1.029222,-nan,0.000000,32.256794,4.808608,28.005643,16.954015,46.595929,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.433550,0.000000,0.621729,10.017619,6.325937,-nan,0.000000,-nan,0.000000,0.000000,5.447855,60.303270,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.308453,16.476187,45.701310,13.857365,12.428815,5.208634,0.008065,41.578065,16.927001,5.650684,30.315546,35,48
"JayChou-06",44.722760,210.971882,44.547553,52.455207,0.000000,2.822033,0.175207,-nan,0.000000,18.918095,6.733431,6.920139,17.859716,45.371672,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,76.068952,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,0.000000,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.452870,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.005127,26.868708,63.025604,19.913445,7.688218,5.524675,0.300510,44.547553,34.337286,4.194668,13.923253,18,18
"JayChou-07",50.653907,222.881587,46.775364,46.429879,0.085705,2.830510,3.878543,-nan,0.000000,-nan,0.000000,60.970193,8.383299,59.942886,26.762826,-nan,0.000000,0.000000,1.830446,-nan,0.000000,-nan,0.000000,33.065010,2.705981,-nan,0.000000,0.000000,3.591761,53.612260,1.787767,46.823778,2.313951,0.000000,1.876605,-nan,0.000000,0.000000,2.750919,-nan,0.000000,53.383377,20.816418,-nan,0.000000,0.000000,2.733807,-nan,0.000000,-nan,0.000000,65.244121,17.737167,49.656682,15.955912,8.907417,3.054508,4.633863,46.775364,23.719641,5.696526,17.013712,20,30
"JayChou-08",47.961120,209.766803,47.782950,50.060298,0.000000,1.978582,0.178170,-nan,0.000000,8.711359,8.273738,0.000000,1.108984,74.796616,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.263737,13.607920,-nan,0.000000,0.000000,4.087586,39.115373,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,0.000000,11.294899,65.004123,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.740370,12.013697,48.811411,10.244926,8.565229,10.426296,0.003275,47.782950,11.156931,1.722472,37.180895,19,24
"JayChou-09",51.122714,279.683492,50.984057,44.902012,0.016604,3.958670,0.138657,-nan,0.000000,96.881733,0.556930,0.000000,3.864435,57.678103,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,0.000000,1.144240,58.621634,14.155076,-nan,0.000000,-nan,0.000000,78.330110,3.144225,-nan,0.000000,23.326659,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,57.223144,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,74.822704,17.074216,51.906504,24.472480,7.795749,4.504809,0.125790,50.984057,25.659326,1.004999,18.237687,33,52
"JayChou-10",57.476248,268.031134,57.331750,38.815709,0.017326,3.690716,0.144499,-nan,0.000000,49.577695,1.853069,61.251631,5.538278,60.752510,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,45.789423,17.104166,-nan,0.000000,-nan,0.000000,48.792311,3.717314,-nan,0.000000,51.986244,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.523041,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,71.800201,35.085299,58.696899,13.890998,6.833961,5.728850,0.065811,57.331750,17.595893,2.084860,19.134957,18,30
