MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",58.020809,221.561293,52.093763,40.876574,0.009334,1.093282,5.927046,-nan,0.000000,-nan,0.000000,77.266874,12.184474,69.074863,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,66.280378,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.113420,2.407763,46.669869,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.882402,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.648022,17.105784,53.082029,33.039255,3.944691,1.682289,0.016856,52.093763,31.377322,0.963140,8.536112,18,22
"JayChou-02",58.379981,317.632608,58.182602,39.175396,0.000000,2.444623,0.197379,-nan,0.000000,32.392410,2.127453,54.569481,7.933530,88.630004,26.283771,-nan,0.000000,0.000000,5.227549,-nan,0.000000,-nan,0.000000,29.277420,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.525256,6.110055,-nan,0.000000,59.087500,6.262744,-nan,0.000000,15.214158,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.704232,18.376812,58.459352,25.503880,7.535953,3.116016,0.000000,58.182602,20.682611,0.483859,18.008926,26,28
"JayChou-03",54.127611,195.357143,42.538615,44.686933,0.022553,1.162903,11.588996,-nan,0.000000,0.000000,1.752451,59.260417,8.017341,53.398916,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.416747,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,21.151880,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.466121,11.184469,45.887386,35.830336,1.865924,3.639825,0.002078,42.538615,36.360048,2.879487,5.447399,15,19
"JayChou-04",66.357270,246.819320,63.344959,29.610100,0.000000,4.032630,3.012311,-nan,0.000000,84.049860,7.083629,50.600477,11.990465,77.625420,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.363996,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,52.565210,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.314228,12.809337,66.636551,15.403723,4.911935,3.867307,0.000000,63.344959,17.242997,1.875067,10.492036,21,22
"JayChou-05",59.879326,269.364354,57.981687,36.409796,0.079813,3.631065,1.897640,-nan,0.000000,42.374036,4.808608,82.503592,16.954015,76.867909,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.301918,1.433550,0.000000,0.621729,40.082586,6.325937,-nan,0.000000,-nan,0.000000,0.000000,5.447855,55.855660,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.406005,16.476187,58.446601,23.512733,7.485516,2.103844,0.117704,57.981687,21.241441,0.403941,14.764414,35,40
"JayChou-06",64.237918,210.971882,64.039807,32.962953,0.000000,2.799129,0.198111,-nan,0.000000,56.894116,6.733431,74.201077,17.859716,55.855769,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,64.666704,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,46.119813,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.646308,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.943849,26.868708,69.012324,22.911555,2.473532,2.251539,0.353810,64.039807,25.648258,1.140054,6.174641,18,16
"JayChou-07",59.886054,222.881587,55.538699,37.656126,0.096123,2.361697,4.347356,-nan,0.000000,-nan,0.000000,72.213626,8.383299,76.079921,26.762826,-nan,0.000000,67.916139,1.830446,-nan,0.000000,-nan,0.000000,65.488978,2.705981,-nan,0.000000,0.000000,3.591761,36.336010,1.787767,24.836880,2.313951,17.706950,1.876605,-nan,0.000000,0.000000,2.750919,-nan,0.000000,50.808578,20.816418,-nan,0.000000,0.000000,2.733807,-nan,0.000000,-nan,0.000000,78.790811,17.737167,57.107717,20.814089,5.087100,3.623595,4.780835,55.538699,18.608276,4.461008,14.586841,20,22
"JayChou-08",44.234349,209.766803,44.042396,53.793555,0.007297,1.964799,0.191953,-nan,0.000000,73.209778,8.273738,0.000000,1.108984,74.216380,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.368795,13.607920,-nan,0.000000,31.745348,4.087586,0.000000,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,12.526953,11.294899,81.333759,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.960109,12.013697,44.065540,31.050299,11.277116,11.442995,0.000000,44.042396,20.537416,0.686196,32.569944,19,18
"JayChou-09",59.091156,279.683492,57.696382,38.197989,0.008302,2.688429,1.408897,-nan,0.000000,0.000000,0.556930,13.964388,3.864435,77.338190,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,0.000000,1.144240,58.966787,14.155076,-nan,0.000000,-nan,0.000000,0.000000,3.144225,-nan,0.000000,47.223749,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,57.861887,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,79.009858,17.074216,59.096199,27.721821,6.994528,1.933178,0.148646,57.696382,26.230931,0.590682,11.376376,33,30
"JayChou-10",70.151063,268.031134,67.604095,28.526038,0.034653,1.265032,2.570182,-nan,0.000000,96.243083,1.853069,98.232295,5.538278,72.117502,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,61.878568,17.104166,-nan,0.000000,-nan,0.000000,11.773742,3.717314,-nan,0.000000,96.051280,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.032583,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,91.067344,35.085299,69.385270,19.814312,1.288534,3.742187,0.063239,67.604095,17.997926,0.449427,10.078685,18,23
