MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",55.739043,221.561293,48.910489,42.383945,1.685237,0.191774,6.828554,-nan,0.000000,-nan,0.000000,57.609613,12.184474,76.405014,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,0.000000,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.407763,0.000000,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.072306,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.851515,17.105784,50.724456,29.255675,7.448521,3.656958,0.208825,48.910489,29.650932,2.256906,10.476107,18,30
"JayChou-02",53.367115,317.632608,51.770889,45.490219,0.096890,1.045775,1.596227,-nan,0.000000,31.510545,2.127453,68.782783,7.933530,91.254072,26.283771,-nan,0.000000,4.981058,5.227549,-nan,0.000000,-nan,0.000000,17.287820,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.530551,6.110055,-nan,0.000000,57.003739,6.262744,-nan,0.000000,12.335790,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.803858,18.376812,52.291121,27.340448,13.395730,3.491562,0.742247,51.770889,27.514011,2.107149,15.869059,26,45
"JayChou-03",71.569148,195.357143,58.997928,27.564923,0.685250,0.180680,12.571220,-nan,0.000000,17.525732,1.752451,76.109649,8.017341,84.093987,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,57.587000,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.055668,11.184469,60.933496,15.988927,4.733641,3.792507,0.000000,58.997928,17.177447,2.919126,7.468350,15,39
"JayChou-04",63.050565,246.819320,57.014872,35.549226,0.390960,1.009249,6.035693,-nan,0.000000,56.105438,7.083629,38.729322,11.990465,85.352598,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,58.430100,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.623157,12.809337,60.052677,14.208058,13.445448,4.617018,0.119351,57.014872,17.437453,4.001036,14.110738,21,35
"JayChou-05",57.426293,269.364354,54.509803,39.198489,0.763004,2.612213,2.916491,-nan,0.000000,11.343404,4.808608,59.320633,16.954015,84.148137,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.433550,0.000000,0.621729,3.521164,6.325937,-nan,0.000000,-nan,0.000000,0.000000,5.447855,68.196692,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.221961,16.476187,56.812368,20.507169,11.447366,2.676293,0.037630,54.509803,18.667194,3.497627,17.033668,35,55
"JayChou-06",61.027692,210.971882,58.398880,32.902946,5.700935,0.368428,2.628812,-nan,0.000000,20.414418,6.733431,60.879804,17.859716,82.323372,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,31.921265,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,0.000000,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.742065,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.810329,26.868708,65.171069,15.961708,6.877662,2.326121,0.396470,58.398880,24.953772,1.240206,6.708968,18,28
"JayChou-07",51.614383,222.881587,45.885657,46.886341,0.518950,0.980326,5.728727,-nan,0.000000,-nan,0.000000,73.206829,8.383299,81.243692,26.762826,-nan,0.000000,0.000000,1.830446,-nan,0.000000,-nan,0.000000,33.297365,2.705981,-nan,0.000000,0.000000,3.591761,0.000000,1.787767,0.000000,2.313951,0.000000,1.876605,-nan,0.000000,0.000000,2.750919,-nan,0.000000,39.188304,20.816418,-nan,0.000000,0.000000,2.733807,-nan,0.000000,-nan,0.000000,50.440863,17.737167,46.527772,21.386767,13.893307,5.744008,4.726608,45.885657,24.388320,5.968423,16.529597,20,36
"JayChou-08",35.669174,209.766803,33.653482,60.844836,3.344930,0.141059,2.015693,-nan,0.000000,58.270140,8.273738,0.000000,1.108984,57.743762,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.607920,-nan,0.000000,0.000000,4.087586,0.000000,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,0.000000,11.294899,72.140539,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.321064,12.013697,34.289227,27.953577,17.943141,13.718268,0.451089,33.653482,20.128064,3.753342,36.963431,19,37
"JayChou-09",47.245477,279.683492,44.983940,48.246122,2.672611,1.833357,2.263970,-nan,0.000000,6.419962,0.556930,11.102696,3.864435,83.258146,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,0.000000,1.144240,25.955485,14.155076,-nan,0.000000,-nan,0.000000,1.137155,3.144225,-nan,0.000000,0.000000,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,66.096641,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,39.700115,17.074216,46.985854,29.769625,11.174390,2.678895,0.297242,44.983940,34.819534,1.570126,11.856462,33,47
"JayChou-10",44.886636,268.031134,41.339167,53.672142,1.153477,0.286730,3.548484,-nan,0.000000,0.000000,1.853069,67.921923,5.538278,78.504024,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,9.811193,17.104166,-nan,0.000000,-nan,0.000000,10.036573,3.717314,-nan,0.000000,23.952277,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.100635,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,54.652998,35.085299,43.629759,26.870190,16.624858,5.541958,1.113342,41.339167,39.451368,1.754915,12.465858,18,38
