Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,114,0.862565,0.864098,0.865636,0.862565
"JayChou-02",334.300771,130,155,0.866307,0.893807,0.923109,0.866307
"JayChou-03",202.197460,77,85,0.891740,0.907400,0.923620,0.891740
"JayChou-04",265.362222,122,131,0.883642,0.885723,0.883642,0.887814
"JayChou-05",317.449184,144,159,0.853996,0.859337,0.864746,0.853996
"JayChou-06",231.501066,83,87,0.805463,0.832565,0.805463,0.861555
"JayChou-07",251.205465,103,138,0.826286,0.867964,0.914070,0.826286
"JayChou-08",232.944807,148,139,0.873799,0.906793,0.873799,0.942377
"JayChou-09",326.906803,133,174,0.837791,0.871368,0.907748,0.837791
"JayChou-10",297.602721,137,161,0.881216,0.893858,0.906869,0.881216
"JayChou-11",238.204785,114,130,0.863320,0.886694,0.911370,0.863320
"JayChou-12",301.863061,128,131,0.809443,0.841253,0.809443,0.875665
"JayChou-13",239.781542,87,108,0.861855,0.883403,0.906056,0.861855
"JayChou-14",260.263946,169,91,0.506211,0.650269,0.506211,0.908932
"JayChou-15",256.435601,106,128,0.835105,0.855432,0.876773,0.835105
"JayChou-16",261.531383,104,141,0.813200,0.862492,0.918145,0.813200
"JayChou-17",294.022517,143,177,0.838547,0.872251,0.908777,0.838547
"JayChou-18",263.845556,146,150,0.873772,0.890086,0.873772,0.907020
"JayChou-19",247.249410,130,143,0.857457,0.858157,0.858858,0.857457
"JayChou-20",243.906349,187,164,0.777320,0.839950,0.777320,0.913558
"JayChou-21",235.893197,115,145,0.860907,0.888385,0.917674,0.860907
"JayChou-22",255.506825,132,153,0.854520,0.865891,0.877568,0.854520
"JayChou-23",258.666077,124,132,0.901215,0.905232,0.901215,0.909286
"JayChou-24",282.777256,136,146,0.914619,0.916134,0.917654,0.914619
"JayChou-25",263.250590,122,149,0.837269,0.857987,0.879756,0.837269
"JayChou-26",258.221429,89,122,0.830274,0.883776,0.944647,0.830274
"JayChou-27",299.862993,104,132,0.860733,0.879736,0.899597,0.860733
"JayChou-28",258.075465,110,132,0.862148,0.882108,0.903015,0.862148
"JayChou-29",242.912585,123,112,0.754656,0.807474,0.754656,0.868241
