Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,98,0.937427,0.937434,0.937427,0.937440
"JayChou-02",334.300771,130,134,0.933257,0.933710,0.934164,0.933257
"JayChou-03",202.197460,77,79,0.953154,0.958603,0.964115,0.953154
"JayChou-04",265.362222,122,120,0.910851,0.915069,0.910851,0.919326
"JayChou-05",317.449184,144,147,0.905321,0.909690,0.905321,0.914102
"JayChou-06",231.501066,83,83,0.917629,0.923357,0.917629,0.929157
"JayChou-07",251.205465,103,109,0.917688,0.921190,0.924718,0.917688
"JayChou-08",232.944807,148,137,0.873159,0.897179,0.873159,0.922558
"JayChou-09",326.906803,133,129,0.900603,0.916438,0.900603,0.932841
"JayChou-10",297.602721,137,135,0.938418,0.948456,0.938418,0.958712
"JayChou-11",238.204785,114,116,0.929144,0.930920,0.932703,0.929144
"JayChou-12",301.863061,128,130,0.947010,0.947407,0.947010,0.947804
"JayChou-13",239.781542,87,90,0.943591,0.944467,0.945345,0.943591
"JayChou-14",260.263946,169,153,0.856462,0.894952,0.856462,0.937063
"JayChou-15",256.435601,106,112,0.919377,0.923385,0.927427,0.919377
"JayChou-16",261.531383,104,111,0.929748,0.942335,0.955267,0.929748
"JayChou-17",294.022517,143,148,0.902809,0.907657,0.912558,0.902809
"JayChou-18",263.845556,146,138,0.919319,0.944752,0.919319,0.971633
"JayChou-19",247.249410,130,120,0.870032,0.899822,0.870032,0.931725
"JayChou-20",243.906349,187,165,0.868460,0.914644,0.868460,0.966017
"JayChou-21",235.893197,115,102,0.815275,0.877487,0.815275,0.949977
"JayChou-22",255.506825,132,137,0.935025,0.937275,0.939535,0.935025
"JayChou-23",258.666077,124,124,0.927683,0.932476,0.937319,0.927683
"JayChou-24",282.777256,136,128,0.909918,0.931341,0.909918,0.953798
"JayChou-25",263.250590,122,128,0.896537,0.914322,0.932827,0.896537
"JayChou-26",258.221429,89,94,0.930909,0.934961,0.939048,0.930909
"JayChou-27",299.862993,104,111,0.939078,0.951511,0.964276,0.939078
"JayChou-28",258.075465,110,108,0.934848,0.947144,0.934848,0.959768
"JayChou-29",242.912585,123,121,0.912434,0.913570,0.914708,0.912434
