Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,276,0.737325,0.826543,0.940323,0.737325
"JayChou-02",334.300771,130,324,0.757931,0.829698,0.916478,0.757931
"JayChou-03",202.197460,77,181,0.776474,0.851479,0.942524,0.776474
"JayChou-04",265.362222,122,282,0.745225,0.818540,0.907853,0.745225
"JayChou-05",317.449184,144,401,0.713853,0.809346,0.934334,0.713853
"JayChou-06",231.501066,83,216,0.774884,0.848309,0.937105,0.774884
"JayChou-07",251.205465,103,285,0.712886,0.810204,0.938291,0.712886
"JayChou-08",232.944807,148,326,0.708890,0.774111,0.852550,0.708890
"JayChou-09",326.906803,133,349,0.732139,0.811455,0.910044,0.732139
"JayChou-10",297.602721,137,306,0.771488,0.849369,0.944741,0.771488
"JayChou-11",238.204785,114,287,0.692360,0.790896,0.922133,0.692360
"JayChou-12",301.863061,128,285,0.811934,0.869336,0.935471,0.811934
"JayChou-13",239.781542,87,211,0.802093,0.864259,0.936870,0.802093
"JayChou-14",260.263946,169,269,0.783401,0.792935,0.802705,0.783401
"JayChou-15",256.435601,106,275,0.731411,0.810979,0.909973,0.731411
"JayChou-16",261.531383,104,262,0.751257,0.832981,0.934655,0.751257
"JayChou-17",294.022517,143,371,0.701989,0.792671,0.910257,0.701989
"JayChou-18",263.845556,146,304,0.770417,0.834680,0.910640,0.770417
"JayChou-19",247.249410,130,259,0.779119,0.820215,0.865888,0.779119
"JayChou-20",243.906349,187,280,0.842344,0.844419,0.846505,0.842344
"JayChou-21",235.893197,115,252,0.753439,0.816882,0.891992,0.753439
"JayChou-22",255.506825,132,289,0.772778,0.837439,0.913908,0.772778
"JayChou-23",258.666077,124,243,0.798573,0.858448,0.928029,0.798573
"JayChou-24",282.777256,136,343,0.743316,0.827249,0.932551,0.743316
"JayChou-25",263.250590,122,369,0.651714,0.766111,0.929220,0.651714
"JayChou-26",258.221429,89,225,0.765202,0.847509,0.949655,0.765202
"JayChou-27",299.862993,104,320,0.722904,0.821491,0.951214,0.722904
"JayChou-28",258.075465,110,263,0.768847,0.839759,0.925081,0.768847
"JayChou-29",242.912585,123,290,0.761700,0.829876,0.911456,0.761700
