MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",93.292569,197.812000,91.237981,6.179769,0.000000,0.527663,2.054587,91.522565,64.887873,97.912869,32.529877,91.237981,2.176054,3.415283,0.588432,91.237981,1.772690,2.172142,2.234937,15,15
"N002-M01-T02",78.549478,209.704000,76.587499,16.119364,0.000000,5.331159,1.961978,92.196981,60.126655,64.924506,32.580208,76.587499,5.172084,9.273518,1.673761,76.587499,0.000000,9.854489,6.264874,6,8
"N003-M01-T03",90.593768,192.289000,87.822995,7.814821,0.000000,1.591411,2.770773,92.234484,54.226711,91.297414,41.411105,87.822995,2.859289,2.528546,2.426986,87.822995,0.000000,2.992694,4.822127,20,20
"N004-M01-T04",82.603106,192.634000,80.217639,16.504454,0.506330,0.386110,2.385467,78.136236,32.206153,84.667858,65.022270,80.217639,8.437596,2.838976,5.227883,80.217639,1.060797,1.906559,13.537099,12,10
"N005-M01-T05",94.821293,206.861000,92.859755,4.409910,0.000000,0.768798,1.961538,94.534955,47.974244,96.372694,49.295421,92.859755,0.549332,0.668648,3.191929,92.859755,0.318088,2.615237,1.476585,10,11
"N006-M01-T06",91.855199,206.573000,90.434879,5.373866,0.000000,2.770934,1.420320,95.151367,90.086797,82.420529,5.721948,90.434879,1.039594,1.052378,3.281893,90.434879,0.000000,4.228118,1.145749,7,8
"N007-M01-T07",91.591224,284.962000,90.380459,6.986932,0.028403,1.393442,1.210765,85.490609,37.838729,97.439154,59.557064,90.380459,2.242353,1.475704,3.268874,90.380459,1.908391,3.820813,1.257727,14,10
"N008-M01-T08",91.404324,178.996000,88.643911,8.251843,0.013115,0.330717,2.760413,90.240673,71.208295,94.881405,25.700574,88.643911,0.781682,6.268955,1.201206,88.643911,0.374677,3.897892,3.979274,8,9
"N009-M01-T09",94.537367,265.877000,88.737403,5.187608,0.000000,0.275025,5.799964,96.419991,47.008579,92.529917,46.916431,88.737403,2.340188,1.125605,1.721814,88.737403,1.256957,0.865322,3.065329,15,14
"N010-M01-T10",91.525370,211.867000,86.624840,5.893744,0.054588,2.526298,4.900531,93.890536,62.916830,92.903879,29.656341,86.624840,2.860592,1.136147,1.897005,86.624840,0.000000,1.382671,4.511072,8,8
"N011-M01-T11",80.278041,263.971000,77.780981,19.691258,0.021804,0.008897,2.497060,76.097461,66.166359,87.558537,31.327684,77.780981,7.079392,1.284379,11.327487,77.780981,2.753403,11.731601,5.206254,9,9
