MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",91.656697,197.812000,89.602110,7.815640,0.000000,0.527663,2.054587,-nan,0.000000,0.000000,0.181991,35.482671,2.265788,91.382566,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.568113,32.529877,90.435536,2.281777,3.647501,1.052936,89.602110,2.641361,1.464595,3.709684,17,15
"N002-M01-T02",74.908835,209.704000,72.946857,19.760006,0.000000,5.331159,1.961978,-nan,0.000000,52.496004,1.001888,22.363186,2.153988,90.484785,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,64.274338,31.722332,74.735067,5.415333,9.543718,3.012746,72.946857,1.788210,8.724984,9.246813,10,11
"N003-M01-T03",90.923992,192.289000,88.153219,7.484597,0.000000,1.591411,2.770773,-nan,0.000000,46.576212,1.516987,97.563439,8.675483,91.867880,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.040842,41.411105,88.857031,3.173107,1.809812,1.797865,88.153219,0.703812,1.864901,4.915883,25,24
"N004-M01-T04",80.597992,192.634000,78.212525,18.509568,0.506330,0.386110,2.385467,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,81.639008,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,83.489166,64.663040,79.518330,8.937799,3.109302,5.156661,78.212525,2.342494,1.736959,14.430115,16,12
"N005-M01-T05",93.831060,206.861000,91.869522,5.400143,0.000000,0.768798,1.961538,-nan,0.000000,-nan,0.000000,0.000000,0.208836,95.436347,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,95.978612,48.223203,92.924800,0.498328,0.926614,2.919923,91.869522,1.322715,2.157488,1.919939,11,12
"N006-M01-T06",91.611291,206.573000,90.056085,5.752661,0.000000,2.636048,1.555207,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.746581,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.173475,5.721948,90.056085,0.994139,1.476561,3.281960,90.056085,0.000000,4.556159,1.196502,7,8
"N007-M01-T07",91.124922,284.962000,89.914157,7.453233,0.028403,1.393442,1.210765,-nan,0.000000,0.000000,0.264948,95.682621,4.143009,84.693593,33.430773,-nan,0.000000,83.285515,4.828363,-nan,0.000000,97.964994,54.728701,89.926550,2.651779,1.927829,2.861233,89.914157,2.285298,2.673843,2.494092,19,13
"N008-M01-T08",92.668603,178.996000,89.959936,6.948933,0.000000,0.382463,2.708667,-nan,0.000000,0.000000,2.389998,94.982505,5.026369,94.168383,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.717417,25.700574,91.690175,0.798726,3.705631,0.714337,89.959936,1.965834,0.792943,4.190157,11,10
"N009-M01-T09",93.423478,265.877000,87.632247,6.292764,0.000000,0.283759,5.791231,-nan,0.000000,-nan,0.000000,0.000000,0.323082,96.729651,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.530177,46.916431,88.252314,2.479705,1.427323,1.765668,87.632247,1.920474,0.931886,3.440403,15,15
"N010-M01-T10",90.748244,211.867000,85.913472,6.605112,0.054588,2.592056,4.834773,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,96.874271,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,98.992330,27.705589,85.913472,2.899202,1.404125,2.301785,85.913472,0.000000,0.659243,5.945869,10,8
