MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",79.904657,197.812000,77.809233,17.841183,1.767335,0.486826,2.095424,-nan,0.000000,0.000000,0.181991,13.386881,2.265788,80.022508,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.659974,32.529877,78.163104,8.420116,5.997108,2.766768,77.809233,8.259863,5.823206,3.758114,17,24
"N002-M01-T02",69.600484,209.704000,63.712662,28.241712,0.752489,1.405314,5.887823,-nan,0.000000,0.000000,1.001888,0.907682,2.153988,88.680003,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,41.520978,31.722332,64.378839,8.923053,15.079350,3.573132,63.712662,4.523519,13.246767,10.471426,10,19
"N003-M01-T03",74.895600,192.289000,70.533416,24.806931,0.297469,0.000000,4.362184,-nan,0.000000,10.284539,1.516987,73.366503,8.675483,77.452080,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.219920,41.411105,72.477365,8.501266,8.923027,5.438689,70.533416,7.541253,10.072859,7.192819,25,31
"N004-M01-T04",68.197203,192.634000,65.793681,31.053189,0.381553,0.368055,2.403522,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,82.682854,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,63.804661,64.663040,66.630501,15.670131,10.311783,4.078719,65.793681,7.283761,7.958097,15.811331,16,15
"N005-M01-T05",69.151266,206.861000,66.452835,22.792600,8.024229,0.031905,2.698430,-nan,0.000000,-nan,0.000000,0.000000,0.208836,82.902194,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,55.687434,48.223203,67.280928,9.887799,7.529210,4.265666,66.452835,8.919033,8.016494,5.857073,11,22
"N006-M01-T06",77.274862,206.573000,73.564793,18.560509,3.683444,0.481186,3.710069,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.925817,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.045685,5.721948,73.564793,4.252250,7.192131,6.099539,73.564793,3.186767,11.242999,4.130743,6,17
"N007-M01-T07",77.356981,284.962000,76.049087,19.082193,2.264512,1.296313,1.307894,-nan,0.000000,0.000000,0.264948,80.442148,4.143009,77.083924,33.430773,-nan,0.000000,0.726797,4.828363,-nan,0.000000,85.716484,54.728701,77.770720,7.737172,5.149459,3.991409,76.049087,8.658698,4.381637,6.041858,19,27
"N008-M01-T08",88.232698,178.996000,85.156652,10.366153,1.386064,0.015084,3.076046,-nan,0.000000,0.000000,2.389998,80.026676,5.026369,89.519639,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.491729,25.700574,87.544973,1.349751,5.360455,1.267626,85.156652,3.108449,2.311784,4.945921,11,13
"N009-M01-T09",89.794905,265.877000,83.719916,10.134385,0.070709,0.000000,6.074990,-nan,0.000000,-nan,0.000000,0.000000,0.323082,94.132575,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.775533,46.916431,83.983195,4.275661,3.189445,1.932473,83.719916,3.982669,2.568481,3.583236,15,22
"N010-M01-T10",87.157037,211.867000,80.235714,10.624590,1.712867,0.505506,6.921323,-nan,0.000000,0.000000,0.717903,4.785308,1.824730,94.724539,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,82.868533,27.705589,80.235714,6.397410,1.086059,3.141122,80.235714,1.248425,2.836213,6.539952,10,15
"N011-M01-T11",62.710677,263.971000,60.204719,33.110834,4.178489,0.000000,2.505957,-nan,0.000000,-nan,0.000000,56.179775,2.022949,55.400425,64.143410,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.117297,31.327684,60.539605,12.577897,8.071720,12.126332,60.204719,8.164533,18.782745,6.163556,10,19
"N012-M01-T12",76.996775,193.825000,75.273056,21.957952,1.045273,0.000000,1.723720,-nan,0.000000,71.267817,4.126403,86.260865,19.647104,75.579638,33.801109,-nan,0.000000,29.556650,1.571005,0.000000,3.097640,81.518020,36.033019,79.251902,7.140978,7.767832,0.994712,75.273056,11.286470,3.274087,7.397395,17,32
"N013-M01-T13",87.143553,215.565000,84.541090,11.435530,1.383805,0.037112,2.602463,-nan,0.000000,-nan,0.000000,66.615306,2.709624,88.067691,68.723587,-nan,0.000000,-nan,0.000000,0.000000,0.262566,86.550141,25.664649,84.896435,3.458354,3.141048,4.156055,84.541090,2.373762,5.532902,3.528866,10,18
"N014-M01-T14",84.891486,234.947000,81.820581,13.028896,0.311560,1.768058,3.070905,-nan,0.000000,-nan,0.000000,70.071357,9.305077,88.081486,54.385032,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.055721,31.470927,83.704836,4.918982,4.477606,1.748054,81.820581,5.483790,3.672318,3.872788,8,14
"N015-M01-T15",70.540171,162.893000,66.094921,27.923852,0.829993,0.705985,4.445249,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.237283,77.067768,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.951664,17.780997,66.094921,19.929647,2.792631,5.201574,66.094921,17.672951,5.694536,4.556365,10,13
"N016-M01-T16",70.666458,262.147000,67.103572,25.215242,3.206979,0.911321,3.562886,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.237929,48.572747,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.186471,46.953045,67.103572,15.934571,5.629284,1.972939,67.103572,12.320950,4.485651,8.408641,11,17
"N017-M02-T01",84.342694,241.440000,82.520709,13.992710,1.011017,0.653579,1.821985,-nan,0.000000,0.000000,3.443091,-nan,0.000000,85.269596,45.305666,-nan,0.000000,0.000000,0.525182,-nan,0.000000,90.960205,48.250497,83.660951,4.629307,6.725480,1.497681,82.520709,2.886017,2.560471,8.546223,15,17
"N018-M02-T02",79.993422,249.333000,77.663205,19.604304,0.399867,0.002406,2.330217,-nan,0.000000,41.250832,6.028083,34.879406,0.432354,79.068708,68.664397,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.975946,22.542544,77.994890,1.627141,12.306434,4.939980,77.663205,1.255750,13.469136,4.879418,19,27
"N019-M02-T03",74.459492,287.230000,72.265780,24.010027,1.266929,0.263552,2.193712,-nan,0.000000,9.067827,1.919716,0.000000,2.582599,82.649849,52.415138,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.819622,40.625283,73.882255,8.116840,10.024371,4.252341,72.265780,4.693451,9.366361,9.950214,14,19
"N020-M02-T04",74.379910,226.580000,72.187307,22.869185,2.750905,0.000000,2.192603,-nan,0.000000,40.747905,6.845264,87.167048,9.643393,75.447364,47.600847,-nan,0.000000,-nan,0.000000,0.000000,4.055080,84.545455,29.662812,75.565805,5.932121,6.235767,7.243358,72.187307,6.203548,9.458911,7.206726,15,25
"N021-M02-T05",79.737822,257.993000,77.386208,17.536910,0.656219,2.069048,2.351614,-nan,0.000000,0.000000,1.547329,28.559772,0.950026,87.541453,61.128403,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.863995,31.953580,78.211424,9.964611,4.429190,2.162849,77.386208,4.347792,4.750129,8.438989,10,14
"N022-M02-T06",80.191390,209.520000,76.362161,15.645284,3.100897,1.062428,3.829229,-nan,0.000000,0.000000,1.029973,-nan,0.000000,83.730760,84.465445,-nan,0.000000,0.000000,1.280069,-nan,0.000000,67.667106,8.332856,76.927262,4.663039,6.168385,4.105575,76.362161,4.431081,6.709622,4.504582,20,25
"N023-M02-T07",82.979517,201.187000,80.649346,16.225700,0.794783,0.000000,2.330170,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.976977,86.789902,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.331536,10.879928,81.788088,6.431827,3.688111,4.967021,80.649346,6.933351,7.475632,1.816718,11,20
"N024-M02-T08",63.946548,207.736000,62.009474,35.005006,1.024858,0.023588,1.937074,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.267149,83.003427,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.672963,15.035911,62.009474,21.279412,7.710748,6.014846,62.009474,15.450861,11.196904,8.357242,8,13
"N025-M02-T09",42.323463,231.439000,40.241273,47.199478,10.477059,0.000000,2.082190,-nan,0.000000,0.000000,3.274729,0.000000,1.007609,78.257178,18.826991,-nan,0.000000,-nan,0.000000,-nan,0.000000,34.097473,74.808481,41.213451,16.443210,21.635939,8.061735,40.241273,13.187924,12.591223,21.420331,14,23
"N026-M02-T10",81.489973,199.762000,78.819295,17.582423,0.927604,0.000000,2.670678,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.117462,91.261601,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.945632,6.067721,78.919414,4.275087,11.782521,1.424695,78.819295,4.037304,12.801233,0.743885,6,14
"N027-M02-T11",65.421343,291.330000,57.330175,31.467751,3.110905,0.000000,8.091168,-nan,0.000000,5.376045,11.122438,59.621993,2.996602,77.955937,51.227817,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.511120,26.561974,66.235197,9.464868,8.728933,4.181169,57.330175,14.967906,9.660866,6.838980,15,26
"N028-M02-T12",76.612607,217.660000,73.091059,21.856565,1.530828,0.000000,3.521547,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.221109,58.946522,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.462518,37.531931,73.137003,12.158412,3.490765,5.472296,73.091059,9.046678,6.522099,6.287788,10,19
"N029-M02-T13",83.606502,206.954000,81.146052,14.411898,1.981600,0.000000,2.460450,-nan,0.000000,55.674518,3.384810,-nan,0.000000,81.774364,48.821960,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.775459,45.332779,82.368546,3.684394,7.523894,1.886893,81.146052,3.416701,6.417851,4.577346,10,15
"N030-M02-T14",53.283886,151.406000,49.348771,37.007120,9.708994,0.000000,3.935115,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.212446,37.667596,-nan,0.000000,-nan,0.000000,0.000000,6.330661,48.325553,52.066629,49.348771,16.402256,10.869450,9.735413,49.348771,3.955590,16.128819,16.922711,7,15
"N031-M02-T15",47.754113,250.213000,47.730933,47.867617,4.378270,0.000000,0.023180,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.140440,98.483692,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.419700,1.493128,47.730933,22.696662,13.121620,12.049334,47.730933,22.416501,21.288662,4.162454,3,19
"N032-M02-T16",81.733973,252.080000,80.760870,16.668518,1.597509,0.000000,0.973104,-nan,0.000000,0.000000,2.298080,33.933699,1.519756,87.785178,80.107506,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.706105,15.101555,81.355919,10.176928,4.730244,1.166296,80.760870,10.353856,2.708664,3.605998,10,21
"N033-M03-T01",70.656730,287.013000,66.707780,27.922080,1.421190,0.000000,3.948950,-nan,0.000000,0.000000,0.420538,75.295189,13.396606,55.557576,44.078840,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.213314,38.155066,67.081979,5.460380,3.159787,18.927714,66.707780,3.167801,17.008986,7.745294,11,18
"N034-M03-T02",76.266134,207.640000,73.914467,22.803891,0.605375,0.324600,2.351666,-nan,0.000000,0.000000,0.470044,-nan,0.000000,88.357205,41.224234,-nan,0.000000,0.000000,6.186188,0.000000,0.944905,77.301345,48.498363,74.387401,6.181372,11.779522,4.370064,73.914467,3.858601,8.934695,10.010595,16,26
"N035-M03-T03",81.071551,174.980000,78.126072,17.343696,1.584753,0.000000,2.945479,-nan,0.000000,-nan,0.000000,12.239902,3.735284,87.709804,54.070179,-nan,0.000000,7.418398,2.311121,-nan,0.000000,81.413807,36.937936,79.711967,6.472740,6.001257,2.151674,78.126072,4.577666,4.707967,8.058064,12,24
"N036-M03-T04",75.312171,316.253000,72.728480,22.227141,2.460688,0.000000,2.583691,-nan,0.000000,0.000000,1.615163,0.000000,2.792068,77.723172,68.972626,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.549042,24.036452,73.928785,3.969290,6.090061,10.967485,72.728480,4.182095,12.401463,5.643583,13,20
"N037-M03-T05",69.077928,234.179000,67.550891,28.816418,2.105654,0.000000,1.527037,-nan,0.000000,10.687567,2.397311,-nan,0.000000,79.022836,51.461489,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.685864,44.614163,69.404174,16.943449,2.931518,6.874656,67.550891,14.524360,5.752437,8.539621,10,18
"N038-M03-T06",70.489592,273.534000,65.406860,24.966183,4.324874,0.219351,5.082732,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.273347,54.199844,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.382104,40.498073,66.169836,15.485461,3.095410,5.622336,65.406860,16.181535,5.480854,3.303794,9,21
"N039-M03-T07",83.256848,283.931000,82.047751,15.221656,1.521496,0.000000,1.209097,-nan,0.000000,0.000000,2.565412,27.288889,3.169784,88.680348,58.453638,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.809560,34.602069,84.886821,4.683180,3.816772,3.671315,82.047751,5.728857,4.595131,4.897669,19,24
"N040-M03-T08",67.621973,224.291000,65.428394,32.006634,0.371393,0.000000,2.193579,-nan,0.000000,4.517732,7.895101,48.355726,18.384153,76.275142,63.618246,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.814928,7.908922,72.592302,0.382539,21.402553,3.057635,65.428394,7.323522,18.675738,6.007374,15,21
"N041-M03-T09",96.836015,57.554000,90.681794,3.163985,0.000000,0.000000,6.154220,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.572072,77.144942,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.270079,16.700837,90.681794,0.173750,1.461236,1.528999,90.681794,0.173750,1.320499,1.669736,4,7
"N042-M03-T10",59.698747,246.836000,57.218153,39.507608,0.744219,0.049426,2.480594,-nan,0.000000,9.045051,4.658154,61.032066,1.907744,62.928083,73.604336,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.842911,17.299746,57.974120,12.666305,11.137759,14.947577,57.218153,7.678783,16.489086,15.339740,16,23
"N043-M03-T11",82.349137,202.585000,78.644026,17.599033,0.051830,0.000000,3.705111,-nan,0.000000,0.000000,2.543130,0.000000,0.733519,84.157619,84.656811,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.488104,8.361429,78.717575,5.670706,5.028013,6.579954,78.644026,2.692697,8.371301,6.535035,12,24
"N044-M03-T12",85.695199,240.255000,83.524588,12.935007,0.401657,0.968138,2.170610,-nan,0.000000,0.000000,2.855300,-nan,0.000000,87.654214,57.758631,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.756264,36.247321,85.735989,3.211588,4.372021,3.139997,83.524588,3.852573,6.425256,2.657177,7,14
"N045-M03-T13",82.441827,217.067000,80.049017,15.789595,1.768578,0.000000,2.392810,-nan,0.000000,0.000000,0.358415,69.999356,7.151248,89.753243,65.101098,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.460864,24.996430,80.574201,8.792677,3.850424,2.548522,80.049017,7.098269,4.089981,4.601344,11,18
"N046-M03-T14",84.200124,194.280000,81.815936,14.401894,0.659358,0.738625,2.384188,-nan,0.000000,20.413371,2.017192,0.000000,2.385732,89.932915,59.923307,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.524035,32.550957,83.480029,3.999897,6.697550,1.577105,81.815936,3.658637,5.200226,5.543031,16,17
"N047-M03-T15",84.287135,208.097000,81.326016,15.262594,0.425282,0.024988,2.961119,-nan,0.000000,34.225387,1.957260,38.029450,8.452308,88.682414,70.674733,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.693596,15.929591,84.901753,3.960172,4.769891,2.572358,81.326016,5.039477,4.652157,5.570960,11,17
