MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",88.968201,209.213000,88.790044,8.768425,0.000000,2.263374,0.178157,91.012134,97.558469,97.558469,88.790044,0.000000,8.768425,0.000000,12,12
"N002-M01-T02",62.340668,222.707000,62.182490,30.949994,0.000198,6.709141,0.158178,66.767636,93.132681,93.132484,62.182490,0.000000,30.949994,0.000000,6,8
"N003-M01-T03",79.539978,195.360000,78.952192,16.754196,0.000000,3.705825,0.587786,82.494171,95.706388,95.706388,78.952192,0.000000,16.754196,-0.000000,12,12
"N004-M01-T04",67.660124,242.507000,67.507835,29.773531,0.517048,2.049296,0.152290,69.027535,97.798414,97.281366,67.507835,0.000000,29.773531,-0.000000,8,11
"N005-M01-T05",79.148011,228.107000,78.987698,18.536271,0.000000,2.315718,0.160313,80.993113,97.523969,97.523969,78.987698,0.000000,18.536271,-0.000000,11,10
"N006-M01-T06",69.053331,206.573000,66.733766,29.074979,0.000000,1.871690,2.319565,69.653105,95.808746,95.808746,66.733766,0.000000,29.074979,0.000000,7,11
"N007-M01-T07",87.395732,298.680000,87.278542,10.236859,0.000000,2.367409,0.117190,89.502315,97.515401,97.515401,87.278542,0.000000,10.236859,0.000000,10,10
"N008-M01-T08",92.890528,192.187000,91.865937,5.255096,0.000000,1.854375,1.024591,94.589126,97.121033,97.121033,91.865937,0.000000,5.255096,-0.000000,5,6
"N009-M01-T09",87.463691,277.040000,83.477414,10.294180,0.398201,1.843928,3.986277,88.645636,94.169795,93.771594,83.477414,0.000000,10.294180,-0.000000,10,10
"N010-M01-T10",85.241520,215.693000,83.447704,9.251901,0.005304,5.501276,1.793815,90.014332,92.704909,92.699605,83.447704,0.000000,9.251901,-0.000000,6,7
"N011-M01-T11",62.112280,267.920000,61.017222,36.513757,0.000000,1.373963,1.095057,62.561888,97.530979,97.530979,61.017222,0.000000,36.513757,-0.000000,5,9
"N012-M01-T12",85.901127,204.867000,85.709959,12.659012,0.000215,1.439646,0.191168,87.130902,98.369186,98.368971,85.709959,0.000000,12.659012,0.000000,8,9
"N013-M01-T13",88.489782,219.093000,87.286374,10.116555,0.000000,1.393663,1.203408,89.613705,97.402929,97.402929,87.286374,0.000000,10.116555,0.000000,8,9
"N014-M01-T14",86.079743,234.947000,85.918422,9.242614,0.000000,4.677643,0.161321,90.287396,95.161036,95.161036,85.918422,0.000000,9.242614,-0.000000,6,6
"N015-M01-T15",84.869167,162.893000,84.652535,10.195960,0.000270,4.934603,0.216632,89.250013,94.848766,94.848496,84.652535,0.000000,10.195960,-0.000000,7,7
"N016-M01-T16",73.078058,262.147000,72.442877,23.082748,0.000168,3.839026,0.635181,75.835933,95.525793,95.525625,72.442877,0.000000,23.082748,-0.000000,8,8
"N017-M02-T01",85.096682,241.440000,84.943256,12.581181,0.000000,2.322138,0.153426,87.099458,97.524437,97.524437,84.943256,0.000000,12.581181,0.000000,8,9
"N018-M02-T02",79.014888,254.107000,78.069344,19.641856,0.000000,1.343256,0.945543,79.898051,97.711200,97.711200,78.069344,0.000000,19.641856,0.000000,11,11
"N019-M02-T03",77.104018,289.040000,76.976173,20.581951,0.000000,2.314031,0.127845,78.902884,97.558123,97.558123,76.976173,0.000000,20.581951,-0.000000,9,10
"N020-M02-T04",86.247516,250.147000,86.090341,11.923627,0.000000,1.828858,0.157175,87.834768,98.013968,98.013968,86.090341,0.000000,11.923627,0.000000,9,9
"N021-M02-T05",83.227121,268.960000,83.096408,12.663184,0.000000,4.109695,0.130713,86.776067,95.759593,95.759593,83.096408,0.000000,12.663184,0.000000,6,7
"N022-M02-T06",84.487898,209.520000,84.318630,10.789712,0.000000,4.722390,0.169267,88.655346,95.108343,95.108343,84.318630,0.000000,10.789712,-0.000000,12,12
"N023-M02-T07",88.112137,201.187000,87.911134,9.654991,0.103704,2.129167,0.201003,90.008485,97.669830,97.566125,87.911134,0.000000,9.654991,-0.000000,10,11
"N024-M02-T08",68.744688,240.253000,68.369372,29.935332,0.000000,1.319980,0.375316,69.548424,98.304704,98.304704,68.369372,0.000000,29.935332,0.000000,7,9
"N025-M02-T09",37.962645,256.467000,37.825825,60.295181,0.000000,1.742173,0.136821,38.550180,98.121006,98.121006,37.825825,0.000000,60.295181,-0.000000,9,11
"N026-M02-T10",76.561553,207.053000,76.325728,21.097637,0.000000,2.340810,0.235825,78.344377,97.423365,97.423365,76.325728,0.000000,21.097637,0.000000,6,8
"N027-M02-T11",77.859968,318.440000,72.434397,20.163266,0.000000,1.976765,5.425571,78.224865,92.597664,92.597664,72.434397,0.000000,20.163266,-0.000000,8,10
"N028-M02-T12",71.037116,250.987000,70.897344,26.048713,0.000000,2.914171,0.139772,73.130715,96.946057,96.946057,70.897344,0.000000,26.048713,0.000000,7,10
"N029-M02-T13",82.953662,215.093000,82.767091,14.325795,0.539765,2.180778,0.186570,84.773987,97.632652,97.092886,82.767091,0.000000,14.325795,0.000000,7,8
"N030-M02-T14",39.103426,196.293000,38.871170,58.093572,0.000000,2.803002,0.232256,40.087943,96.964741,96.964741,38.871170,0.000000,58.093572,0.000000,7,10
"N031-M02-T15",51.674686,250.213000,51.656126,42.940341,5.380353,0.004620,0.018560,51.668103,99.976820,94.596467,51.656126,0.000000,42.940341,-0.000000,2,7
"N032-M02-T16",87.626892,252.080000,87.478030,11.511847,0.037020,0.824242,0.148862,88.337646,99.026896,98.989876,87.478030,0.000000,11.511847,0.000000,9,10
"N033-M03-T01",77.258496,287.013000,76.929884,19.121166,0.000000,3.620338,0.328612,80.092705,96.051050,96.051050,76.929884,0.000000,19.121166,0.000000,5,9
"N034-M03-T02",81.473861,207.640000,80.374496,16.949238,0.000000,1.576902,1.099365,82.584682,97.323733,97.323733,80.374496,0.000000,16.949238,0.000000,10,10
"N035-M03-T03",81.187598,193.027000,80.983348,16.346559,0.000000,2.465844,0.204249,83.204999,97.329907,97.329907,80.983348,0.000000,16.346559,-0.000000,7,9
"N036-M03-T04",81.568516,316.253000,81.451921,15.964388,0.000000,2.467095,0.116596,83.612202,97.416309,97.416309,81.451921,0.000000,15.964388,0.000000,10,12
"N037-M03-T05",82.302004,239.107000,82.141830,15.498458,0.864147,1.335391,0.160174,83.388966,98.504435,97.640288,82.141830,0.000000,15.498458,-0.000000,8,9
"N038-M03-T06",89.038518,275.333000,86.246154,7.250952,1.235455,2.475075,2.792365,91.041722,94.732560,93.497106,86.246154,0.000000,7.250952,0.000000,8,8
"N039-M03-T07",93.393453,288.853000,93.265955,5.545552,0.000000,1.060995,0.127499,94.387747,98.811506,98.811506,93.265955,0.000000,5.545552,-0.000000,11,11
"N040-M03-T08",67.313852,226.253000,67.150831,30.674418,0.000194,2.011535,0.163022,68.643523,97.825443,97.825249,67.150831,0.000000,30.674418,0.000000,9,10
"N041-M03-T09",95.134903,170.133000,94.929950,2.988149,0.000000,1.876948,0.204952,96.948318,97.918099,97.918099,94.929950,0.000000,2.988149,-0.000000,5,5
"N042-M03-T10",56.615137,248.760000,56.473263,41.016285,0.000000,2.368578,0.141874,57.927505,97.489548,97.489548,56.473263,0.000000,41.016285,-0.000000,11,9
"N043-M03-T11",84.276925,204.307000,82.654331,13.671786,0.000000,2.051289,1.622594,85.806772,96.326117,96.326117,82.654331,0.000000,13.671786,-0.000000,9,9
"N044-M03-T12",81.323431,246.080000,81.174699,15.760672,0.000179,2.915718,0.148732,83.740897,96.935549,96.935371,81.174699,0.000000,15.760672,0.000000,7,6
"N045-M03-T13",87.012731,222.533000,86.160277,11.505687,0.000000,1.481582,0.852454,88.219349,97.665964,97.665964,86.160277,0.000000,11.505687,0.000000,8,7
"N046-M03-T14",89.359592,199.013000,89.163872,7.787584,0.000000,2.852825,0.195720,91.967543,96.951455,96.951455,89.163872,0.000000,7.787584,-0.000000,7,6
"N047-M03-T15",90.737834,210.747000,90.251768,6.799673,0.000000,2.462493,0.486066,92.993744,97.051441,97.051441,90.251768,0.000000,6.799673,-0.000000,7,8
