MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",90.716160,209.213000,88.784636,7.606602,1.167231,0.510007,1.931524,91.006590,97.558469,96.391238,88.784636,0.000000,7.606602,-0.000000,12,12
"N002-M01-T02",79.584387,222.707000,74.240594,17.995842,0.896245,1.523526,5.343793,79.714868,93.132681,92.236436,74.240594,0.000000,17.995842,-0.000000,6,6
"N003-M01-T03",88.988534,195.360000,84.714373,10.976658,0.015356,0.019451,4.274161,88.514858,95.706388,95.691032,84.714373,0.000000,10.976658,-0.000000,12,12
"N004-M01-T04",78.875661,242.507000,76.990355,20.554458,0.253601,0.316280,1.885306,78.723521,97.798414,97.544813,76.990355,0.000000,20.554458,0.000000,8,7
"N005-M01-T05",89.603125,228.107000,87.266502,8.693727,1.563740,0.139408,2.336623,89.482107,97.523969,95.960229,87.266502,0.000000,8.693727,-0.000000,11,10
"N006-M01-T06",90.086797,206.573000,86.371888,6.823254,2.613604,0.476345,3.714909,90.150317,95.808746,93.195142,86.371888,0.000000,6.823254,0.000000,7,7
"N007-M01-T07",86.831726,298.680000,85.503549,11.907058,0.104794,1.156422,1.328177,87.682097,97.515401,97.410607,85.503549,0.000000,11.907058,0.000000,10,9
"N008-M01-T08",92.672761,192.187000,89.793795,7.049384,0.277854,0.000000,2.878967,92.455559,97.121033,96.843179,89.793795,0.000000,7.049384,0.000000,5,5
"N009-M01-T09",90.950043,277.040000,85.311868,8.857927,0.000000,0.192030,5.638175,90.593665,94.169795,94.169795,85.311868,0.000000,8.857927,0.000000,10,9
"N010-M01-T10",88.643581,215.693000,84.288317,7.406360,1.010232,2.939827,4.355264,90.921093,92.704909,91.694677,84.288317,0.000000,7.406360,0.000000,6,7
"N011-M01-T11",89.371081,267.920000,86.908405,10.565841,0.056733,0.006345,2.462675,89.108513,97.530979,97.474246,86.908405,0.000000,10.565841,-0.000000,5,6
"N012-M01-T12",91.893765,204.867000,90.285405,7.350623,0.733159,0.022454,1.608361,91.782202,98.369186,97.636027,90.285405,0.000000,7.350623,-0.000000,8,7
"N013-M01-T13",93.539730,219.093000,90.947223,6.372180,0.083526,0.004564,2.592506,93.372164,97.402929,97.319403,90.947223,0.000000,6.372180,-0.000000,8,8
"N014-M01-T14",92.951176,234.947000,90.198215,4.924941,0.037881,2.086002,2.752961,94.784818,95.161036,95.123155,90.198215,0.000000,4.924941,0.000000,6,6
"N015-M01-T15",91.921691,162.893000,86.813430,6.652833,1.382503,0.042973,5.108261,91.528265,94.848766,93.466263,86.813430,0.000000,6.652833,-0.000000,7,7
"N016-M01-T16",91.291909,262.147000,88.515604,6.938092,0.072097,1.697902,2.776305,92.661470,95.525793,95.453696,88.515604,0.000000,6.938092,0.000000,8,8
"N017-M02-T01",89.516650,241.440000,87.737740,9.536117,0.250580,0.696653,1.778910,89.964878,97.524437,97.273857,87.737740,0.000000,9.536117,-0.000000,8,8
"N018-M02-T02",88.961737,254.107000,86.683169,10.706513,0.321518,0.010232,2.278568,88.713646,97.711200,97.389682,86.683169,0.000000,10.706513,-0.000000,11,11
"N019-M02-T03",87.860850,289.040000,85.749031,11.803557,0.005536,0.330058,2.111818,87.895327,97.558123,97.552588,85.749031,0.000000,11.803557,0.000000,9,9
"N020-M02-T04",90.841785,250.147000,88.858151,8.766046,0.389771,0.002399,1.983634,90.658662,98.013968,97.624197,88.858151,0.000000,8.766046,-0.000000,9,9
"N021-M02-T05",85.265095,268.960000,83.409801,12.346074,0.003718,2.385113,1.855294,87.103337,95.759593,95.755874,83.409801,0.000000,12.346074,-0.000000,6,6
"N022-M02-T06",85.360347,209.520000,81.540664,10.948835,2.618843,1.071974,3.819683,85.734502,95.108343,92.489500,81.540664,0.000000,10.948835,0.000000,12,12
"N023-M02-T07",91.306595,201.187000,88.976425,7.963238,0.730166,0.000000,2.330170,91.099191,97.669830,96.939663,88.976425,0.000000,7.963238,-0.000000,10,9
"N024-M02-T08",75.625695,240.253000,73.930398,23.854021,0.520285,0.000000,1.695296,75.205352,98.304704,97.784419,73.930398,0.000000,23.854021,0.000000,7,7
"N025-M02-T09",82.210967,256.467000,80.338991,17.323476,0.458539,0.007018,1.871976,81.877464,98.121006,97.662467,80.338991,0.000000,17.323476,0.000000,9,8
"N026-M02-T10",83.928270,207.053000,81.355015,14.612201,1.456149,0.003381,2.573254,83.506678,97.423365,95.967216,81.355015,0.000000,14.612201,0.000000,6,7
"N027-M02-T11",85.806117,318.440000,78.408491,13.820814,0.368358,0.004710,7.397626,84.676533,92.597664,92.229305,78.408491,0.000000,13.820814,0.000000,8,7
"N028-M02-T12",86.445912,250.987000,83.544964,13.291127,0.109966,0.152996,2.900947,86.176753,96.946057,96.836091,83.544964,0.000000,13.291127,0.000000,7,7
"N029-M02-T13",92.179197,215.093000,89.811849,7.285686,0.535117,0.000000,2.367348,91.989562,97.632652,97.097535,89.811849,0.000000,7.285686,0.000000,7,7
"N030-M02-T14",69.015197,196.293000,65.979938,29.723933,1.260870,0.000000,3.035259,68.045289,96.964741,95.703871,65.979938,0.000000,29.723933,0.000000,7,7
"N031-M02-T15",89.010963,250.213000,89.010963,8.966361,1.999496,0.023180,0.000000,89.031600,99.976820,97.977323,89.010963,0.000000,8.966361,0.000000,2,5
"N032-M02-T16",92.046969,252.080000,91.269438,7.757458,0.000000,0.195573,0.777531,92.166312,99.026896,99.026896,91.269438,0.000000,7.757458,-0.000000,9,9
"N033-M03-T01",87.151453,287.013000,83.207381,12.741583,0.102086,0.004878,3.944072,86.628289,96.051050,95.948964,83.207381,0.000000,12.741583,-0.000000,5,5
"N034-M03-T02",81.255538,207.640000,78.740127,18.310537,0.273069,0.160855,2.515411,80.905371,97.323733,97.050665,78.740127,0.000000,18.310537,0.000000,10,9
"N035-M03-T03",88.639931,193.027000,85.974501,11.209313,0.146094,0.004663,2.665430,88.333076,97.329907,97.183814,85.974501,0.000000,11.209313,0.000000,7,7
"N036-M03-T04",80.245247,316.253000,77.698235,19.004088,0.713985,0.036679,2.547011,79.758960,97.416309,96.702324,77.698235,0.000000,19.004088,-0.000000,10,10
"N037-M03-T05",86.012538,239.107000,84.516974,13.008402,0.979060,0.000000,1.495565,85.800171,98.504435,97.525376,84.516974,0.000000,13.008402,0.000000,8,8
"N038-M03-T06",88.539696,275.333000,83.272256,7.842867,3.617438,0.000000,5.267440,87.902465,94.732560,91.115122,83.272256,0.000000,7.842867,0.000000,8,8
"N039-M03-T07",93.087487,288.853000,91.919073,6.820424,0.072009,0.020079,1.168414,93.024665,98.811506,98.739497,91.919073,0.000000,6.820424,0.000000,11,11
"N040-M03-T08",80.412193,226.253000,78.257968,19.501620,0.065855,0.020331,2.154226,79.997560,97.825443,97.759588,78.257968,0.000000,19.501620,-0.000000,9,8
"N041-M03-T09",94.489605,170.133000,92.407705,4.575244,0.935151,0.000000,2.081901,94.372445,97.918099,96.982949,92.407705,0.000000,4.575244,-0.000000,5,5
"N042-M03-T10",70.343705,248.760000,68.031034,29.218524,0.239990,0.197781,2.312671,69.782900,97.489548,97.249558,68.031034,0.000000,29.218524,0.000000,11,10
"N043-M03-T11",85.787075,204.307000,82.120534,13.884497,0.321085,0.007342,3.666541,85.252616,96.326117,96.005032,82.120534,0.000000,13.884497,-0.000000,9,9
