MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",91.145880,209.213000,89.203257,8.221798,0.133414,0.498908,1.942623,91.435687,97.558469,97.425055,89.203257,0.000000,8.221798,-0.000000,12,12
"N002-M01-T02",77.113977,222.707000,75.266551,17.866130,0.000000,5.019893,1.847426,80.816476,93.132681,93.132681,75.266551,0.000000,17.866130,-0.000000,6,6
"N003-M01-T03",91.337523,195.360000,88.610306,7.096083,0.000000,1.566395,2.727217,92.585571,95.706388,95.706388,88.610306,0.000000,7.096083,-0.000000,12,12
"N004-M01-T04",75.444685,242.507000,73.549803,23.846411,0.402200,0.306705,1.894881,75.205518,97.798414,97.396214,73.549803,0.000000,23.846411,0.000000,8,7
"N005-M01-T05",89.501992,228.107000,87.723152,9.800817,0.000000,0.697191,1.778840,89.950351,97.523969,97.523969,87.723152,0.000000,9.800817,-0.000000,11,8
"N006-M01-T06",91.611291,206.573000,90.056085,5.752661,0.000000,2.636048,1.555207,93.995683,95.808746,95.808746,90.056085,0.000000,5.752661,0.000000,7,8
"N007-M01-T07",91.040231,298.680000,89.885075,7.603228,0.027098,1.329443,1.155156,92.175260,97.515401,97.488303,89.885075,0.000000,7.603228,-0.000000,10,7
"N008-M01-T08",94.911176,192.187000,92.388421,4.732612,0.000000,0.356212,2.522754,95.127099,97.121033,97.121033,92.388421,0.000000,4.732612,0.000000,5,6
"N009-M01-T09",91.791363,277.040000,86.233483,7.936312,0.000000,0.272325,5.557880,91.572338,94.169795,94.169795,86.233483,0.000000,7.936312,0.000000,10,8
"N010-M01-T10",90.891016,215.693000,86.142004,6.509286,0.053619,2.546078,4.749013,92.920649,92.704909,92.651290,86.142004,0.000000,6.509286,0.000000,6,7
"N011-M01-T11",82.037619,267.920000,79.620698,17.888799,0.021482,0.052100,2.416921,81.636315,97.530979,97.509497,79.620698,0.000000,17.888799,0.000000,5,6
"N012-M01-T12",91.265574,204.867000,89.646087,8.723099,0.000000,0.011328,1.619487,91.132285,98.369186,98.369186,89.646087,0.000000,8.723099,0.000000,8,8
"N013-M01-T13",92.686323,219.093000,90.465486,6.937444,0.000000,0.376234,2.220837,92.877582,97.402929,97.402929,90.465486,0.000000,6.937444,-0.000000,8,9
"N014-M01-T14",93.002112,234.947000,91.397864,3.763172,0.000000,3.234716,1.604248,96.045469,95.161036,95.161036,91.397864,0.000000,3.763172,-0.000000,6,6
"N015-M01-T15",91.337904,162.893000,88.540897,6.307869,0.000000,2.354227,2.797007,93.349551,94.848766,94.848766,88.540897,0.000000,6.307869,-0.000000,7,7
"N016-M01-T16",88.444401,262.147000,86.511432,8.363306,0.651054,2.541238,1.932969,90.563428,95.525793,94.874739,86.511432,0.000000,8.363306,-0.000000,8,8
"N017-M02-T01",90.102563,241.440000,88.573867,8.950570,0.000000,0.946867,1.528696,90.822228,97.524437,97.524437,88.573867,0.000000,8.950570,-0.000000,8,8
"N018-M02-T02",89.561702,254.107000,87.364271,10.346929,0.000000,0.091369,2.197431,89.410703,97.711200,97.711200,87.364271,0.000000,10.346929,-0.000000,11,11
"N019-M02-T03",83.142323,289.040000,81.355643,15.395039,0.807442,0.655197,1.786680,83.391972,97.558123,96.750682,81.355643,0.000000,15.395039,-0.000000,9,9
"N020-M02-T04",83.207852,250.147000,81.528343,16.485624,0.000000,0.306524,1.679509,83.180332,98.013968,98.013968,81.528343,0.000000,16.485624,-0.000000,9,7
"N021-M02-T05",88.190189,268.960000,87.187520,8.572073,0.000000,3.237738,1.002670,91.048340,95.759593,95.759593,87.187520,0.000000,8.572073,-0.000000,6,6
"N022-M02-T06",85.315331,209.520000,83.395228,9.906483,1.806631,2.971554,1.920103,87.684451,95.108343,93.301712,83.395228,0.000000,9.906483,-0.000000,12,12
"N023-M02-T07",94.867420,201.187000,92.560501,5.080239,0.029089,0.023252,2.306918,94.768775,97.669830,97.640740,92.560501,0.000000,5.080239,0.000000,10,10
"N024-M02-T08",75.982149,240.253000,74.437270,23.451972,0.415462,0.150417,1.544879,75.720964,98.304704,97.889241,74.437270,0.000000,23.451972,0.000000,7,6
"N025-M02-T09",82.276626,256.467000,80.411193,17.582400,0.127412,0.013561,1.865433,81.951049,98.121006,97.993593,80.411193,0.000000,17.582400,-0.000000,9,7
"N026-M02-T10",87.069266,207.053000,84.590542,12.832823,0.000000,0.097910,2.478725,86.827776,97.423365,97.423365,84.590542,0.000000,12.832823,0.000000,6,6
"N027-M02-T11",86.294536,318.440000,78.946764,13.524110,0.126789,0.054564,7.347773,85.257836,92.597664,92.470874,78.946764,0.000000,13.524110,-0.000000,8,7
"N028-M02-T12",88.553200,250.987000,85.536375,11.122737,0.286945,0.037118,3.016825,88.230896,96.946057,96.659112,85.536375,0.000000,11.122737,0.000000,7,7
"N029-M02-T13",93.982316,215.093000,91.755433,5.877219,0.000000,0.140464,2.226884,93.980273,97.632652,97.632652,91.755433,0.000000,5.877219,0.000000,7,7
"N030-M02-T14",66.601031,196.293000,63.604215,32.505341,0.855185,0.038443,2.996816,65.595199,96.964741,96.109556,63.604215,0.000000,32.505341,-0.000000,7,7
"N031-M02-T15",83.687197,250.213000,83.677917,14.723380,1.575522,0.013900,0.009280,83.697319,99.976820,98.401298,83.677917,0.000000,14.723380,0.000000,2,5
"N032-M02-T16",96.042410,252.080000,95.128832,3.898064,0.000000,0.059526,0.913578,96.063631,99.026896,99.026896,95.128832,0.000000,3.898064,-0.000000,9,9
"N033-M03-T01",86.384906,287.013000,82.723128,13.327922,0.000000,0.287172,3.661778,86.124127,96.051050,96.051050,82.723128,0.000000,13.327922,-0.000000,5,6
"N034-M03-T02",88.077065,207.640000,85.691679,11.632055,0.000000,0.290880,2.385386,88.048080,97.323733,97.323733,85.691679,0.000000,11.632055,0.000000,10,10
"N035-M03-T03",83.028805,193.027000,80.442738,16.887169,0.000000,0.084026,2.586067,82.649558,97.329907,97.329907,80.442738,0.000000,16.887169,-0.000000,7,8
"N036-M03-T04",85.739066,316.253000,83.184712,14.217057,0.014540,0.029337,2.554354,85.390950,97.416309,97.401770,83.184712,0.000000,14.217057,0.000000,10,8
"N037-M03-T05",87.312704,239.107000,85.836704,12.497900,0.169832,0.019564,1.476000,87.139938,98.504435,98.334604,85.836704,0.000000,12.497900,0.000000,8,8
"N038-M03-T06",89.755111,275.333000,88.172980,6.559580,0.000000,3.685309,1.582131,93.075686,94.732560,94.732560,88.172980,0.000000,6.559580,0.000000,8,7
"N039-M03-T07",93.349343,288.853000,92.273280,6.538226,0.000000,0.112432,1.076062,93.383133,98.811506,98.811506,92.273280,0.000000,6.538226,0.000000,11,11
"N040-M03-T08",76.922340,226.253000,74.901552,22.923891,0.000000,0.153769,2.020788,76.566535,97.825443,97.825443,74.901552,0.000000,22.923891,0.000000,9,8
"N041-M03-T09",97.412979,170.133000,95.583900,2.334199,0.000000,0.252822,1.829079,97.616172,97.918099,97.918099,95.583900,0.000000,2.334199,0.000000,5,5
"N042-M03-T10",72.262147,248.760000,70.477440,27.012108,0.000000,0.725745,1.784707,72.292304,97.489548,97.489548,70.477440,0.000000,27.012108,-0.000000,11,10
"N043-M03-T11",87.955806,204.307000,84.327201,11.947822,0.051095,0.045278,3.628605,87.543444,96.326117,96.275022,84.327201,0.000000,11.947822,0.000000,9,8
"N044-M03-T12",92.366680,246.080000,90.698583,6.236967,0.000000,1.396354,1.668097,93.565862,96.935549,96.935549,90.698583,0.000000,6.236967,0.000000,7,6
"N045-M03-T13",94.422864,222.533000,92.714790,4.951174,0.000000,0.625962,1.708074,94.930502,97.665964,97.665964,92.714790,0.000000,4.951174,-0.000000,8,6
"N046-M03-T14",90.875475,199.013000,88.999627,7.951828,0.000000,1.172697,1.875848,91.798134,96.951455,96.951455,88.999627,0.000000,7.951828,0.000000,7,6
"N047-M03-T15",92.350950,210.747000,89.903693,7.147748,0.000000,0.501302,2.447257,92.635093,97.051441,97.051441,89.903693,0.000000,7.147748,0.000000,7,6
"N048-M03-T16",87.435629,269.587000,86.383590,12.208702,0.000000,0.355670,1.052039,87.616981,98.592291,98.592291,86.383590,0.000000,12.208702,0.000000,7,8
"N049-M04-T01",79.079120,275.053000,76.482834,20.246524,0.000000,0.674356,2.596286,79.068895,96.729358,96.729358,76.482834,0.000000,20.246524,-0.000000,9,9
"N050-M04-T02",83.408329,195.400000,81.124648,15.159896,0.000000,1.431774,2.283681,84.255109,96.284545,96.284545,81.124648,0.000000,15.159896,0.000000,9,9
"N051-M04-T03",89.873834,367.360000,89.021321,9.851174,0.000000,0.274991,0.852513,90.036487,98.872496,98.872496,89.021321,0.000000,9.851174,-0.000000,8,8
"N052-M04-T04",81.321103,225.453000,79.369906,18.406127,0.000000,0.272770,1.951197,81.175216,97.776033,97.776033,79.369906,0.000000,18.406127,-0.000000,8,7
"N053-M04-T05",96.177533,219.773000,94.943139,3.521640,0.000000,0.300827,1.234394,96.423452,98.464780,98.464780,94.943139,0.000000,3.521640,-0.000000,10,10
"N054-M04-T06",92.999050,222.920000,91.568237,6.698854,0.000000,0.302095,1.430813,93.183013,98.267091,98.267091,91.568237,0.000000,6.698854,0.000000,7,7
"N055-M04-T07",91.748933,249.173000,90.463071,7.929612,0.000000,0.321455,1.285862,91.940852,98.392683,98.392683,90.463071,0.000000,7.929612,0.000000,8,9
"N056-M04-T08",95.380800,322.960000,93.707559,4.561886,0.000000,0.057314,1.673241,95.357777,98.269445,98.269445,93.707559,0.000000,4.561886,0.000000,4,4
"N057-M04-T09",86.588430,267.173000,84.866043,13.146480,0.000000,0.265089,1.722387,86.586938,98.012524,98.012524,84.866043,0.000000,13.146480,-0.000000,10,8
"N058-M04-T10",78.530959,225.960000,73.626313,20.806330,0.000000,0.662710,4.904647,77.967015,94.432643,94.432643,73.626313,0.000000,20.806330,0.000000,7,7
"N059-M04-T11",94.376983,205.013000,92.936609,5.005961,0.000000,0.617056,1.440374,94.888881,97.942569,97.942569,92.936609,0.000000,5.005961,0.000000,8,8
"N060-M04-T12",97.470071,243.507000,94.189999,2.115129,0.324127,0.090672,3.280073,97.475655,96.629255,96.305128,94.189999,0.000000,2.115129,0.000000,7,7
"N061-M04-T13",83.703710,283.160000,83.695509,12.871670,3.416928,0.007692,0.008200,83.708812,99.984108,96.567180,83.695509,0.000000,12.871670,-0.000000,5,6
"N062-M04-T14",95.346022,191.107000,92.742327,4.507904,0.000000,0.146073,2.603695,95.364634,97.250232,97.250232,92.742327,0.000000,4.507904,-0.000000,6,5
"N063-M04-T15",87.120029,251.000000,83.653984,12.135259,0.000000,0.744712,3.466045,87.331292,95.789243,95.789243,83.653984,0.000000,12.135259,0.000000,9,8
"N064-M04-T16",90.021338,292.467000,89.278989,9.919553,0.000000,0.059109,0.742349,90.000303,99.198542,99.198542,89.278989,0.000000,9.919553,0.000000,6,6
"N065-M05-T01",91.723861,232.053000,89.845747,8.206326,0.059997,0.009817,1.878114,91.574612,98.112069,98.052072,89.845747,0.000000,8.206326,0.000000,11,11
"N066-M05-T02",80.734016,320.600000,78.847865,18.314358,0.446635,0.504991,1.886151,80.779416,97.608858,97.162223,78.847865,0.000000,18.314358,-0.000000,10,10
"N067-M05-T03",79.248325,250.693000,77.164900,18.718500,2.033176,0.000000,2.083425,78.806780,97.916575,95.883399,77.164900,0.000000,18.718500,0.000000,9,7
"N068-M05-T04",87.104275,294.253000,85.696342,12.702315,0.000000,0.193410,1.407934,87.090967,98.398657,98.398657,85.696342,0.000000,12.702315,0.000000,11,10
"N069-M05-T05",92.624842,360.360000,91.578345,7.265588,0.000000,0.109569,1.046497,92.649434,98.843934,98.843934,91.578345,0.000000,7.265588,0.000000,12,12
"N070-M05-T06",89.630779,246.720000,88.629929,9.070703,0.000000,1.298518,1.000850,90.715820,97.700632,97.700632,88.629929,0.000000,9.070703,-0.000000,7,7
"N071-M05-T07",78.645448,286.455000,77.632202,21.048917,0.000000,0.300873,1.018008,78.669762,98.681119,98.681119,77.632202,0.000000,21.048917,0.000000,12,12
"N072-M05-T08",84.923084,201.373000,83.707604,14.465935,0.000000,0.610981,1.215480,85.264935,98.173539,98.173539,83.707604,0.000000,14.465935,-0.000000,12,11
"N073-M05-T09",81.698751,136.480000,79.168798,18.164877,0.000000,0.136372,2.529953,81.337521,97.333675,97.333675,79.168798,0.000000,18.164877,-0.000000,8,8
"N074-M05-T10",90.772622,194.307000,89.146158,8.964564,0.000000,0.262814,1.626464,90.862809,98.110722,98.110722,89.146158,0.000000,8.964564,-0.000000,7,6
"N075-M05-T11",85.224059,201.973000,83.496686,14.626825,0.000000,0.149115,1.727373,85.093455,98.123512,98.123512,83.496686,0.000000,14.626825,-0.000000,11,11
"N076-M05-T12",77.667331,230.893000,75.829674,22.156840,0.000000,0.175829,1.837658,77.387868,97.986513,97.986513,75.829674,0.000000,22.156840,-0.000000,10,8
