MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",85.478436,209.213000,83.497201,11.686654,2.374613,0.460296,1.981234,85.586830,97.558469,95.183856,83.497201,0.000000,11.686654,-0.000000,12,12
"N002-M01-T02",73.691442,222.707000,68.147386,23.566390,1.418905,1.323263,5.544056,73.172366,93.132681,91.713776,68.147386,0.000000,23.566390,-0.000000,6,7
"N003-M01-T03",82.484132,195.360000,78.190520,17.223075,0.292793,0.000000,4.293612,81.698329,95.706388,95.413595,78.190520,0.000000,17.223075,-0.000000,12,12
"N004-M01-T04",71.345569,242.507000,69.436346,28.000429,0.361639,0.292363,1.909223,70.999460,97.798414,97.436775,69.436346,0.000000,28.000429,0.000000,8,8
"N005-M01-T05",77.021310,228.107000,74.574213,15.398475,7.551281,0.028934,2.447097,76.467574,97.523969,89.972688,74.574213,0.000000,15.398475,-0.000000,11,10
"N006-M01-T06",80.461629,206.573000,76.751560,15.373742,3.683444,0.481186,3.710069,80.109138,95.808746,92.125302,76.751560,0.000000,15.373742,0.000000,6,8
"N007-M01-T07",83.963439,298.680000,82.715615,12.639279,2.160506,1.236775,1.247824,84.823130,97.515401,95.354895,82.715615,0.000000,12.639279,0.000000,10,9
"N008-M01-T08",91.426579,192.187000,88.561661,7.268442,1.290930,0.014049,2.864918,91.186902,97.121033,95.830103,88.561661,0.000000,7.268442,-0.000000,5,6
"N009-M01-T09",90.439287,277.040000,84.609082,9.492853,0.067860,0.000000,5.830205,89.847367,94.169795,94.101935,84.609082,0.000000,9.492853,0.000000,10,11
"N010-M01-T10",88.546221,215.693000,81.747669,9.274756,1.682484,0.496539,6.798552,88.180518,92.704909,91.022425,81.747669,0.000000,9.274756,0.000000,6,7
"N011-M01-T11",70.786802,267.920000,68.317781,24.769707,4.443491,0.000000,2.469021,70.047263,97.530979,93.087489,68.317781,0.000000,24.769707,0.000000,5,8
"N012-M01-T12",86.523452,204.867000,84.892638,12.487614,0.988934,0.000000,1.630814,86.300031,98.369186,97.380252,84.892638,0.000000,12.487614,0.000000,8,9
"N013-M01-T13",89.430059,219.093000,86.869503,9.171904,1.361522,0.036514,2.560556,89.185719,97.402929,96.041407,86.869503,0.000000,9.171904,0.000000,8,8
"N014-M01-T14",90.375276,234.947000,87.304371,7.545106,0.311560,1.768058,3.070905,91.743821,95.161036,94.849477,87.304371,0.000000,7.545106,0.000000,6,6
"N015-M01-T15",88.213121,162.893000,83.767872,10.250901,0.829993,0.705985,4.445249,88.317303,94.848766,94.018773,83.767872,0.000000,10.250901,-0.000000,7,7
"N016-M01-T16",82.987408,262.147000,79.424521,12.894292,3.206979,0.911321,3.562886,83.144582,95.525793,92.318813,79.424521,0.000000,12.894292,-0.000000,8,8
