MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",67.099875,186.997000,66.900552,30.367854,0.000000,2.532272,0.199323,65.586200,56.682728,18.910624,4.333759,0.000000,2.334797,79.670832,20.619047,93.830106,13.298074,66.900552,16.748908,3.536108,3.131154,0.000000,66.900552,22.740343,1.487307,6.140203,19,30
"N002-M01-T02",43.357397,200.090000,43.181339,49.174880,0.000220,7.467502,0.176058,25.091741,22.131041,76.535875,33.236544,19.592570,2.843221,4.062453,6.428607,41.029571,27.717027,43.181339,25.386730,10.531001,4.925220,0.307604,43.181339,19.084419,7.077900,23.012562,13,18
"N003-M01-T03",58.419037,190.630000,57.816667,37.783187,0.000000,3.797776,0.602371,68.170759,44.336149,50.205974,6.398783,45.481214,3.093427,56.980844,40.316844,0.000000,1.454650,57.816667,20.756747,6.718494,3.638837,0.209951,57.816667,20.765425,2.777850,14.239912,31,44
"N004-M01-T04",55.188137,189.836000,54.993594,41.533473,0.660506,2.617884,0.194543,17.001804,9.892750,78.527340,19.479972,96.352150,1.834215,3.679502,5.318801,59.430338,60.661834,54.993594,14.500338,9.997204,5.831091,0.862296,54.993594,9.522365,2.622973,29.388134,19,31
"N005-M01-T05",44.735631,201.984000,44.554584,52.649155,0.000000,2.615215,0.181046,70.157445,46.505169,21.058758,1.747663,-nan,0.000000,24.156809,47.852800,0.000000,1.098107,44.554584,35.329377,6.288398,2.570368,0.235608,44.554584,37.651454,1.322581,13.675119,12,36
"N006-M01-T06",46.502865,203.578000,44.149176,51.597909,0.000000,1.899226,2.353690,0.000000,0.193538,-nan,0.000000,46.202825,89.747419,-nan,0.000000,46.215531,5.806128,44.149176,20.900095,7.473239,11.590457,0.273863,44.149176,22.106360,1.482943,28.008606,6,28
"N007-M01-T07",61.318207,269.021000,61.188097,36.053382,0.000000,2.628411,0.130110,67.090524,11.271982,39.381206,14.191457,69.315441,8.691887,28.519909,27.797086,96.586217,35.289067,61.188097,24.779358,2.950434,2.454300,1.497505,61.188097,29.040543,1.446234,5.566606,27,30
"N008-M01-T08",76.737217,178.996000,75.637119,21.271751,0.000000,1.991032,1.100098,85.220583,51.892780,-nan,0.000000,60.293377,19.315515,72.073733,20.158551,94.528518,5.542023,75.637119,15.971048,2.401861,2.219245,0.005034,75.637119,15.941795,1.497606,3.832350,14,17
"N009-M01-T09",73.769293,264.170000,69.588811,23.879343,0.417601,1.933762,4.180482,87.980843,42.824318,88.625565,2.554037,0.000000,1.287807,62.407204,43.466707,67.194380,3.752886,69.588811,15.969042,2.524743,0.921091,0.070196,69.588811,15.818131,0.851563,7.209649,18,29
"N010-M01-T10",72.577195,211.867000,70.750986,21.816786,0.005400,5.600620,1.826209,82.793370,55.612247,96.770524,7.304583,-nan,0.000000,46.748354,17.770582,78.510719,11.885759,70.750986,11.157118,3.458598,2.860759,0.197549,70.750986,12.844860,1.698896,7.273030,11,14
"N011-M01-T11",43.532018,243.912000,42.329176,54.958781,0.000000,1.509201,1.202843,23.896575,24.742530,56.699019,23.489619,48.574677,16.246433,11.734951,14.195694,72.745768,18.613680,42.329176,24.291246,20.177080,1.408569,0.966362,42.329176,18.472096,2.004442,34.482242,17,25
