MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",86.282007,186.997000,84.108592,13.159813,0.000000,0.558180,2.173415,90.608236,56.682728,0.000000,4.333759,0.000000,2.334797,97.860217,20.619047,94.536458,13.298074,84.108592,7.341192,3.935696,1.845643,0.000000,84.108592,8.836910,1.862959,2.459943,19,20
"N002-M01-T02",63.030956,200.090000,60.974708,31.381732,0.000000,5.587312,2.056248,64.570628,22.131041,86.678824,33.236544,36.930919,2.843221,34.475529,6.428607,52.708346,27.717027,60.974708,19.334030,9.544898,2.054572,0.448233,60.974708,14.511357,6.481775,10.388601,13,13
"N003-M01-T03",82.771052,190.630000,79.976166,15.623687,0.000000,1.605261,2.794886,93.770955,44.336149,4.377395,6.398783,18.552383,3.093427,92.406528,40.316844,20.096607,1.454650,79.976166,9.834102,1.361410,3.391158,0.160011,79.976166,7.746893,1.714240,6.162555,31,25
"N004-M01-T04",68.216773,189.836000,65.796147,30.877633,0.513792,0.391801,2.420626,7.418516,9.892750,74.996891,19.479972,100.000000,1.834215,0.000000,5.318801,80.147038,60.661834,65.796147,22.667187,1.331493,6.071539,0.042779,65.796147,15.952601,0.393805,14.531228,19,16
"N005-M01-T05",91.028707,201.984000,89.019807,8.183932,0.000000,0.787361,2.008901,92.422029,46.505169,0.000000,1.747663,-nan,0.000000,96.209179,47.852800,0.000000,1.098107,89.019807,4.264548,0.684793,3.222934,0.011656,89.019807,4.027721,2.632317,1.523894,12,12
"N006-M01-T06",63.360266,203.578000,61.919050,33.828034,0.000000,2.811700,1.441216,0.000000,0.193538,-nan,0.000000,64.728284,89.747419,-nan,0.000000,65.914607,5.806128,61.919050,29.356261,0.720325,3.147220,0.604228,61.919050,28.386284,0.341347,5.100403,6,12
"N007-M01-T07",58.870160,269.021000,57.587650,39.623743,0.030086,1.476011,1.282510,70.572832,11.271982,38.557490,14.191457,67.072625,8.691887,22.232584,27.797086,91.107359,35.289067,57.587650,32.309257,2.750924,3.126207,1.428628,57.587650,34.270571,1.108180,4.244991,27,19
"N008-M01-T08",75.051035,178.996000,72.290622,24.605132,0.013115,0.330717,2.760413,84.216495,51.892780,-nan,0.000000,52.250607,19.315515,73.549236,20.158551,66.210615,5.542023,72.290622,16.984077,6.333499,1.287556,0.000000,72.290622,16.727966,3.698030,4.179135,14,13
"N009-M01-T09",86.033016,264.170000,80.195573,13.690182,0.000000,0.276802,5.837442,97.563679,42.824318,24.613240,2.554037,0.000000,1.287807,86.930814,43.466707,0.000000,3.752886,80.195573,11.470538,0.486704,1.732940,0.000000,80.195573,10.380307,0.652384,2.657490,18,16
"N010-M01-T10",81.568449,211.867000,76.667918,15.850665,0.054588,2.526298,4.900531,93.215908,55.612247,24.831925,7.304583,-nan,0.000000,73.418772,17.770582,83.862083,11.885759,76.667918,10.981398,2.944612,1.847731,0.076923,76.667918,9.956921,1.311362,4.582382,11,10
"N011-M01-T11",62.085750,243.912000,59.383335,37.881025,0.023597,0.009629,2.702415,35.173641,24.742530,89.189582,23.489619,87.610957,16.246433,0.000000,14.195694,83.253483,18.613680,59.383335,20.189752,4.428188,12.677679,0.023736,59.383335,19.611952,0.351552,17.917520,17,15
"N012-M01-T12",79.427185,187.845000,77.660945,20.560461,0.000000,0.012354,1.766240,95.114794,42.922622,-nan,0.000000,42.289363,14.364503,70.174824,30.297320,89.305895,10.636961,77.660945,12.137715,3.736263,0.298076,0.068280,77.660945,14.034756,0.565289,5.960417,14,22
"N013-M01-T13",67.935234,215.565000,65.624192,31.736233,0.000000,0.328533,2.311042,91.343938,55.838378,12.548346,7.556421,53.597169,8.038411,96.781055,6.191636,17.077389,19.735579,65.624192,22.678089,4.332130,4.156116,0.569898,65.624192,22.004881,3.576801,6.154552,14,13
"N014-M01-T14",83.056189,227.492000,81.399370,13.603092,0.000000,3.340719,1.656819,93.484278,56.508800,99.744129,5.991419,-nan,0.000000,78.763117,9.038560,65.963157,23.463682,81.399370,10.395266,1.332535,1.849606,0.025685,81.399370,9.628205,1.602037,2.372850,10,11
"N015-M01-T15",80.644763,161.987000,77.832112,16.987843,0.000000,2.367394,2.812651,93.340445,74.144221,0.000000,2.236599,0.000000,0.558687,99.477463,5.573287,25.037467,12.307160,77.832112,13.295223,0.804005,2.830932,0.057684,77.832112,12.737088,1.953397,2.297358,13,13
"N016-M01-T16",69.490736,259.257000,67.536220,27.182866,0.756831,2.569566,1.954516,41.538853,8.484631,77.056144,14.248410,78.191760,25.266434,36.490549,14.301253,84.574200,33.175189,67.536220,20.875378,3.910518,2.355130,0.041840,67.536220,20.680615,0.053567,6.448685,21,18
"N017-M02-T01",69.007590,239.908000,67.469131,30.039497,0.000000,0.952913,1.538458,73.843473,36.422295,33.009515,6.171949,88.112318,5.827234,63.273454,31.542508,76.626062,17.544642,67.469131,23.163432,1.959142,4.907373,0.009549,67.469131,20.344719,1.025484,8.669295,18,17
"N018-M02-T02",82.150294,249.333000,79.892163,17.775214,0.000000,0.074493,2.258131,88.922438,59.952754,62.075461,5.149338,51.095050,10.022741,74.367634,10.261377,86.571329,12.281166,79.892163,8.610415,4.348843,4.788546,0.027410,79.892163,8.509681,4.098302,5.167231,24,26
"N019-M02-T03",67.966038,278.991000,66.115003,30.526963,0.828202,0.678796,1.851035,57.227280,30.475535,89.022819,17.541426,84.007234,7.628203,54.937256,2.969271,64.390324,38.855734,66.115003,20.529324,3.412498,3.971145,1.781714,66.115003,15.254755,3.087134,12.185075,21,23
"N020-M02-T04",78.574272,226.580000,76.720074,21.087323,0.000000,0.338406,1.854197,84.950477,58.475152,0.000000,2.800777,98.342697,2.813576,85.815690,23.661400,39.506953,10.056492,76.720074,12.107185,2.696836,3.055376,0.020296,76.720074,7.983388,1.112751,11.991184,15,15
"N021-M02-T05",74.358595,255.566000,73.303376,22.233980,0.000000,3.407425,1.055219,88.358223,52.523810,42.623203,9.561522,0.000000,1.194995,13.016018,7.328831,87.711600,24.928199,73.303376,15.664606,4.269219,2.028066,0.272088,73.303376,12.151649,4.370975,5.711357,13,9
"N022-M02-T06",81.470816,209.520000,79.550713,13.728834,1.828796,2.971554,1.920103,90.953918,83.290378,0.000000,2.205040,-nan,0.000000,56.095460,6.764987,0.000000,2.847938,79.550713,6.306029,3.075746,4.347058,0.000000,79.550713,4.925736,5.034557,3.768541,21,19
