MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",66.454182,186.997000,66.254859,31.013546,0.000000,2.532272,0.199323,-nan,0.000000,0.000000,0.192516,59.854333,2.396830,65.751876,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.910624,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.670832,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,93.603220,12.826409,66.900552,16.748908,3.536108,3.131154,0.000000,66.254859,23.386036,1.481249,6.146261,21,31
"N002-M01-T02",42.794363,200.090000,42.618305,49.737915,0.000220,7.467502,0.176058,-nan,0.000000,0.000000,0.446799,50.000000,1.207457,24.170469,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,77.950645,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,0.000000,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,4.483127,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,41.450480,27.421160,43.181339,25.386730,10.531001,4.925220,0.307604,42.618305,19.647453,7.037499,23.052963,19,21
"N003-M01-T03",57.909149,190.630000,57.306778,38.293075,0.000000,3.797776,0.602371,-nan,0.000000,56.928771,1.530189,50.589757,8.750984,71.696371,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.205974,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.481214,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.980844,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,57.816667,20.756747,6.718494,3.638837,0.209951,57.306778,21.275313,2.021844,14.995918,36,49
"N004-M01-T04",55.047530,189.836000,54.852987,41.674080,0.660506,2.617884,0.194543,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,22.965826,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.527340,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.352150,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.679502,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,59.556433,60.297309,54.993594,14.500338,9.997204,5.831091,0.862296,54.852987,9.662972,2.075924,29.935184,23,35
"N005-M01-T05",44.683662,201.984000,44.502616,52.701123,0.000000,2.615215,0.181046,-nan,0.000000,-nan,0.000000,0.000000,0.213878,70.369328,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.058758,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.156809,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,44.554584,35.329377,6.288398,2.570368,0.235608,44.502616,37.703423,1.160671,13.837029,12,39
"N006-M01-T06",45.544810,203.578000,43.191120,52.555964,0.000000,1.899226,2.353690,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.135323,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.215531,5.806128,44.149176,20.900095,7.473239,11.590457,0.273863,43.191120,23.064415,1.482943,28.008606,6,28
"N007-M01-T07",56.993948,269.021000,56.863838,40.377641,0.000000,2.628411,0.130110,-nan,0.000000,-nan,0.000000,49.559003,2.925794,73.236278,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,41.528441,13.457685,-nan,0.000000,0.000000,0.280647,90.873520,1.462711,-nan,0.000000,67.576935,6.948528,-nan,0.000000,0.000000,5.114471,-nan,0.000000,15.886375,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.586217,35.289067,61.188097,24.779358,2.950434,2.454300,1.497505,56.863838,33.364801,0.691017,6.321822,30,33
"N008-M01-T08",74.226920,178.996000,73.126822,23.782048,0.000000,1.991032,1.100098,-nan,0.000000,37.178562,2.389998,23.619841,5.026369,89.119699,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.293377,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.073733,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.528518,5.542023,75.637119,15.971048,2.401861,2.219245,0.005034,73.126822,18.452091,1.021893,4.308063,17,19
"N009-M01-T09",73.131913,264.170000,68.951430,24.516724,0.417601,1.933762,4.180482,-nan,0.000000,-nan,0.000000,0.000000,0.325169,87.154253,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.625565,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.407204,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,76.228983,3.308097,69.588811,15.969042,2.524743,0.921091,0.070196,68.951430,16.455512,0.851563,7.209649,19,30
"N010-M01-T10",70.960597,211.867000,69.134388,23.433383,0.005400,5.600620,1.826209,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,85.407348,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.770524,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,46.832112,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.510719,11.885759,70.750986,11.157118,3.458598,2.860759,0.197549,69.134388,14.461458,1.616855,7.355070,13,15
