MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",71.396867,186.997000,69.235870,27.791890,0.240646,0.570597,2.160997,-nan,0.000000,0.000000,0.192516,0.000000,2.396830,93.104505,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.529424,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,0.000000,12.826409,71.301679,17.894939,6.643422,1.187720,0.000000,69.235870,21.565587,2.648171,3.578132,21,15
"N002-M01-T02",29.596681,200.090000,23.648858,68.691089,0.016493,1.695737,5.947823,-nan,0.000000,0.000000,0.446799,0.000000,1.207457,93.063556,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,0.000000,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,0.000000,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,78.834935,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,0.000000,27.421160,23.648858,54.251587,10.964566,3.212055,0.262882,23.648858,49.883053,1.367884,17.440152,19,7
"N003-M01-T03",72.734617,190.630000,68.354404,27.229712,0.015737,0.019934,4.380213,-nan,0.000000,0.000000,1.530189,0.000000,8.750984,91.609544,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.161965,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,76.655301,10.984630,2.874679,4.960394,0.109112,68.354404,16.716152,2.335939,8.177622,36,20
"N004-M01-T04",9.521376,189.836000,7.112982,89.750627,0.323964,0.404033,2.408395,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,64.798964,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.508270,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,0.000000,60.297309,8.938768,79.384837,1.404370,7.106660,0.028972,7.112982,72.257106,0.726416,16.767104,23,11
"N005-M01-T05",85.749861,201.984000,83.111038,12.765368,1.327333,0.157438,2.638823,-nan,0.000000,-nan,0.000000,0.000000,0.213878,91.553032,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.115100,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,83.116484,6.847572,1.909062,3.991900,0.011387,83.111038,6.419320,3.030933,3.315114,12,12
"N006-M01-T06",3.769563,203.578000,0.000000,93.095030,2.652055,0.483353,3.769563,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.806128,0.000000,86.897405,1.798819,4.398805,0.000000,0.000000,86.424368,0.001474,6.669188,6,7
"N007-M01-T07",30.922865,269.021000,29.448259,67.676873,0.116348,1.283915,1.474606,-nan,0.000000,-nan,0.000000,0.000000,2.925794,87.115308,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,0.000000,13.457685,-nan,0.000000,0.000000,0.280647,0.000000,1.462711,-nan,0.000000,0.000000,6.948528,-nan,0.000000,0.000000,5.114471,-nan,0.000000,97.772898,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,35.289067,31.280829,61.018285,1.872716,1.450073,1.503228,29.448259,57.776530,0.531929,9.368414,30,13
"N008-M01-T08",63.855617,178.996000,60.764486,35.846052,0.298331,0.000000,3.091131,-nan,0.000000,0.000000,2.389998,0.000000,5.026369,93.061260,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.108971,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.542023,65.547275,23.153031,6.462156,1.448077,0.000000,60.764486,28.277168,2.188317,5.380567,17,8
"N009-M01-T09",86.393610,264.170000,80.480751,13.405004,0.000000,0.201385,5.912859,-nan,0.000000,-nan,0.000000,0.000000,0.325169,98.564176,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.784770,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,0.000000,3.308097,80.480751,11.363894,1.063330,0.977779,0.000000,80.480751,8.350305,1.371087,3.683613,19,17
"N010-M01-T10",69.892433,211.867000,65.458519,26.086177,1.028475,2.992915,4.433914,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,97.745404,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,85.875824,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,11.885759,65.458519,23.073910,0.303492,2.623816,0.084959,65.458519,18.546069,1.257865,6.282243,13,8
