MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",84.570455,186.997000,82.397040,14.871365,0.000000,0.558180,2.173415,-nan,0.000000,0.000000,0.192516,35.482671,2.396830,90.382607,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.164407,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,98.400087,12.826409,83.278668,7.210759,4.578799,2.187944,0.000000,82.397040,9.550596,1.344146,3.976623,21,19
"N002-M01-T02",60.009296,200.090000,57.953048,34.403391,0.000000,5.587312,2.056248,-nan,0.000000,0.000000,0.446799,0.000000,1.207457,65.880460,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,84.884202,32.633315,-nan,0.000000,-nan,0.000000,48.079254,1.050027,-nan,0.000000,0.000000,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,37.252816,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,51.374032,27.421160,59.008839,19.671054,9.741680,3.092208,0.842658,57.953048,15.690035,6.643815,12.069541,19,17
"N003-M01-T03",83.062415,190.630000,80.267529,15.332324,0.000000,1.605261,2.794886,-nan,0.000000,46.576212,1.530189,97.563439,8.750984,93.814420,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.377395,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.163303,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.588313,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.632835,1.454650,80.730394,10.828222,1.318112,1.955398,0.304863,80.267529,8.553229,1.107707,5.671388,36,29
"N004-M01-T04",66.424951,189.836000,64.004324,32.669456,0.513792,0.391801,2.420626,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,9.519797,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.115475,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,78.005530,60.297309,64.132582,23.976030,1.905587,5.668944,0.122195,64.004324,16.998113,0.662160,15.009183,23,20
"N005-M01-T05",91.175998,201.984000,89.167097,8.036642,0.000000,0.787361,2.008901,-nan,0.000000,-nan,0.000000,0.000000,0.213878,93.489429,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.897490,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,89.167097,4.131841,0.948987,2.921165,0.034648,89.167097,3.895375,2.140321,2.000945,12,13
"N006-M01-T06",60.306573,203.578000,58.728487,37.018598,0.000000,2.674829,1.578087,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.151045,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.257621,5.806128,58.728487,32.139145,0.760920,3.502899,0.615634,58.728487,31.203886,0.685717,5.128995,6,13
"N007-M01-T07",59.183429,269.021000,57.900920,39.310474,0.030086,1.476011,1.282510,-nan,0.000000,-nan,0.000000,24.335263,2.925794,86.755099,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,45.247321,13.457685,-nan,0.000000,0.000000,0.280647,96.774398,1.462711,-nan,0.000000,63.906603,6.948528,-nan,0.000000,83.285515,5.114471,-nan,0.000000,7.591138,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.740154,35.289067,57.900920,31.670599,3.199497,3.089567,1.324822,57.900920,33.935932,0.512654,4.861889,30,23
"N008-M01-T08",75.813954,178.996000,73.105287,23.803582,0.000000,0.382463,2.708667,-nan,0.000000,0.000000,2.389998,94.982505,5.026369,86.398682,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.642621,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.737703,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.894494,5.542023,74.835526,17.449063,2.526501,2.097779,0.000000,73.105287,18.820483,0.613012,4.370087,17,14
"N009-M01-T09",84.688253,264.170000,78.859601,15.026154,0.000000,0.285592,5.828652,-nan,0.000000,-nan,0.000000,0.000000,0.325169,98.050317,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.613240,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.111318,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,0.000000,3.308097,79.483675,11.790697,0.834305,1.777078,0.000000,78.859601,11.271787,0.705715,3.048652,19,19
"N010-M01-T10",81.865146,211.867000,77.030373,15.488210,0.054588,2.592056,4.834773,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,97.094671,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.109004,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,82.401647,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.311794,11.885759,77.030373,9.930376,3.163562,2.219308,0.174963,77.030373,8.883098,0.489894,6.115218,13,10
