MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",74.271780,186.997000,72.055167,23.343690,1.869549,0.514982,2.216613,-nan,0.000000,0.000000,0.192516,13.386881,2.396830,78.756933,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.743337,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.105558,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,75.605587,12.826409,72.322551,10.624769,8.215105,3.612892,0.000000,72.055167,14.048354,5.118264,4.177072,21,31
"N002-M01-T02",50.422810,200.090000,44.252087,47.315708,0.788645,1.472837,6.170723,-nan,0.000000,0.000000,0.446799,1.697020,1.207457,61.681148,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,70.520399,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,11.148272,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,26.218257,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,25.020504,27.421160,44.252087,23.921735,17.392673,4.580939,1.420361,44.252087,22.568844,8.394223,16.352641,19,28
"N003-M01-T03",66.538320,190.630000,62.138173,33.161622,0.300058,0.000000,4.400147,-nan,0.000000,10.284539,1.530189,73.366503,8.750984,81.959057,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.695778,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.450088,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,63.546661,16.533075,8.606725,6.178985,0.434349,62.138173,16.088758,7.566490,9.506374,36,40
"N004-M01-T04",55.544259,189.836000,53.105312,43.695084,0.387176,0.373480,2.438947,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,61.914695,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.861547,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.231476,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.951966,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,62.190519,60.297309,53.954466,23.165785,12.092016,7.192524,0.237573,53.105312,20.309109,5.888240,17.497735,23,27
"N005-M01-T05",61.827174,201.984000,59.063589,29.922172,8.217978,0.032676,2.763585,-nan,0.000000,-nan,0.000000,0.000000,0.213878,74.244126,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.606228,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,59.113098,17.863791,7.482276,4.062203,0.227741,59.063589,16.508238,6.725285,6.688649,12,26
"N006-M01-T06",8.704280,203.578000,4.939630,87.069821,3.737634,0.488265,3.764650,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.479908,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.285956,5.806128,4.939630,72.633094,3.557359,10.512433,0.098242,4.939630,71.565690,0.147364,15.356767,5,24
"N007-M01-T07",39.015170,269.021000,37.629776,57.213006,2.398697,1.373127,1.385394,-nan,0.000000,-nan,0.000000,82.543514,2.925794,85.872712,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,25.276213,13.457685,-nan,0.000000,0.000000,0.280647,0.000000,1.462711,-nan,0.000000,0.304927,6.948528,-nan,0.000000,0.726797,5.114471,-nan,0.000000,38.955442,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.635803,35.289067,39.267566,40.447772,9.896625,2.535118,2.184588,37.629776,46.615692,1.225555,9.371759,30,34
"N008-M01-T08",70.691524,178.996000,67.615477,27.907328,1.386064,0.015084,3.076046,-nan,0.000000,0.000000,2.389998,80.026676,5.026369,80.152240,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.751894,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.042763,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.770161,5.542023,69.612729,19.047912,5.076650,1.785515,0.000000,67.615477,20.649623,2.116248,5.141456,17,20
"N009-M01-T09",85.550214,264.170000,79.435969,14.378620,0.071166,0.000000,6.114245,-nan,0.000000,-nan,0.000000,0.000000,0.325169,94.722544,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.017786,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.477192,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,82.892779,3.308097,79.700950,8.628913,3.016618,1.908998,0.082523,79.435969,8.681909,2.419654,3.277056,19,25
"N010-M01-T10",74.555263,211.867000,67.633940,23.226364,1.712867,0.505506,6.921323,-nan,0.000000,0.000000,0.717903,4.785308,1.824730,94.526713,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.231326,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,46.910523,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.004289,11.885759,67.633940,18.674451,1.103050,3.448862,0.000000,67.633940,13.850198,2.581808,6.794357,13,22
