Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,130,0.894376,0.916411,0.894376,0.939559
"N002-M01-T02",222.707000,123,123,0.836317,0.846930,0.836317,0.857816
"N003-M01-T03",195.360000,159,166,0.894010,0.902916,0.912002,0.894010
"N004-M01-T04",242.507000,114,165,0.760902,0.825410,0.901870,0.760902
"N005-M01-T05",228.107000,125,177,0.825189,0.867880,0.915230,0.825189
"N006-M01-T06",206.573000,47,73,0.770121,0.830434,0.900996,0.770121
"N007-M01-T07",298.680000,142,155,0.926105,0.939702,0.953704,0.926105
"N008-M01-T08",192.187000,99,101,0.890960,0.909832,0.890960,0.929520
"N009-M01-T09",277.040000,111,137,0.831277,0.874360,0.922153,0.831277
"N010-M01-T10",215.693000,71,74,0.927607,0.934680,0.927607,0.941861
"N011-M01-T11",267.920000,105,132,0.834032,0.843196,0.834032,0.852563
"N012-M01-T12",204.867000,104,107,0.943074,0.948375,0.943074,0.953736
"N013-M01-T13",219.093000,151,147,0.927571,0.939015,0.927571,0.950744
"N014-M01-T14",234.947000,154,152,0.895590,0.907141,0.895590,0.918993
"N015-M01-T15",162.893000,126,130,0.912083,0.916248,0.912083,0.920452
"N016-M01-T16",262.147000,180,162,0.859383,0.893445,0.859383,0.930318
"N017-M02-T01",241.440000,125,130,0.896990,0.905742,0.896990,0.914666
"N018-M02-T02",254.107000,138,132,0.848154,0.886310,0.848154,0.928060
"N019-M02-T03",289.040000,202,178,0.865283,0.897954,0.865283,0.933189
"N020-M02-T04",250.147000,156,163,0.939725,0.945518,0.951384,0.939725
"N021-M02-T05",268.960000,152,150,0.926502,0.936289,0.926502,0.946285
"N022-M02-T06",209.520000,126,129,0.925818,0.928961,0.925818,0.932126
"N023-M02-T07",201.187000,73,98,0.874908,0.915216,0.959417,0.874908
"N024-M02-T08",240.253000,112,109,0.788728,0.827885,0.788728,0.871133
"N025-M02-T09",256.467000,147,124,0.651343,0.729383,0.651343,0.828669
"N026-M02-T10",207.053000,149,108,0.729857,0.805744,0.729857,0.899244
"N027-M02-T11",318.440000,127,139,0.895635,0.912399,0.929801,0.895635
"N028-M02-T12",250.987000,176,174,0.846619,0.853633,0.846619,0.860764
"N029-M02-T13",215.093000,87,95,0.914798,0.916667,0.914798,0.918543
"N030-M02-T14",196.293000,154,122,0.735833,0.787300,0.735833,0.846507
"N031-M02-T15",250.213000,118,120,0.722378,0.759665,0.722378,0.801011
"N032-M02-T16",252.080000,79,110,0.725602,0.823842,0.952849,0.725602
"N033-M03-T01",287.013000,146,152,0.891759,0.894797,0.891759,0.897856
"N034-M03-T02",207.640000,128,151,0.831353,0.869182,0.910617,0.831353
"N035-M03-T03",193.027000,108,93,0.799291,0.863511,0.799291,0.938952
"N036-M03-T04",316.253000,164,174,0.907552,0.912859,0.918229,0.907552
