Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,127,0.882732,0.903310,0.882732,0.924871
"N002-M01-T02",222.707000,123,112,0.906294,0.918546,0.906294,0.931134
"N003-M01-T03",195.360000,159,144,0.892957,0.918574,0.892957,0.945705
"N004-M01-T04",242.507000,114,139,0.814422,0.862815,0.917322,0.814422
"N005-M01-T05",228.107000,125,123,0.868189,0.874093,0.868189,0.880078
"N006-M01-T06",206.573000,47,62,0.869194,0.908766,0.952114,0.869194
"N007-M01-T07",298.680000,142,145,0.941596,0.946237,0.950924,0.941596
"N008-M01-T08",192.187000,99,89,0.867093,0.904101,0.867093,0.944408
"N009-M01-T09",277.040000,111,106,0.854415,0.870151,0.854415,0.886478
"N010-M01-T10",215.693000,71,75,0.923280,0.945140,0.968061,0.923280
"N011-M01-T11",267.920000,105,116,0.942307,0.955561,0.969192,0.942307
"N012-M01-T12",204.867000,104,101,0.926299,0.932252,0.926299,0.938282
"N013-M01-T13",219.093000,151,143,0.930139,0.942846,0.930139,0.955905
"N014-M01-T14",234.947000,154,144,0.934611,0.946814,0.934611,0.959340
"N015-M01-T15",162.893000,126,128,0.908903,0.918149,0.927584,0.908903
"N016-M01-T16",262.147000,180,184,0.921834,0.934435,0.947384,0.921834
"N017-M02-T01",241.440000,125,118,0.914405,0.923979,0.914405,0.933756
"N018-M02-T02",254.107000,138,135,0.888508,0.905695,0.888508,0.923560
"N019-M02-T03",289.040000,202,183,0.877353,0.912334,0.877353,0.950221
"N020-M02-T04",250.147000,156,156,0.947371,0.950332,0.947371,0.953311
"N021-M02-T05",268.960000,152,137,0.904796,0.923658,0.904796,0.943322
"N022-M02-T06",209.520000,126,118,0.912333,0.919824,0.912333,0.927439
"N023-M02-T07",201.187000,73,67,0.926804,0.929009,0.926804,0.931223
"N024-M02-T08",240.253000,112,89,0.725510,0.806766,0.725510,0.908517
"N025-M02-T09",256.467000,147,131,0.741117,0.802561,0.741117,0.875115
"N026-M02-T10",207.053000,149,107,0.762597,0.826794,0.762597,0.902793
"N027-M02-T11",318.440000,127,136,0.903457,0.904965,0.906478,0.903457
"N028-M02-T12",250.987000,176,154,0.842888,0.876618,0.842888,0.913159
"N029-M02-T13",215.093000,87,89,0.954443,0.958026,0.961635,0.954443
"N030-M02-T14",196.293000,154,124,0.800930,0.852103,0.800930,0.910262
"N031-M02-T15",250.213000,118,133,0.871573,0.909171,0.950158,0.871573
"N032-M02-T16",252.080000,79,86,0.879697,0.911234,0.945117,0.879697
"N033-M03-T01",287.013000,146,131,0.869765,0.894908,0.869765,0.921547
"N034-M03-T02",207.640000,128,129,0.882335,0.884195,0.882335,0.886062
"N035-M03-T03",193.027000,108,107,0.886772,0.896778,0.886772,0.907013
"N036-M03-T04",316.253000,164,160,0.823145,0.840002,0.823145,0.857563
"N037-M03-T05",239.107000,108,97,0.852300,0.871110,0.852300,0.890769
"N038-M03-T06",275.333000,116,123,0.866296,0.873836,0.881507,0.866296
"N039-M03-T07",288.853000,96,89,0.949663,0.964249,0.949663,0.979291
"N040-M03-T08",226.253000,167,106,0.675443,0.800333,0.675443,0.981883
"N041-M03-T09",170.133000,83,80,0.912539,0.932590,0.912539,0.953542
"N042-M03-T10",248.760000,153,113,0.747214,0.828349,0.747214,0.929249
"N043-M03-T11",204.307000,122,98,0.785778,0.862519,0.785778,0.955870
"N044-M03-T12",246.080000,129,114,0.892332,0.925181,0.892332,0.960541
"N045-M03-T13",222.533000,144,141,0.950933,0.959508,0.950933,0.968238
"N046-M03-T14",199.013000,166,151,0.890600,0.917835,0.890600,0.946787
"N047-M03-T15",210.747000,144,138,0.929816,0.939303,0.929816,0.948986
"N048-M03-T16",269.587000,178,169,0.907874,0.923470,0.907874,0.939611
"N049-M04-T01",275.053000,178,170,0.875878,0.894856,0.875878,0.914675
"N050-M04-T02",195.400000,127,125,0.812835,0.821804,0.812835,0.830972
"N051-M04-T03",367.360000,168,162,0.957739,0.964421,0.957739,0.971197
"N052-M04-T04",225.453000,98,119,0.813367,0.872111,0.940001,0.813367
"N053-M04-T05",219.773000,164,98,0.701255,0.813666,0.701255,0.968995
"N054-M04-T06",222.920000,111,100,0.897954,0.937924,0.897954,0.981617
