Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,117,0.848840,0.902390,0.848840,0.963152
"N002-M01-T02",222.707000,123,117,0.892603,0.901405,0.892603,0.910382
"N003-M01-T03",195.360000,159,151,0.928138,0.937060,0.928138,0.946156
"N004-M01-T04",242.507000,114,108,0.843832,0.845138,0.846447,0.843832
"N005-M01-T05",228.107000,125,102,0.842674,0.897729,0.842674,0.960481
"N006-M01-T06",206.573000,47,61,0.818092,0.879658,0.951245,0.818092
"N007-M01-T07",298.680000,142,145,0.959728,0.965543,0.971429,0.959728
"N008-M01-T08",192.187000,99,92,0.898116,0.929162,0.898116,0.962432
"N009-M01-T09",277.040000,111,88,0.819893,0.859117,0.819893,0.902284
"N010-M01-T10",215.693000,71,68,0.944808,0.951675,0.944808,0.958643
"N011-M01-T11",267.920000,105,114,0.915368,0.935072,0.955643,0.915368
"N012-M01-T12",204.867000,104,102,0.948637,0.951049,0.948637,0.953474
"N013-M01-T13",219.093000,151,141,0.937305,0.951293,0.937305,0.965704
"N014-M01-T14",234.947000,154,146,0.943661,0.956200,0.943661,0.969075
"N015-M01-T15",162.893000,126,123,0.937824,0.945409,0.937824,0.953117
"N016-M01-T16",262.147000,180,163,0.877289,0.908005,0.877289,0.940951
"N017-M02-T01",241.440000,125,120,0.923798,0.930380,0.923798,0.937058
"N018-M02-T02",254.107000,138,120,0.860185,0.907747,0.860185,0.960875
"N019-M02-T03",289.040000,202,169,0.835239,0.886997,0.835239,0.945594
"N020-M02-T04",250.147000,156,152,0.940419,0.954884,0.940419,0.969800
"N021-M02-T05",268.960000,152,135,0.914253,0.939615,0.914253,0.966424
"N022-M02-T06",209.520000,126,115,0.909563,0.924391,0.909563,0.939711
"N023-M02-T07",201.187000,73,69,0.956777,0.962423,0.968137,0.956777
"N024-M02-T08",240.253000,112,85,0.730388,0.821434,0.730388,0.938412
"N025-M02-T09",256.467000,147,132,0.768135,0.833626,0.768135,0.911325
"N026-M02-T10",207.053000,149,99,0.770162,0.859256,0.770162,0.971660
"N027-M02-T11",318.440000,127,133,0.882219,0.889901,0.897718,0.882219
"N028-M02-T12",250.987000,176,159,0.881580,0.905081,0.881580,0.929869
"N029-M02-T13",215.093000,87,84,0.955994,0.966504,0.955994,0.977248
"N030-M02-T14",196.293000,154,112,0.798706,0.864864,0.798706,0.942973
"N031-M02-T15",250.213000,118,122,0.885614,0.897245,0.885614,0.909185
"N032-M02-T16",252.080000,79,84,0.949181,0.965834,0.983082,0.949181
"N033-M03-T01",287.013000,146,118,0.793431,0.868849,0.793431,0.960110
"N034-M03-T02",207.640000,128,120,0.922143,0.934745,0.922143,0.947696
"N035-M03-T03",193.027000,108,96,0.848862,0.889318,0.848862,0.933822
"N036-M03-T04",316.253000,164,138,0.830432,0.891496,0.830432,0.962253
"N037-M03-T05",239.107000,108,90,0.868363,0.905966,0.868363,0.946973
"N038-M03-T06",275.333000,116,106,0.882928,0.916142,0.882928,0.951952
"N039-M03-T07",288.853000,96,93,0.954743,0.961693,0.954743,0.968746
"N040-M03-T08",226.253000,167,96,0.595549,0.739002,0.595549,0.973492
"N041-M03-T09",170.133000,83,80,0.938810,0.958833,0.938810,0.979729
"N042-M03-T10",248.760000,153,118,0.784889,0.851196,0.784889,0.929740
"N043-M03-T11",204.307000,122,98,0.796246,0.872748,0.796246,0.965513
"N044-M03-T12",246.080000,129,115,0.906118,0.935661,0.906118,0.967195
"N045-M03-T13",222.533000,144,138,0.943755,0.955457,0.943755,0.967454
"N046-M03-T14",199.013000,166,154,0.904206,0.925127,0.904206,0.947039
"N047-M03-T15",210.747000,144,140,0.947309,0.952903,0.947309,0.958563
"N048-M03-T16",269.587000,178,172,0.925331,0.928705,0.925331,0.932103
"N049-M04-T01",275.053000,178,172,0.925789,0.933351,0.925789,0.941038
"N050-M04-T02",195.400000,127,121,0.888460,0.905432,0.888460,0.923065
"N051-M04-T03",367.360000,168,167,0.961914,0.963917,0.965929,0.961914
"N052-M04-T04",225.453000,98,117,0.831318,0.886683,0.949947,0.831318
"N053-M04-T05",219.773000,164,107,0.735856,0.835395,0.735856,0.966075
"N054-M04-T06",222.920000,111,105,0.932980,0.955301,0.932980,0.978716
"N055-M04-T07",249.173000,136,136,0.967376,0.969049,0.967376,0.970729
"N056-M04-T08",322.960000,112,120,0.936488,0.943637,0.950896,0.936488
"N057-M04-T09",267.173000,145,134,0.859679,0.883865,0.859679,0.909451
