MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",89.905467,234.666644,88.229369,8.738193,0.305340,1.051001,1.676098,91.449923,91.388711,79.101166,5.884190,88.229369,3.233969,2.794672,2.709551,88.229369,1.998763,5.414629,1.324801,8,8
"1997-Life Thru a Lens/02-Life Thru A Lens",78.601848,177.604423,78.131185,20.480152,0.000000,0.918000,0.470663,93.262489,80.788599,15.630185,17.822738,78.131185,17.569111,1.925399,0.985642,78.131185,0.000000,2.785409,17.694743,10,10
"1997-Life Thru a Lens/03-Ego A Go Go",66.535001,214.959977,63.947345,30.599570,0.000000,2.865428,2.587657,66.680025,88.748018,82.259504,5.798897,63.947345,1.623094,14.256686,14.719790,63.947345,0.889255,26.628341,3.081975,8,7
"1997-Life Thru a Lens/04-Angels",94.185333,264.999977,94.115235,5.033004,0.000000,0.781662,0.070098,97.086209,76.259811,87.718891,22.888428,94.115235,3.315928,1.193026,0.524049,94.115235,0.000000,1.138989,3.894015,7,8
"1997-Life Thru a Lens/05-South Of The Border",84.659470,233.373311,83.873443,15.005417,0.000000,0.335113,0.786027,91.041221,80.856700,56.932775,18.022160,83.873443,6.123188,7.208687,1.673542,83.873443,3.899468,5.542918,5.563032,8,10
"1997-Life Thru a Lens/06-Old Before I Die",74.068837,221.530951,74.026911,24.448111,1.451280,0.031772,0.041926,94.758726,55.152727,48.611016,44.773574,74.026911,9.009105,13.831158,1.607848,74.026911,4.256424,1.902939,18.288748,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",91.847614,201.779183,91.767061,7.786592,0.000000,0.365794,0.080553,94.604336,44.883375,90.186924,54.670278,91.767061,3.104008,2.779907,1.902677,91.767061,1.654477,3.811017,2.321098,9,9
"1997-Life Thru a Lens/08-Let Me Entertain You",76.691955,261.999977,76.417215,19.578415,0.623903,3.105728,0.274740,82.823545,86.402968,47.522957,10.216564,76.417215,4.464023,11.005903,4.108489,76.417215,4.464023,11.627711,3.486681,4,5
"1997-Life Thru a Lens/09-Killing Me",69.125181,227.067097,68.337776,30.509718,0.000000,0.365102,0.787404,98.319302,46.330547,43.387720,52.516947,68.337776,11.586145,18.808110,0.115463,68.337776,4.707810,0.608009,25.193899,10,9
"1997-Life Thru a Lens/10-Clean",75.399822,224.099635,73.736254,7.895408,0.000000,16.704770,1.663568,92.367890,79.828882,0.000000,1.802780,73.736254,2.128618,4.374613,1.392176,73.736254,0.457674,5.591252,1.846482,8,7
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",97.197899,127.814763,92.669255,1.536700,0.000000,1.265401,4.528645,98.621720,76.809358,97.252036,17.396597,92.669255,0.416917,0.736824,0.382960,92.669255,0.000000,0.736824,0.799877,5,6
"1998-I've Been Expecting You/01-Strong",96.121230,279.313356,94.949065,3.696601,0.000000,0.181982,1.172352,96.029149,81.479080,97.313453,17.166587,94.949065,0.267858,2.030286,1.398457,94.949065,0.027797,2.844252,0.824552,10,10
"1998-I've Been Expecting You/02-No Regrets",94.158017,296.426122,94.095350,5.319057,0.000000,0.522926,0.062666,98.319367,43.872315,91.750897,55.542092,94.095350,1.919465,1.090512,2.309080,94.095350,0.289434,0.685108,4.344515,8,9
"1998-I've Been Expecting You/03-Millennium",73.409987,247.573311,70.205018,26.071740,0.472477,0.045796,3.204969,75.735237,48.708099,69.348535,48.041136,70.205018,4.120459,17.938653,4.012627,70.205018,2.863670,12.453867,10.754203,2,6
