MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",88.709677,234.666644,86.574299,9.780013,0.918590,0.591721,2.135378,90.405371,91.388711,67.196928,5.884190,86.574299,4.123281,2.940437,2.716294,86.574299,2.996493,5.369153,1.414367,8,12
"1997-Life Thru a Lens/02-Life Thru A Lens",73.698970,177.604423,72.310307,24.968302,1.332728,0.000000,1.388663,86.801214,80.788599,12.258623,17.822738,72.310307,18.008634,2.673410,4.286259,72.310307,0.915408,6.284418,17.768476,10,16
"1997-Life Thru a Lens/03-Ego A Go Go",66.963601,214.959977,64.376240,29.752837,0.417839,2.865724,2.587361,68.496555,88.748018,61.854942,5.798897,64.376240,2.407357,10.516941,16.828539,64.376240,2.407357,24.800145,2.545335,8,11
"1997-Life Thru a Lens/04-Angels",92.290317,264.999977,91.438556,6.108622,1.601061,0.000000,0.851760,94.079937,76.259811,86.040743,22.888428,91.438556,3.488453,2.097557,0.522612,91.438556,0.253677,2.240723,3.614222,7,13
"1997-Life Thru a Lens/05-South Of The Border",76.947837,233.373311,75.828982,21.823432,1.226447,0.002283,1.118856,85.103238,80.856700,38.937125,18.022160,75.828982,9.756074,8.787668,2.722643,75.828982,9.313235,6.944504,5.565693,8,16
"1997-Life Thru a Lens/06-Old Before I Die",72.751360,221.530951,72.677662,24.917869,2.330771,0.000000,0.073699,92.751377,55.152727,48.070203,44.773574,72.677662,8.686613,14.585965,1.645291,72.677662,4.685452,4.072453,16.159964,14,18
"1997-Life Thru a Lens/07-One Of God's Better People",86.368858,201.779183,85.922511,11.087433,2.543709,0.000000,0.446347,82.902252,44.883375,89.103594,54.670278,85.922511,4.761013,3.790183,2.536236,85.922511,2.395178,5.626231,3.066024,9,14
"1997-Life Thru a Lens/08-Let Me Entertain You",75.088260,261.999977,72.607344,20.348074,3.664114,0.899552,2.480916,78.157803,86.402968,49.690706,10.216564,72.607344,8.468307,10.508205,1.371562,72.607344,7.528146,8.872661,3.947267,4,8
"1997-Life Thru a Lens/09-Killing Me",62.253508,227.067097,61.105077,33.884996,3.857421,0.004075,1.148431,85.547368,46.330547,40.883019,52.516947,61.105077,12.114713,20.858229,0.616797,61.105077,5.797062,2.826288,25.261645,10,13
"1997-Life Thru a Lens/10-Clean",74.424611,224.099635,67.462501,13.884505,0.284656,11.406228,6.962110,84.508888,79.828882,0.000000,1.802780,67.462501,3.408682,8.044081,2.431742,67.462501,1.989083,8.713265,3.182157,8,16
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",90.755433,127.814763,84.961388,6.667140,2.577427,0.000000,5.794045,93.675907,76.809358,74.782013,17.396597,84.961388,5.188330,1.153986,0.324823,84.961388,4.807322,1.182000,0.677818,5,12
"1998-I've Been Expecting You/01-Strong",92.249052,279.313356,90.991563,6.548655,1.105448,0.092063,1.262271,94.046997,81.479080,83.667976,17.166587,90.991563,3.696642,1.828349,0.737247,90.991563,3.667522,2.272978,0.608156,10,13
"1998-I've Been Expecting You/02-No Regrets",81.000454,296.426122,80.420652,18.865125,0.128630,0.005791,0.579802,91.928509,43.872315,72.178569,55.542092,80.420652,11.805177,2.670744,3.714500,80.420652,10.345406,3.193938,5.325781,8,19
"1998-I've Been Expecting You/03-Millennium",54.151852,247.573311,50.901086,41.717944,4.130204,0.000000,3.250765,80.118607,48.708099,24.722222,48.041136,50.901086,25.680513,13.094067,2.943365,50.901086,23.225948,7.627388,10.864608,2,12
"1998-I've Been Expecting You/04-Phoenix From The Flames",64.953742,239.305805,64.953742,31.768315,3.164946,0.000000,0.112997,88.873645,63.265838,23.830715,36.621165,64.953742,13.014922,14.233858,1.218320,64.953742,5.215794,6.303143,20.249378,12,18
"1998-I've Been Expecting You/05-Win Some Lose Some",88.283840,258.733311,86.017356,11.302931,0.413229,0.000000,2.266484,91.176383,89.454791,53.821244,8.278725,86.017356,5.571431,4.556518,1.174982,86.017356,4.567964,5.171910,1.563057,6,13
"1998-I've Been Expecting You/06-Grace",76.532964,193.632744,72.245574,21.798438,1.668598,0.000000,4.287391,76.845772,67.013554,72.296772,28.699056,72.245574,6.471656,8.235675,6.161511,72.245574,6.166218,12.817776,2.814443,10,20
"1998-I've Been Expecting You/07-It's Only Us",83.052820,159.580000,81.759473,15.337086,1.610094,0.000000,1.293347,87.975242,83.208458,55.210495,15.498195,81.759473,7.818356,5.878213,1.640517,81.759473,5.404663,6.016246,3.916176,9,14
"1998-I've Been Expecting You/08-Heaven From Here",80.428800,177.627052,80.344124,17.969357,1.601843,0.000000,0.084676,87.390655,68.197080,65.407937,31.718244,80.344124,6.357902,10.617383,0.963906,80.344124,1.426031,6.838045,9.705281,8,14
"1998-I've Been Expecting You/09-Karma Killer",58.929190,258.009683,50.603825,36.095500,0.803175,4.172135,8.325365,55.318009,63.311549,64.408947,24.190951,50.603825,14.470303,14.738386,6.347026,50.603825,9.355166,17.302898,9.437437,11,18
"1998-I've Been Expecting You/10-She's The One",84.171953,258.035465,83.900673,12.744263,2.842813,0.240971,0.271281,86.173100,77.530871,77.834010,21.956878,83.900673,3.568152,3.824854,5.351257,83.900673,0.484693,7.255740,5.003830,7,13
"1998-I've Been Expecting You/11-Man Machine",62.690056,214.999977,62.515263,34.647539,2.662406,0.000000,0.174793,60.469931,93.172916,92.805080,6.652291,62.515263,13.604294,17.347795,3.462891,62.515263,9.313949,20.425472,4.908117,8,17
"1998-I've Been Expecting You/12-1-These Dreams",73.993151,309.847052,73.329002,25.558497,0.448352,0.000000,0.664149,79.668759,69.813554,59.986560,29.522298,73.329002,10.737124,11.543470,3.245628,73.329002,7.637592,12.197065,5.723840,14,19
"1998-I've Been Expecting You/12-2-Stand Your Ground",75.872304,143.887959,37.990774,11.759670,12.361659,0.000000,37.887897,66.796527,52.943388,28.645558,9.168715,37.990774,5.027328,5.200758,1.184091,37.990774,4.737105,4.855378,2.167188,6,11
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",79.783031,226.577052,63.885059,19.147529,1.065547,0.003893,15.897972,74.559298,55.789173,78.734936,28.308962,63.885059,9.444751,6.418955,3.141459,63.885059,3.285533,7.111407,8.750589,7,15
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",80.885945,299.034989,78.419061,14.382356,4.199556,0.532143,2.466885,84.437141,88.768391,42.095774,8.232582,78.419061,3.827232,7.809149,2.679094,78.419061,1.371760,9.297541,3.713055,9,18
"2000-Sing When You 're Winning/02-Better Man",82.955120,199.550159,81.158301,14.311522,2.733359,0.000000,1.796819,87.276965,62.715878,74.454195,35.487303,81.158301,10.005270,3.919280,0.386971,81.158301,6.182739,3.899394,4.229389,9,12
"2000-Sing When You 're Winning/03-Rock DJ",54.593697,258.566689,52.840091,44.156162,1.250141,0.000000,1.753606,53.645049,87.458614,54.903554,10.787780,52.840091,5.724160,5.398793,33.033209,52.840091,3.463003,35.954030,4.739129,6,9
"2000-Sing When You 're Winning/04-Supreme",89.818502,245.977097,87.245516,8.393755,1.787743,0.000000,2.572986,91.064912,59.110145,87.212017,38.316869,87.245516,4.292798,3.990601,0.110356,87.245516,3.311132,3.077191,2.005432,6,12
"2000-Sing When You 're Winning/05-Kids",77.452725,286.706644,77.249336,17.272366,5.274909,0.000000,0.203389,77.406773,99.796611,-nan,0.000000,77.249336,3.541406,11.194942,2.536018,77.249336,2.740181,13.400813,1.131372,7,13
"2000-Sing When You 're Winning/06-If It's Hurting You",82.701716,250.370227,78.034469,12.870908,4.427375,0.000000,4.667247,78.286399,49.832786,85.763086,45.499967,78.034469,2.111793,2.078863,8.680252,78.034469,1.826574,7.461766,3.582568,6,13
"2000-Sing When You 're Winning/07-Singing For The Lonely",87.426584,266.257893,85.705416,10.766471,1.806945,0.000000,1.721167,88.025362,66.346805,85.504753,31.932027,85.705416,2.017839,7.261591,1.487042,85.705416,0.366753,7.610807,2.788911,8,12
"2000-Sing When You 're Winning/08-Love Calling Earth",82.992773,245.626644,81.737775,15.767934,1.239294,0.000000,1.254997,87.605991,92.465087,11.669257,6.279916,81.737775,5.831159,4.129019,5.807756,81.737775,1.478056,9.733251,4.556627,13,21
"2000-Sing When You 're Winning/09-Knutsford City Limits",81.056207,278.804151,75.539497,18.481639,0.462153,0.000000,5.516710,79.950113,94.483290,-nan,0.000000,75.539497,1.060042,15.146493,2.239237,75.539497,1.047761,16.221989,1.211889,4,10
"2000-Sing When You 're Winning/10-Forever Texas",85.098304,217.631111,83.386406,14.609163,0.232268,0.060265,1.711898,84.890810,98.227837,-nan,0.000000,83.386406,3.051170,8.355502,3.202491,83.386406,2.869915,11.162964,0.576283,9,15
