MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",82.487233,234.666644,82.326451,14.946451,0.000000,2.566317,0.160782,-nan,0.000000,0.000000,4.719437,-nan,0.000000,89.733799,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.407733,5.884190,86.887627,3.884239,3.711396,2.374054,82.326451,7.129340,5.124856,2.692255,9,11
"1997-Life Thru a Lens/02-Life Thru A Lens",71.163947,177.604423,70.531353,28.079984,0.000000,0.756069,0.632594,-nan,0.000000,0.000000,2.395385,-nan,0.000000,85.949006,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.691807,17.822738,73.411304,17.945626,4.467915,1.306273,70.531353,5.775185,4.838288,17.466511,11,14
"1997-Life Thru a Lens/03-Ego A Go Go",60.206081,214.959977,59.800426,34.746489,0.000000,5.047430,0.405655,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.181791,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.589602,5.798897,60.081278,2.749718,11.754381,17.455477,59.800426,1.950371,21.586374,11.209744,8,16
"1997-Life Thru a Lens/04-Angels",87.494656,264.999977,87.349232,11.799007,0.000000,0.706336,0.145424,-nan,0.000000,-nan,0.000000,63.069086,4.859300,90.918661,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.619734,22.888428,91.382382,3.668096,3.304059,0.793703,87.349232,4.033150,2.693047,5.072811,8,11
"1997-Life Thru a Lens/05-South Of The Border",63.460293,233.373311,62.499097,35.206252,1.173511,0.159943,0.961196,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.167598,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.901345,18.022160,62.499097,14.419006,16.610391,3.758967,62.499097,11.122098,14.304420,9.779734,8,14
"1997-Life Thru a Lens/06-Old Before I Die",70.311105,221.530951,70.248216,29.537004,0.141082,0.010809,0.062890,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.206240,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.242897,44.773574,70.583627,11.522179,14.152362,2.664379,70.248216,4.876660,5.283649,19.376695,14,21
"1997-Life Thru a Lens/07-One Of God's Better People",80.922590,201.779183,80.730119,18.823534,0.000000,0.253875,0.192472,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.688900,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,79.397126,52.673462,80.730119,8.149903,4.854704,5.197517,80.730119,0.042401,5.784427,12.996707,10,15
"1997-Life Thru a Lens/08-Let Me Entertain You",70.497713,261.999977,70.479988,26.020808,0.118736,3.362743,0.017725,-nan,0.000000,6.843908,10.294924,66.617838,2.198318,90.316685,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.250982,10.216564,72.573928,9.723375,10.064636,3.234875,70.479988,11.060378,2.808865,12.151565,7,10
"1997-Life Thru a Lens/09-Killing Me",59.909779,227.067097,59.611636,39.235858,0.000000,0.854363,0.298143,-nan,0.000000,0.000000,5.249439,82.209538,3.973612,90.545391,37.107496,-nan,0.000000,0.000000,6.675472,0.000000,6.765550,58.209295,39.075926,68.453408,13.243592,16.966725,0.180333,59.611636,14.815153,1.690521,22.730183,13,14
"1997-Life Thru a Lens/10-Clean",63.015368,224.099635,62.750595,18.881067,0.000000,18.103565,0.264773,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.606380,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,64.212034,3.338732,10.142466,3.296021,62.750595,1.940504,11.216747,5.723817,8,13
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",86.629068,127.814763,86.351473,7.854482,0.000000,5.516450,0.277595,-nan,0.000000,34.192683,4.356734,-nan,0.000000,93.364260,72.452624,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.967244,17.396597,88.488920,1.782165,3.467143,0.467727,86.351473,2.137447,0.623299,5.093735,6,11
"1998-I've Been Expecting You/01-Strong",82.306206,279.313356,82.164694,16.480972,0.000000,1.212822,0.141512,-nan,0.000000,0.000000,1.018549,-nan,0.000000,90.107278,80.460531,-nan,0.000000,-nan,0.000000,0.000000,0.982633,59.712851,16.183953,84.052722,5.983096,5.965617,2.644231,82.164694,7.377616,8.020592,1.082764,12,10
"1998-I've Been Expecting You/02-No Regrets",82.867704,296.426122,82.739044,16.675363,0.000000,0.456932,0.128660,-nan,0.000000,-nan,0.000000,78.196546,3.991848,87.171350,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.755357,55.542092,82.739044,1.635744,6.755596,6.484008,82.739044,0.571433,3.078626,13.025305,9,21
"1998-I've Been Expecting You/03-Millennium",62.951773,247.573311,62.613258,33.535720,0.600257,2.912250,0.338515,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.569385,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.686299,48.041136,62.613258,5.719683,21.225754,5.802444,62.613258,1.641787,6.828066,25.065867,2,16
"1998-I've Been Expecting You/04-Phoenix From The Flames",65.654202,239.305805,65.654202,34.085266,0.147535,0.093591,0.019406,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.204285,63.265838,-nan,0.000000,0.000000,9.411842,0.000000,14.546317,47.817010,12.663006,67.850748,12.043319,14.750572,0.796009,65.654202,3.825171,2.664962,27.595133,16,19
"1998-I've Been Expecting You/05-Win Some Lose Some",80.673739,258.733311,80.523740,17.209775,0.000000,2.116486,0.149998,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.540138,89.454791,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.975567,8.278725,82.686344,2.595569,9.372017,1.823160,80.523740,3.818972,8.150394,5.240409,6,15
"1998-I've Been Expecting You/06-Grace",68.845304,193.632744,68.640648,27.071962,0.000000,4.082734,0.204656,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.031641,67.013554,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.976848,28.699056,69.336169,5.083470,9.758604,4.842969,68.640648,1.792579,8.421371,16.858012,10,21
"1998-I've Been Expecting You/07-It's Only Us",79.259658,159.580000,78.926882,19.779771,0.000000,0.960571,0.332776,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.012251,83.208458,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.686192,15.498195,78.926882,11.230331,6.663935,1.508097,78.926882,10.184032,5.682433,3.913305,9,16
"1998-I've Been Expecting You/08-Heaven From Here",73.438463,177.627052,73.412318,26.311708,0.191297,0.058532,0.026145,-nan,0.000000,7.039090,6.685567,49.125805,2.250326,85.479191,59.261187,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.776209,31.718244,78.874462,6.905523,12.517845,1.412231,73.412318,5.462144,8.055120,12.794445,11,15
"1998-I've Been Expecting You/09-Karma Killer",58.896488,258.009683,54.601135,32.901365,0.000000,8.202147,4.295353,-nan,0.000000,49.027806,2.665450,41.171420,14.008158,61.075563,46.637941,-nan,0.000000,0.000000,0.664919,0.000000,2.004496,88.481512,21.521536,61.833817,11.391731,8.277950,4.659434,54.601135,11.073088,6.530463,15.297814,13,19
