MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",87.517758,234.666644,85.439381,11.092303,0.741217,0.648722,2.078376,-nan,0.000000,0.000000,4.719437,-nan,0.000000,93.905684,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.862601,5.884190,90.109431,3.578599,1.534874,1.308780,85.439381,7.014012,2.711794,1.366497,9,9
"1997-Life Thru a Lens/02-Life Thru A Lens",77.700270,177.604423,76.334142,21.338588,0.938607,0.022535,1.366128,-nan,0.000000,0.000000,2.395385,-nan,0.000000,94.609691,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.156181,17.822738,76.334142,17.792684,1.804603,1.741302,76.334142,0.000000,3.271632,18.066955,11,10
"1997-Life Thru a Lens/03-Ego A Go Go",74.531703,214.959977,71.930385,22.338252,0.278278,2.851768,2.601317,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.421863,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.528078,5.798897,71.930385,1.825157,10.836959,9.676137,71.930385,1.825157,19.005711,1.507385,8,8
"1997-Life Thru a Lens/04-Angels",91.240106,264.999977,90.388346,8.581474,0.178420,0.000000,0.851760,-nan,0.000000,-nan,0.000000,0.000000,4.859300,98.274088,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.342214,22.888428,95.200941,2.601155,0.835391,0.332332,90.388346,4.812596,0.811311,2.957567,8,7
"1997-Life Thru a Lens/05-South Of The Border",85.599689,233.373311,84.489403,14.024292,0.365166,0.010853,1.110286,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.023810,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.428682,18.022160,84.489403,6.481562,5.233252,2.309478,84.489403,4.779968,3.603949,5.640375,8,10
"1997-Life Thru a Lens/06-Old Before I Die",76.808983,221.530951,76.735284,22.385992,0.805025,0.000000,0.073699,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.888249,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.036883,44.773574,76.735284,8.815667,13.075225,0.495101,76.735284,3.836669,0.876419,17.672904,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",92.464869,201.779183,92.027591,6.683074,0.842988,0.009069,0.437278,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.411910,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,95.968644,52.673462,92.027591,2.860910,0.623725,3.198439,92.027591,0.034939,2.001773,4.646362,10,9
"1997-Life Thru a Lens/08-Let Me Entertain You",79.210746,261.999977,76.023722,19.759941,0.835869,0.193445,3.187023,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,92.262989,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.663737,10.216564,81.507278,3.114349,10.336743,0.825293,76.023722,7.853699,3.588798,8.317444,7,5
"1997-Life Thru a Lens/09-Killing Me",68.554132,227.067097,67.414509,31.393819,0.039166,0.012883,1.139624,-nan,0.000000,0.000000,5.249439,0.000000,3.973612,94.024570,37.107496,-nan,0.000000,0.000000,6.675472,0.000000,6.765550,83.233717,39.075926,81.493377,10.144853,5.977176,1.192921,67.414509,18.468223,0.104977,12.820619,13,9
"1997-Life Thru a Lens/10-Clean",90.628004,224.099635,72.447670,8.939497,0.244496,0.188003,18.180334,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.753706,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,72.447670,2.378052,5.303309,1.258136,72.447670,0.311005,6.230870,2.397622,8,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",93.242487,127.814763,87.475497,4.892711,1.837747,0.027055,5.766990,-nan,0.000000,0.000000,4.356734,-nan,0.000000,96.901774,72.452624,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.258602,17.396597,91.816991,0.100486,0.344444,0.106287,87.475497,4.341494,0.329204,0.222013,6,6
"1998-I've Been Expecting You/01-Strong",94.701106,279.313356,93.351554,5.071953,0.222159,0.000000,1.354334,-nan,0.000000,0.000000,1.018549,-nan,0.000000,97.158946,80.460531,-nan,0.000000,-nan,0.000000,0.000000,0.982633,93.777766,16.183953,95.294811,0.823074,1.484236,0.821386,93.351554,2.659283,2.003001,0.409669,12,10
"1998-I've Been Expecting You/02-No Regrets",88.580745,296.426122,88.018331,10.956562,0.439514,0.023178,0.562414,-nan,0.000000,-nan,0.000000,0.000000,3.991848,97.840691,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.219590,55.542092,91.045390,3.179548,1.698579,3.051377,88.018331,3.890825,0.440179,6.625557,9,11
"1998-I've Been Expecting You/03-Millennium",81.966073,247.573311,78.715308,16.900814,1.133112,0.000000,3.250765,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.158511,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.384077,48.041136,78.715308,6.859041,7.419805,2.621968,78.715308,3.668067,2.182326,11.050421,2,8
"1998-I've Been Expecting You/04-Phoenix From The Flames",67.591862,239.305805,67.591862,31.879644,0.415497,0.004349,0.108648,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.459892,63.265838,-nan,0.000000,0.000000,9.411842,0.000000,14.546317,51.849481,12.663006,80.769368,6.001183,11.456569,1.244386,67.591862,13.507627,2.322591,16.049426,16,14
"1998-I've Been Expecting You/05-Win Some Lose Some",91.675735,258.733311,89.410075,8.091042,0.232399,0.000824,2.265660,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.849378,89.454791,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.530464,8.278725,89.410075,2.545473,3.265737,2.279832,89.410075,0.403054,4.801135,2.886853,6,9
"1998-I've Been Expecting You/06-Grace",85.350028,193.632744,81.111308,13.877019,0.724283,0.031760,4.255631,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.040737,67.013554,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.383159,28.699056,81.111308,5.816068,5.981377,2.079573,81.111308,2.867118,6.015174,4.994727,10,14
"1998-I've Been Expecting You/07-It's Only Us",86.158665,159.580000,84.870050,13.612929,0.223674,0.004732,1.288615,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.398749,83.208458,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.269477,15.498195,84.870050,6.135394,5.925587,1.551948,84.870050,4.690857,6.944929,1.977143,9,11
