MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",87.839777,234.666644,86.171458,10.788325,0.313119,1.058780,1.668319,-nan,0.000000,50.025284,4.719437,-nan,0.000000,91.339133,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.984238,5.884190,88.473435,3.274313,2.638306,2.573729,86.171458,4.344398,5.063148,1.380779,9,10
"1997-Life Thru a Lens/02-Life Thru A Lens",74.789396,177.604423,74.266437,24.344900,0.000000,0.865704,0.522959,-nan,0.000000,0.000000,2.395385,-nan,0.000000,91.165589,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.703540,17.822738,78.635237,17.544316,1.501016,0.930767,74.266437,4.368801,2.296524,17.679576,11,11
"1997-Life Thru a Lens/03-Ego A Go Go",66.608760,214.959977,64.107519,30.439396,0.000000,2.951844,2.501241,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.794871,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.264015,5.798897,64.905895,1.675331,13.191519,14.774169,64.107519,1.687631,24.769933,3.981832,8,9
"1997-Life Thru a Lens/04-Angels",89.378804,264.999977,89.308706,9.839533,0.000000,0.781662,0.070098,-nan,0.000000,-nan,0.000000,86.156273,4.859300,90.932682,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.235480,22.888428,94.751748,3.210782,0.802113,0.383596,89.308706,5.443042,0.558396,3.838095,8,10
"1997-Life Thru a Lens/05-South Of The Border",85.624009,233.373311,84.818083,14.060778,0.000000,0.315213,0.805926,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.441230,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.379674,18.022160,84.832434,5.863495,6.527151,1.655780,84.818083,4.172988,3.950246,5.937544,8,12
"1997-Life Thru a Lens/06-Old Before I Die",75.010962,221.530951,74.969035,23.474542,1.482725,0.031772,0.041926,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.875436,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.339635,44.773574,74.969035,9.346574,13.348728,0.779240,74.969035,4.518402,1.206988,17.749152,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",92.448922,201.779183,92.368368,7.185285,0.000000,0.365794,0.080553,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.702160,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,94.664070,52.673462,92.368368,2.851852,2.572545,1.760888,92.368368,1.583925,1.255419,4.345941,10,10
"1997-Life Thru a Lens/08-Let Me Entertain You",75.203206,261.999977,74.928466,21.067163,0.623903,3.105728,0.274740,-nan,0.000000,33.517387,10.294924,33.150257,2.198318,89.186947,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.288893,10.216564,77.120647,4.491839,10.423241,3.959902,74.928466,6.684020,5.644431,8.738711,7,7
"1997-Life Thru a Lens/09-Killing Me",67.563094,227.067097,66.734785,32.112709,0.000000,0.324197,0.828309,-nan,0.000000,99.018762,5.249439,99.447104,3.973612,97.203842,37.107496,-nan,0.000000,6.953601,6.675472,0.000000,6.765550,53.872342,39.075926,66.734785,12.314700,19.716170,0.081839,66.734785,5.504321,0.078523,26.529864,13,13
"1997-Life Thru a Lens/10-Clean",71.409299,224.099635,69.745731,11.885931,0.000000,16.704770,1.663568,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.369044,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,74.385431,2.121485,4.030713,1.094033,69.745731,5.097374,4.525391,2.263166,8,11
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",88.056393,127.814763,83.527748,10.678207,0.000000,1.265401,4.528645,-nan,0.000000,0.000000,4.356734,-nan,0.000000,91.483504,72.452624,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.131736,17.396597,92.202274,0.108080,1.748811,0.146790,83.527748,8.674526,1.724328,0.279353,6,7
"1998-I've Been Expecting You/01-Strong",94.380226,279.313356,93.208061,5.437605,0.000000,0.181982,1.172352,-nan,0.000000,0.000000,1.018549,-nan,0.000000,96.114531,80.460531,-nan,0.000000,-nan,0.000000,0.000000,0.982633,98.083572,16.183953,96.117869,0.217979,1.442515,0.867303,93.208061,2.945919,1.800146,0.691540,12,10
"1998-I've Been Expecting You/02-No Regrets",94.391556,296.426122,94.321056,5.093351,0.000000,0.515093,0.070500,-nan,0.000000,-nan,0.000000,97.822667,3.991848,98.132960,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.326808,55.542092,94.908554,1.423603,1.014458,2.067793,94.321056,0.673266,0.308253,4.111833,9,13
"1998-I've Been Expecting You/03-Millennium",76.248817,247.573311,72.998051,23.408913,0.342270,0.000000,3.250765,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.605425,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.252336,48.041136,72.998051,3.116592,16.064919,4.227402,72.998051,2.328754,10.766897,10.313261,2,6
"1998-I've Been Expecting You/04-Phoenix From The Flames",71.882931,239.305805,71.882931,27.992379,0.011693,0.074185,0.038812,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.727045,63.265838,-nan,0.000000,57.857297,9.411842,0.000000,14.546317,41.398679,12.663006,72.207225,10.610262,16.074405,0.983419,71.882931,1.628624,3.671125,22.692631,16,13
"1998-I've Been Expecting You/05-Win Some Lose Some",89.342976,258.733311,88.266039,9.467476,0.000000,1.189547,1.076937,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.907753,89.454791,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.691484,8.278725,91.283006,2.459181,2.475361,1.515967,88.266039,3.016966,2.597832,3.852678,6,11
"1998-I've Been Expecting You/06-Grace",81.806981,193.632744,77.571458,18.011678,0.129473,0.039079,4.248312,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.475274,67.013554,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.049510,28.699056,81.446573,5.378311,4.231929,4.526323,77.571458,5.397002,3.672978,8.941699,10,14
"1998-I've Been Expecting You/07-It's Only Us",88.614389,159.580000,88.512534,10.194119,0.000000,1.191492,0.101855,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.146018,83.208458,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.022259,15.498195,90.157399,2.634538,4.486335,1.428381,88.512534,4.193661,4.804845,1.195613,9,11
"1998-I've Been Expecting You/08-Heaven From Here",75.785964,177.627052,75.772892,24.134147,0.008285,0.071604,0.013072,-nan,0.000000,0.000000,6.685567,49.958023,2.250326,89.731350,59.261187,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.698610,31.718244,81.304035,6.607948,9.550865,2.444190,75.772892,5.531143,5.123131,13.479872,11,14
"1998-I've Been Expecting You/09-Karma Killer",60.558682,258.009683,52.132492,35.370008,0.000000,4.071311,8.426190,-nan,0.000000,24.892100,2.665450,23.661882,14.008158,61.673353,46.637941,-nan,0.000000,98.034539,0.664919,0.000000,2.004496,87.072685,21.521536,54.145890,15.929478,10.307887,7.119245,52.132492,8.155832,4.253218,22.960958,13,13
"1998-I've Been Expecting You/10-She's The One",89.239522,258.035465,89.212526,10.275223,0.000000,0.485255,0.026996,-nan,0.000000,0.000000,0.878889,-nan,0.000000,93.654944,76.651982,-nan,0.000000,0.000000,0.567176,-nan,0.000000,81.460484,21.389702,90.047264,2.936966,2.556522,3.946996,89.212526,0.834739,4.686536,4.753948,9,6
"1998-I've Been Expecting You/11-Man Machine",66.902026,214.999977,66.804827,33.020380,0.000000,0.077593,0.097200,-nan,0.000000,0.000000,1.634077,-nan,0.000000,66.008000,91.538838,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.934912,6.652291,67.838577,15.328442,12.897824,3.760364,66.804827,8.513348,14.200918,10.306114,9,11
"1998-I've Been Expecting You/12-1-These Dreams",75.024587,309.847052,74.425074,24.910777,0.000000,0.064636,0.599513,-nan,0.000000,12.738737,2.653200,0.000000,0.896148,81.378793,66.264206,-nan,0.000000,-nan,0.000000,5.306050,6.053247,84.540661,23.469051,82.755226,2.530091,12.202173,1.848362,74.425074,9.620182,10.117969,5.172626,18,16
