MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",86.664743,234.666644,84.529365,11.824946,0.918590,0.591721,2.135378,-nan,0.000000,52.542866,4.719437,-nan,0.000000,90.107646,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.196928,5.884190,86.574299,4.123281,2.940437,2.716294,84.529365,5.041426,5.025770,1.757750,9,16
"1997-Life Thru a Lens/02-Life Thru A Lens",70.151761,177.604423,68.763098,28.515511,1.332728,0.000000,1.388663,-nan,0.000000,0.000000,2.395385,-nan,0.000000,84.928620,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.258623,17.822738,72.310307,18.008634,2.673410,4.286259,68.763098,4.462617,6.284418,17.768476,11,17
"1997-Life Thru a Lens/03-Ego A Go Go",66.498398,214.959977,63.911037,30.218040,0.417839,2.865724,2.587361,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.972371,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.854942,5.798897,64.376240,2.407357,10.516941,16.828539,63.911037,2.872559,24.800145,2.545335,8,12
"1997-Life Thru a Lens/04-Angels",89.659109,264.999977,88.807349,8.739829,1.601061,0.000000,0.851760,-nan,0.000000,-nan,0.000000,87.752384,4.859300,90.825433,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.040743,22.888428,91.438556,3.488453,2.097557,0.522612,88.807349,2.884884,2.072820,3.782125,8,17
"1997-Life Thru a Lens/05-South Of The Border",76.862138,233.373311,75.743282,21.909132,1.226447,0.002283,1.118856,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.997249,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.937125,18.022160,75.828982,9.756074,8.787668,2.722643,75.743282,9.398934,6.683850,5.826348,8,19
"1997-Life Thru a Lens/06-Old Before I Die",72.751360,221.530951,72.677662,24.917869,2.330771,0.000000,0.073699,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.751377,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.070203,44.773574,72.677662,8.686613,14.585965,1.645291,72.677662,4.685452,4.072453,16.159964,14,19
"1997-Life Thru a Lens/07-One Of God's Better People",86.220181,201.779183,85.773834,11.236110,2.543709,0.000000,0.446347,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.570999,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,92.481453,52.673462,85.922511,4.761013,3.790183,2.536236,85.773834,2.543855,4.309452,4.382802,10,16
"1997-Life Thru a Lens/08-Let Me Entertain You",72.551901,261.999977,70.070985,22.884434,3.664114,0.899552,2.480916,-nan,0.000000,7.414905,10.294924,43.405852,2.198318,85.613555,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.690706,10.216564,72.607344,8.468307,10.508205,1.371562,70.070985,10.064506,3.615706,9.204221,7,11
"1997-Life Thru a Lens/09-Killing Me",60.750102,227.067097,59.601671,35.388402,3.857421,0.004075,1.148431,-nan,0.000000,62.081844,5.249439,93.062659,3.973612,84.010680,37.107496,-nan,0.000000,4.830213,6.675472,0.000000,6.765550,54.120468,39.075926,61.105077,12.114713,20.858229,0.616797,59.601671,7.300469,2.056959,26.030974,13,20
"1997-Life Thru a Lens/10-Clean",70.792662,224.099635,63.830552,17.516453,0.284656,11.406228,6.962110,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.959221,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,67.462501,3.408682,8.044081,2.431742,63.830552,5.621031,8.552258,3.343164,8,20
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",86.777312,127.814763,80.983267,10.645261,2.577427,0.000000,5.794045,-nan,0.000000,0.000000,4.356734,-nan,0.000000,93.818192,72.452624,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.782013,17.396597,84.961388,5.188330,1.153986,0.324823,80.983267,8.785443,0.994956,0.864862,6,12
"1998-I've Been Expecting You/01-Strong",90.418949,279.313356,89.161459,8.378759,1.105448,0.092063,1.262271,-nan,0.000000,0.000000,1.018549,-nan,0.000000,94.071497,80.460531,-nan,0.000000,-nan,0.000000,0.000000,0.982633,83.236976,16.183953,90.991563,3.696642,1.828349,0.737247,89.161459,5.497625,2.048837,0.832296,12,15
"1998-I've Been Expecting You/02-No Regrets",80.528161,296.426122,79.948359,19.337418,0.128630,0.005791,0.579802,-nan,0.000000,-nan,0.000000,72.964762,3.991848,92.642419,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.178569,55.542092,80.420652,11.805177,2.670744,3.714500,79.948359,10.817699,2.449728,6.069991,9,26
"1998-I've Been Expecting You/03-Millennium",54.151852,247.573311,50.901086,41.717944,4.130204,0.000000,3.250765,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.118607,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.722222,48.041136,50.901086,25.680513,13.094067,2.943365,50.901086,23.225948,7.627388,10.864608,2,13
"1998-I've Been Expecting You/04-Phoenix From The Flames",62.966418,239.305805,62.966418,33.755639,3.164946,0.000000,0.112997,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.251583,63.265838,-nan,0.000000,43.228816,9.411842,0.000000,14.546317,29.197997,12.663006,64.953742,13.014922,14.233858,1.218320,62.966418,7.203119,3.695402,22.857119,16,30
"1998-I've Been Expecting You/05-Win Some Lose Some",86.428648,258.733311,84.162163,13.158123,0.413229,0.000000,2.266484,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.102495,89.454791,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.821244,8.278725,86.017356,5.571431,4.556518,1.174982,84.162163,6.423156,4.398914,2.336054,6,20
"1998-I've Been Expecting You/06-Grace",74.777063,193.632744,70.489672,23.554339,1.668598,0.000000,4.287391,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.150337,67.013554,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.137363,28.699056,72.245574,6.471656,8.235675,6.161511,70.489672,7.922120,12.339453,3.292766,10,27
"1998-I've Been Expecting You/07-It's Only Us",83.052820,159.580000,81.759473,15.337086,1.610094,0.000000,1.293347,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.975242,83.208458,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.210495,15.498195,81.759473,7.818356,5.878213,1.640517,81.759473,5.404663,6.016246,3.916176,9,14
"1998-I've Been Expecting You/08-Heaven From Here",74.747082,177.627052,74.662406,23.651075,1.601843,0.000000,0.084676,-nan,0.000000,0.000000,6.685567,68.944718,2.250326,88.362515,59.261187,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.407937,31.718244,80.344124,6.357902,10.617383,0.963906,74.662406,7.107749,5.619869,10.923457,11,18
"1998-I've Been Expecting You/09-Karma Killer",55.852551,258.009683,47.527186,39.172140,0.803175,4.172135,8.325365,-nan,0.000000,18.903265,2.665450,26.507955,14.008158,59.615768,46.637941,-nan,0.000000,0.000000,0.664919,0.000000,2.004496,72.051015,21.521536,50.603825,14.470303,14.738386,6.347026,47.527186,12.431805,15.112855,11.627480,13,25
"1998-I've Been Expecting You/10-She's The One",83.310834,258.035465,83.039553,13.605383,2.842813,0.240971,0.271281,-nan,0.000000,0.000000,0.878889,-nan,0.000000,86.037743,76.651982,-nan,0.000000,0.000000,0.567176,-nan,0.000000,79.897879,21.389702,83.900673,3.568152,3.824854,5.351257,83.039553,1.345813,7.227408,5.032162,9,14
"1998-I've Been Expecting You/11-Man Machine",62.504009,214.999977,62.329216,34.833585,2.662406,0.000000,0.174793,-nan,0.000000,0.000000,1.634077,-nan,0.000000,61.346148,91.538838,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.805080,6.652291,62.515263,13.604294,17.347795,3.462891,62.329216,9.499995,18.915679,6.417910,9,19
"1998-I've Been Expecting You/12-1-These Dreams",66.855286,309.847052,66.191138,32.696361,0.448352,0.000000,0.664149,-nan,0.000000,0.000000,2.653200,0.000000,0.896148,79.172599,66.264206,-nan,0.000000,-nan,0.000000,0.000000,6.053247,58.494245,23.469051,73.329002,10.737124,11.543470,3.245628,66.191138,14.775456,10.878698,7.042206,18,22
"1998-I've Been Expecting You/12-2-Stand Your Ground",73.145267,143.887959,35.263737,14.486707,12.361659,0.000000,37.887897,-nan,0.000000,-nan,0.000000,7.413258,1.874979,64.453352,51.068409,-nan,0.000000,0.000000,1.805622,-nan,0.000000,30.006936,7.363093,37.990774,5.027328,5.200758,1.184091,35.263737,7.464142,3.356400,3.666165,8,14
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",78.736248,226.577052,62.838276,20.194312,1.065547,0.003893,15.897972,-nan,0.000000,-nan,0.000000,57.064540,10.222720,76.186937,45.566453,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.734936,28.308962,63.885059,9.444751,6.418955,3.141459,62.838276,4.332316,5.495391,10.366605,9,20
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",78.653116,299.034989,76.186232,16.615185,4.199556,0.532143,2.466885,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.921799,88.768391,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.095774,8.232582,78.419061,3.827232,7.809149,2.679094,76.186232,3.604588,9.222948,3.787649,9,21
"2000-Sing When You 're Winning/02-Better Man",82.790975,199.550159,80.994156,14.475666,2.733359,0.000000,1.796819,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.015237,62.715878,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.454195,35.487303,81.158301,10.005270,3.919280,0.386971,80.994156,6.346883,3.712749,4.416034,9,14
"2000-Sing When You 're Winning/03-Rock DJ",53.936226,258.566689,52.182620,44.813633,1.250141,0.000000,1.753606,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.645049,87.458614,-nan,0.000000,-nan,0.000000,0.000000,1.799437,58.580362,8.988343,52.840091,5.724160,5.398793,33.033209,52.182620,4.120474,35.915355,4.777804,7,9
"2000-Sing When You 're Winning/04-Supreme",87.558784,245.977097,84.985797,10.653474,1.787743,0.000000,2.572986,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.996135,59.110145,-nan,0.000000,0.000000,4.031605,-nan,0.000000,90.994926,34.285264,87.245516,4.292798,3.990601,0.110356,84.985797,5.570851,2.503921,2.578702,7,13
"2000-Sing When You 're Winning/05-Kids",77.452725,286.706644,77.249336,17.272366,5.274909,0.000000,0.203389,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.406773,99.796611,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.249336,3.541406,11.194942,2.536018,77.249336,2.740181,13.400813,1.131372,7,13
"2000-Sing When You 're Winning/06-If It's Hurting You",69.943685,250.370227,65.276438,25.628940,4.427375,0.000000,4.667247,-nan,0.000000,-nan,0.000000,22.804505,21.313624,75.015513,28.519162,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.763086,45.499967,78.034469,2.111793,2.078863,8.680252,65.276438,14.584606,6.833119,4.211215,7,15
"2000-Sing When You 're Winning/07-Singing For The Lonely",85.007101,266.257893,83.285934,13.185954,1.806945,0.000000,1.721167,-nan,0.000000,0.000000,2.148438,85.936418,6.424474,87.343205,57.773893,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.504753,31.932027,85.705416,2.017839,7.261591,1.487042,83.285934,2.786235,6.780018,3.619700,10,18
