MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",89.616572,234.666644,89.455790,7.817111,0.000000,2.566317,0.160782,91.963732,97.272901,97.272901,89.455790,0.000000,7.817111,0.000000,8,7
"1997-Life Thru a Lens/02-Life Thru A Lens",75.108664,187.533311,74.509562,24.175297,0.000000,0.716039,0.599102,75.502527,98.684859,98.684859,74.509562,0.000000,24.175297,0.000000,10,10
"1997-Life Thru a Lens/03-Ego A Go Go",62.156452,214.959977,61.750797,32.796118,0.000000,5.047430,0.405655,65.312334,94.546915,94.546915,61.750797,0.000000,32.796118,0.000000,6,9
"1997-Life Thru a Lens/04-Angels",91.527806,264.999977,91.382382,7.765857,0.000000,0.706336,0.145424,92.167428,99.148240,99.148240,91.382382,0.000000,7.765857,-0.000000,6,7
"1997-Life Thru a Lens/05-South Of The Border",74.582391,233.373311,73.621195,24.084154,1.173511,0.159943,0.961196,74.455950,98.878861,97.705349,73.621195,0.000000,24.084154,-0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",76.045292,233.626644,75.985658,23.810681,0.133777,0.010249,0.059633,76.038796,99.930117,99.796340,75.985658,0.000000,23.810681,0.000000,9,10
"1997-Life Thru a Lens/07-One Of God's Better People",80.742016,213.733311,80.560310,19.018308,0.000000,0.239676,0.181707,80.901213,99.578617,99.578617,80.560310,0.000000,19.018308,0.000000,7,8
"1997-Life Thru a Lens/08-Let Me Entertain You",81.558091,261.999977,81.540366,14.960431,0.118736,3.362743,0.017725,84.393252,96.619532,96.500796,81.540366,0.000000,14.960431,-0.000000,3,5
"1997-Life Thru a Lens/09-Killing Me",73.094179,236.266644,72.807645,26.084724,0.000000,0.821097,0.286534,73.623117,98.892369,98.892369,72.807645,0.000000,26.084724,-0.000000,8,6
"1997-Life Thru a Lens/10-Clean",65.385509,235.439977,65.133490,17.382913,0.000000,17.231578,0.252020,78.933991,82.516402,82.516402,65.133490,0.000000,17.382913,-0.000000,6,9
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",84.062956,199.999977,83.885553,12.411624,0.000000,3.525419,0.177403,87.111123,96.297177,96.297177,83.885553,0.000000,12.411624,0.000000,6,7
