MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",91.904230,234.666644,90.228132,6.739429,0.305340,1.051001,1.676098,92.757727,97.272901,96.967561,90.228132,0.000000,6.739429,-0.000000,8,7
"1997-Life Thru a Lens/02-Life Thru A Lens",75.203653,187.533311,74.757909,23.926950,0.000000,0.869397,0.445744,75.754183,98.684859,98.684859,74.757909,0.000000,23.926950,0.000000,10,9
"1997-Life Thru a Lens/03-Ego A Go Go",67.424256,214.959977,64.836600,29.710315,0.000000,2.865428,2.587657,68.576113,94.546915,94.546915,64.836600,0.000000,29.710315,0.000000,6,6
"1997-Life Thru a Lens/04-Angels",94.185333,264.999977,94.115235,5.033004,0.000000,0.781662,0.070098,94.923758,99.148240,99.148240,94.115235,0.000000,5.033004,-0.000000,6,7
"1997-Life Thru a Lens/05-South Of The Border",88.558938,233.373311,87.772911,11.105949,0.000000,0.335113,0.786027,88.768126,98.878861,98.878861,87.772911,0.000000,11.105949,-0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",78.960715,233.626644,78.920959,19.633016,1.376142,0.030127,0.039756,78.976150,99.930117,98.553975,78.920959,0.000000,19.633016,-0.000000,9,9
"1997-Life Thru a Lens/07-One Of God's Better People",93.813099,213.733311,93.737051,5.841566,0.000000,0.345335,0.076048,94.133714,99.578617,99.578617,93.737051,0.000000,5.841566,-0.000000,7,7
"1997-Life Thru a Lens/08-Let Me Entertain You",81.155977,261.999977,80.881238,15.114392,0.623903,3.105728,0.274740,83.711063,96.619532,95.995629,80.881238,0.000000,15.114392,0.000000,3,4
"1997-Life Thru a Lens/09-Killing Me",72.236967,236.266644,71.480221,27.412148,0.000000,0.350886,0.756745,72.280826,98.892369,98.892369,71.480221,0.000000,27.412148,0.000000,8,6
"1997-Life Thru a Lens/10-Clean",76.245113,235.439977,74.661673,7.854729,0.000000,15.900158,1.583439,90.481008,82.516402,82.516402,74.661673,0.000000,7.854729,0.000000,6,6
