MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",85.194361,234.666644,83.058983,13.295329,0.918590,0.591721,2.135378,86.605446,91.388711,-nan,0.000000,-nan,0.000000,66.472722,5.884190,-nan,0.000000,83.058983,6.960518,3.593161,2.741650,0.000000,83.058983,6.511809,5.369153,1.414367,8,17
"1997-Life Thru a Lens/02-Life Thru A Lens",72.305021,177.604423,70.916358,26.362251,1.332728,0.000000,1.388663,86.765742,79.215062,0.000000,1.573537,-nan,0.000000,12.258623,17.822738,-nan,0.000000,70.916358,19.402582,2.673410,4.106670,0.179588,70.916358,2.309356,6.104830,17.948064,11,18
"1997-Life Thru a Lens/03-Ego A Go Go",63.474579,214.959977,60.887218,33.241858,0.417839,2.865724,2.587361,65.928054,88.748018,-nan,0.000000,-nan,0.000000,48.422610,4.909642,0.000000,0.889255,60.887218,5.511895,10.668823,16.782019,0.000000,60.887218,5.896378,24.800145,2.545335,8,18
"1997-Life Thru a Lens/04-Angels",89.211122,264.999977,88.359362,9.187816,1.601061,0.000000,0.851760,93.956039,76.259811,-nan,0.000000,-nan,0.000000,73.000488,22.888428,-nan,0.000000,88.359362,6.533488,2.131716,0.503889,0.018723,88.359362,3.332871,2.222000,3.632945,7,16
"1997-Life Thru a Lens/05-South Of The Border",75.148146,233.373311,74.029290,23.623124,1.226447,0.002283,1.118856,84.573291,80.856700,-nan,0.000000,-nan,0.000000,31.328749,18.022160,-nan,0.000000,74.029290,10.854457,9.418988,2.706931,0.085700,74.029290,11.112926,6.884000,5.626198,8,22
"1997-Life Thru a Lens/06-Old Before I Die",72.570798,221.530951,72.497100,25.098431,2.330771,0.000000,0.073699,92.587684,55.152727,-nan,0.000000,-nan,0.000000,47.868564,44.773574,-nan,0.000000,72.497100,8.822034,14.495684,1.780712,0.000000,72.497100,4.866014,3.937031,16.295385,14,22
"1997-Life Thru a Lens/07-One Of God's Better People",79.636818,201.779183,79.190471,17.819472,2.543709,0.000000,0.446347,75.652088,42.929408,22.945500,1.953967,-nan,0.000000,85.215126,54.292157,0.000000,0.378121,79.190471,11.387203,3.894774,2.507591,0.029904,79.190471,9.127218,4.647702,4.044553,11,22
"1997-Life Thru a Lens/08-Let Me Entertain You",69.263659,261.999977,66.782743,26.172676,3.664114,0.899552,2.480916,76.479709,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.871240,10.216564,66.782743,10.002260,13.325286,2.691999,0.000459,66.782743,13.352748,8.566859,4.253069,4,13
"1997-Life Thru a Lens/09-Killing Me",53.610129,220.898367,52.429627,42.420540,3.965142,0.004188,1.180502,84.159382,47.624357,-nan,0.000000,-nan,0.000000,19.657460,42.567322,46.170901,8.623630,52.429627,21.711939,20.008431,0.650261,0.018026,52.429627,15.172593,2.769405,24.478542,11,17
"1997-Life Thru a Lens/10-Clean",72.472562,224.099635,65.510452,15.836554,0.284656,11.406228,6.962110,82.063596,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,65.510452,5.160504,8.067334,2.602797,0.005919,65.510452,3.941132,8.311658,3.583764,8,25
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",76.373279,127.814763,70.579233,21.049295,2.577427,0.000000,5.794045,93.382879,59.316709,63.796096,17.492649,-nan,0.000000,29.838519,8.779483,16.342919,8.617114,70.579233,15.032668,5.504759,0.405758,0.106110,70.579233,19.189477,0.988197,0.871621,6,15
"1998-I've Been Expecting You/01-Strong",77.264533,279.313356,76.007043,21.533175,1.105448,0.092063,1.262271,81.787677,81.479080,-nan,0.000000,-nan,0.000000,54.566450,17.166587,-nan,0.000000,76.007043,18.609558,1.668003,0.897593,0.000000,76.007043,18.652041,2.076829,0.804304,10,19
"1998-I've Been Expecting You/02-No Regrets",58.888067,296.426122,58.308265,40.977512,0.128630,0.005791,0.579802,77.101602,43.872315,-nan,0.000000,-nan,0.000000,39.472024,42.846389,59.623878,12.695703,58.308265,31.555685,4.678678,2.516625,1.551820,58.308265,32.457793,2.853479,5.666240,9,28
"1998-I've Been Expecting You/03-Millennium",46.554661,247.573311,43.303896,49.315135,4.130204,0.000000,3.250765,77.461018,48.708099,-nan,0.000000,-nan,0.000000,11.602778,48.041136,-nan,0.000000,43.303896,32.150536,14.142016,2.982191,0.040392,43.303896,30.823139,7.381225,11.110771,2,17
"1998-I've Been Expecting You/04-Phoenix From The Flames",62.551796,216.007621,62.551796,33.816708,3.506311,0.000000,0.125184,84.157515,58.903094,-nan,0.000000,37.113804,11.186481,30.387828,29.053365,0.000000,0.731876,62.551796,15.676622,16.136283,1.458387,0.000000,62.551796,15.186098,6.616642,12.013969,14,29
"1998-I've Been Expecting You/05-Win Some Lose Some",83.739224,258.733311,81.472740,15.847547,0.413229,0.000000,2.266484,89.001831,88.221975,-nan,0.000000,0.000000,1.232816,35.676585,8.278725,-nan,0.000000,81.472740,9.420350,5.136266,1.129443,0.045538,81.472740,9.112580,5.126372,1.608595,7,20
"1998-I've Been Expecting You/06-Grace",52.594985,193.632744,48.307594,45.736417,1.668598,0.000000,4.287391,66.567805,35.619679,68.330451,23.601064,0.000000,7.792811,17.921731,3.169815,30.951004,25.529241,48.307594,25.270645,11.450716,8.029683,0.055778,48.307594,30.104198,9.934978,5.697241,11,28
"1998-I've Been Expecting You/07-It's Only Us",79.410507,159.580000,78.117160,18.979399,1.610094,0.000000,1.293347,86.090212,74.342555,22.320597,3.649716,90.952033,5.216187,55.210495,15.498195,-nan,0.000000,78.117160,11.460669,5.819229,1.699501,0.000000,78.117160,9.046976,5.957262,3.975160,11,16
