MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",86.960699,234.666644,85.292380,11.667403,0.313119,1.058780,1.668319,-nan,0.000000,50.025284,4.719437,-nan,0.000000,90.324842,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.984238,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.594357,2.981718,3.782806,2.600901,0.000000,85.292380,5.223476,5.063148,1.380779,9,12
"1997-Life Thru a Lens/02-Life Thru A Lens",71.818821,177.604423,71.295862,27.315475,0.000000,0.865704,0.522959,-nan,0.000000,0.000000,2.395385,-nan,0.000000,89.166036,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.703540,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.664662,20.514891,1.501016,0.908948,0.021820,71.295862,7.339376,1.893376,18.082724,12,13
"1997-Life Thru a Lens/03-Ego A Go Go",54.829707,214.959977,52.328466,42.218449,0.000000,2.951844,2.501241,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.255826,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.935036,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,53.126843,13.444416,10.307863,17.062883,0.000000,52.328466,13.466684,21.902501,6.849264,8,13
"1997-Life Thru a Lens/04-Angels",87.001642,264.999977,86.931544,12.216696,0.000000,0.781662,0.070098,-nan,0.000000,-nan,0.000000,86.156273,4.859300,90.932682,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.849612,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.374586,5.559920,0.825704,0.388029,0.000000,86.931544,7.820204,0.558396,3.838095,8,12
"1997-Life Thru a Lens/05-South Of The Border",77.618189,233.373311,76.812263,22.066597,0.000000,0.315213,0.805926,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.316843,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.948231,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.826615,12.268869,7.435596,2.347780,0.000000,76.812263,12.178807,3.256594,6.631196,8,17
"1997-Life Thru a Lens/06-Old Before I Die",70.486919,221.530951,70.444993,27.998584,1.482725,0.031772,0.041926,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.875436,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.235366,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.444993,12.969230,14.239602,0.789752,0.000000,70.444993,9.042444,1.196476,17.759664,14,16
"1997-Life Thru a Lens/07-One Of God's Better People",79.862960,201.779183,79.782407,19.771247,0.000000,0.365794,0.080553,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.515238,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,74.973361,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,79.782407,15.036509,2.931933,1.563291,0.239513,79.782407,14.169887,1.183485,4.417875,12,14
"1997-Life Thru a Lens/08-Let Me Entertain You",68.916340,261.999977,68.641600,27.354029,0.623903,3.105728,0.274740,-nan,0.000000,33.517387,10.294924,33.150257,2.198318,87.217564,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,70.833781,7.998477,11.468394,5.694977,0.000000,68.641600,12.970887,3.386577,10.996566,8,8
"1997-Life Thru a Lens/09-Killing Me",54.499005,220.898367,53.647565,45.167744,0.000000,0.333251,0.851440,-nan,0.000000,99.018762,5.396033,99.447104,4.084578,93.688520,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.953601,6.861889,0.000000,6.954482,24.364827,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,11.873258,8.623630,53.647565,26.238742,18.820928,0.100888,0.007186,53.647565,19.562324,0.075440,25.529980,14,17
"1997-Life Thru a Lens/10-Clean",66.904510,224.099635,65.240942,16.390720,0.000000,16.704770,1.663568,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.725988,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.880643,6.168600,4.066725,1.089449,0.001427,65.240942,9.602163,3.618157,3.170399,8,16
