Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,85,0.895074,0.905155,0.895074,0.915466
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,67,0.799268,0.868769,0.799268,0.951507
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,129,0.856333,0.862554,0.868866,0.856333
"1997-Life Thru a Lens/04-Angels",264.999977,77,79,0.970225,0.971852,0.973484,0.970225
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,115,0.901904,0.915229,0.901904,0.928955
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,88,0.712662,0.818632,0.712662,0.961622
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,82,0.849418,0.906911,0.849418,0.972751
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,86,0.818727,0.880207,0.818727,0.951670
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,59,0.642818,0.775510,0.642818,0.977232
"1997-Life Thru a Lens/10-Clean",235.439977,105,135,0.764597,0.832002,0.912441,0.764597
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,67,0.969264,0.969264,0.969264,0.969264
"1998-I've Been Expecting You/01-Strong",279.313356,103,102,0.961214,0.962004,0.961214,0.962796
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,83,0.901264,0.936581,0.974779,0.901264
"1998-I've Been Expecting You/03-Millennium",247.573311,93,126,0.802847,0.858075,0.921462,0.802847
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,101,0.769405,0.852722,0.769405,0.956275
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,86,0.940592,0.944660,0.940592,0.948764
"1998-I've Been Expecting You/06-Grace",193.632744,68,73,0.925409,0.931122,0.936906,0.925409
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,61,0.843894,0.892082,0.843894,0.946106
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,96,0.884364,0.926674,0.884364,0.973236
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,84,0.710616,0.797136,0.710616,0.907646
"1998-I've Been Expecting You/10-She's The One",258.035465,88,77,0.892862,0.927372,0.892862,0.964658
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,135,0.656951,0.773240,0.656951,0.939553
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,123,0.807050,0.881134,0.807050,0.970194
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,50,0.830986,0.869325,0.830986,0.911374
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,103,0.944329,0.955020,0.944329,0.965956
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,107,0.908003,0.928414,0.908003,0.949765
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,67,0.941667,0.948716,0.941667,0.955871
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,100,0.809734,0.844942,0.809734,0.883351
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,92,0.941450,0.947666,0.941450,0.953966
"2000-Sing When You 're Winning/05-Kids",286.706644,128,137,0.900695,0.906518,0.912416,0.900695
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,72,0.893179,0.901819,0.910628,0.893179
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,102,0.903487,0.929655,0.903487,0.957384
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,85,0.888909,0.926030,0.966386,0.888909
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,159,0.842038,0.878401,0.842038,0.918046
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,81,0.906386,0.914912,0.923600,0.906386
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,118,0.932981,0.933600,0.932981,0.934220
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,78,0.885713,0.922254,0.885713,0.961940
