Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,139,0.831210,0.878479,0.931448,0.831210
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,107,0.829210,0.844556,0.829210,0.860481
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,263,0.701883,0.794047,0.914074,0.701883
"1997-Life Thru a Lens/04-Angels",264.999977,77,124,0.914304,0.941755,0.970906,0.914304
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,224,0.765666,0.836580,0.921970,0.765666
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,158,0.791458,0.837554,0.791458,0.889352
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,204,0.800396,0.851767,0.910186,0.800396
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,182,0.804921,0.830804,0.858407,0.804921
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,175,0.819270,0.821364,0.819270,0.823470
"1997-Life Thru a Lens/10-Clean",235.439977,105,245,0.681227,0.785227,0.926705,0.681227
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,108,0.883484,0.920960,0.961757,0.883484
"1998-I've Been Expecting You/01-Strong",279.313356,103,227,0.829761,0.894659,0.970570,0.829761
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,267,0.664086,0.789439,0.973126,0.664086
"1998-I've Been Expecting You/03-Millennium",247.573311,93,270,0.675432,0.779850,0.922456,0.675432
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,305,0.722187,0.804356,0.907623,0.722187
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,154,0.876179,0.916484,0.960676,0.876179
"1998-I've Been Expecting You/06-Grace",193.632744,68,204,0.734861,0.832430,0.959874,0.734861
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,107,0.853810,0.879439,0.906654,0.853810
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,171,0.845357,0.874537,0.905804,0.845357
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,254,0.753339,0.809457,0.874609,0.753339
"1998-I've Been Expecting You/10-She's The One",258.035465,88,140,0.888405,0.897663,0.907116,0.888405
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,254,0.748475,0.755283,0.748475,0.762215
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,287,0.825020,0.850495,0.877594,0.825020
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,95,0.702561,0.763821,0.702561,0.836786
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,220,0.833493,0.883009,0.938779,0.833493
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,198,0.826523,0.869243,0.916620,0.826523
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,101,0.891993,0.906312,0.921098,0.891993
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,209,0.639390,0.695635,0.762729,0.639390
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,197,0.840578,0.890393,0.946484,0.840578
"2000-Sing When You 're Winning/05-Kids",286.706644,128,216,0.809753,0.847273,0.888438,0.809753
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,176,0.762385,0.835704,0.924625,0.762385
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,207,0.821917,0.868828,0.921418,0.821917
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,227,0.741488,0.838619,0.965033,0.741488
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,249,0.812116,0.841728,0.873582,0.812116
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,126,0.814768,0.862021,0.915094,0.814768
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,276,0.753796,0.829376,0.921801,0.753796
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,166,0.837666,0.887180,0.942915,0.837666
"2002-Escapology/01-How Peculiar",193.422426,94,150,0.748971,0.809812,0.881411,0.748971
"2002-Escapology/02-Feel",263.899615,118,227,0.811151,0.853106,0.899636,0.811151
"2002-Escapology/03-Something Beautiful",288.766259,122,264,0.814742,0.873939,0.942412,0.814742
"2002-Escapology/04-Monsoon",226.632676,48,105,0.826069,0.892200,0.969842,0.826069
"2002-Escapology/05-Sexed Up",261.666644,115,165,0.888911,0.917083,0.947099,0.888911
"2002-Escapology/06-Love Somebody",250.097370,112,269,0.749533,0.813974,0.890538,0.749533
"2002-Escapology/07-Revolution",344.554989,174,314,0.780109,0.832196,0.891736,0.780109
"2002-Escapology/08-Handsome Man",236.533311,139,244,0.789608,0.863041,0.951531,0.789608
"2002-Escapology/09-Come Undone",278.439977,84,92,0.958519,0.961835,0.958519,0.965174
"2002-Escapology/10-Me and My Monkey",432.734966,111,409,0.657627,0.786290,0.977543,0.657627
"2002-Escapology/11-Song 3",230.804376,154,200,0.827347,0.837709,0.827347,0.848333
"2002-Escapology/12-Hot Fudge",248.113356,145,278,0.753921,0.836177,0.938580,0.753921
"2002-Escapology/13-Cursed",241.828481,93,233,0.722024,0.819144,0.946452,0.722024
"2002-Escapology/14a-Nan's Song",231.766349,103,226,0.768881,0.843702,0.934655,0.768881
"2002-Escapology/14b-How Peculiar (Reprise)",133.765760,38,78,0.809451,0.854077,0.903910,0.809451
"2002-Escapology/14c-I Tried Love",211.009864,71,119,0.857627,0.875104,0.893308,0.857627
