MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",76.273462,107.247000,75.822168,22.350276,1.376262,0.000000,0.451295,72.998434,40.482251,78.336780,59.066454,75.822168,12.939290,0.914711,8.496275,75.822168,2.864416,4.549311,14.936548,3,7
"a_ha/Hunting_High_and_Low/01-Take_On_Me",78.572368,228.000000,75.265789,17.673246,1.250439,2.503947,3.306579,88.219362,52.792544,69.310802,41.396930,75.265789,8.234211,5.081140,4.357895,75.265789,1.276316,4.786842,11.610088,8,7
"abba/Arrival/02-Dancing_Queen",91.937391,230.000000,90.293913,8.026087,0.017391,0.019130,1.643478,91.093812,82.658696,95.651812,15.678696,90.293913,0.169565,6.717826,1.138696,90.293913,0.000000,6.101304,1.924783,7,7
"abba/Live/03-I_Have_A_Dream",97.983301,250.310000,95.741680,1.639167,0.179378,0.198154,2.241620,98.135977,97.560225,-nan,0.000000,95.741680,0.000000,1.551276,0.087891,95.741680,0.000000,1.639167,0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",77.733845,209.412000,73.971406,18.630737,3.635417,0.000000,3.762440,80.471163,57.040189,71.613225,39.197372,73.971406,8.092182,5.843505,4.695051,73.971406,6.656257,5.953814,6.020667,11,14
"abba/Live/08-Fernando",85.916358,324.000000,78.347531,2.177778,11.678086,0.227778,7.568827,84.508220,81.927160,88.673975,10.276235,78.347531,0.099383,1.607099,0.471296,78.347531,0.000000,2.013889,0.163889,7,8
"abba/Live/10-Super_Trouper",89.845627,263.000000,86.472243,5.858555,4.295817,0.000000,3.373384,92.049729,75.603042,80.290096,21.023574,86.472243,1.319392,4.382129,0.157034,86.472243,0.007605,3.609125,2.241825,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",67.002599,56.559000,47.589243,15.951484,0.000000,17.045917,19.413356,28.138055,17.776128,93.057487,45.764600,47.589243,3.177213,11.343906,1.430365,47.589243,3.177213,12.544423,0.229848,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",50.470732,106.961000,46.712353,46.976001,0.000000,2.553267,3.758379,49.859295,93.688354,-nan,0.000000,46.712353,0.000000,33.201821,13.774179,46.712353,0.000000,42.760445,4.215555,2,5
"aerosmith/Nine_Lives/02-Falling_In_Love",21.060007,72.075000,5.645508,35.825182,0.000000,43.114811,15.414499,-nan,0.000000,13.613249,41.470690,5.645508,27.206382,6.887270,1.731530,5.645508,0.087409,0.584114,35.153659,2,6
"alanis_morissette/MTV_Unplugged/08-Ironic",80.266970,243.698000,68.949273,17.829445,0.118589,1.784996,11.317696,77.459997,67.548359,85.928785,19.348948,68.949273,1.743141,11.056307,5.029996,68.949273,0.000000,12.615204,5.214241,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",78.754221,92.103000,38.058478,3.422256,3.517801,14.305723,40.695743,81.197071,24.615919,88.659245,20.382615,38.058478,1.498323,1.923933,0.000000,38.058478,0.000000,1.110713,2.311543,3,4
"all_saints/All_Saints/01-Never_Ever",86.028165,387.000000,84.932558,13.787855,0.000000,0.183979,1.095607,92.324622,87.352713,37.690087,11.367700,84.932558,5.719380,6.782429,1.286047,84.932558,4.685271,4.045995,5.056589,7,9
"aqua/Aquarium/05-Doctor_Jones",77.241223,189.294000,73.588175,22.523693,0.235084,0.000000,3.653048,80.145377,83.360804,52.196729,12.986149,73.588175,5.872347,8.529061,8.122286,73.588175,0.000000,13.579934,8.943759,4,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",91.173762,208.492000,89.595764,8.734148,0.000000,0.092090,1.577998,90.188638,61.429695,92.663842,36.900217,89.595764,2.476354,3.668246,2.589548,89.595764,0.000000,4.555570,4.178578,9,10
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",93.807544,232.864000,92.560464,5.940807,0.251649,0.000000,1.247080,91.220611,61.005565,97.783845,37.747355,92.560464,1.191683,1.797186,2.951938,92.560464,0.298457,3.493885,2.148464,10,10
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",75.751631,218.691000,74.060204,23.570700,0.302253,0.375416,1.691428,75.432641,77.181503,76.332026,20.751654,74.060204,3.833262,9.472726,10.264711,74.060204,0.138094,15.773397,7.659209,12,14
"beach_boys/Pet_Sounds/08-God_Only_Knows",83.606721,160.761000,81.716959,10.879504,0.001244,5.512531,1.889762,87.147372,63.570767,90.663038,29.026941,81.716959,1.019526,8.651352,1.208626,81.716959,0.342745,8.009405,2.527354,10,10
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",95.656349,126.000000,93.383333,3.664286,0.679365,0.000000,2.273016,95.555321,97.726984,-nan,0.000000,93.383333,0.930159,2.273016,0.461111,93.383333,0.930159,2.434127,0.300000,4,5
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",86.512810,130.598000,83.077076,12.164811,1.322379,0.000000,3.435734,86.032939,96.564266,-nan,0.000000,83.077076,0.000000,1.998499,10.166312,83.077076,0.000000,12.164811,0.000000,3,3
"beck/Mellow_Gold/01-Loser",85.821794,183.507000,80.685750,9.207823,3.433112,1.537271,5.136044,86.455177,93.326685,-nan,0.000000,80.685750,0.000000,6.906004,2.301820,80.685750,0.000000,9.156599,0.051224,1,10
"bette_midler/The_Rose/12-The_Rose",92.514066,181.821000,90.064954,7.449635,0.000000,0.036299,2.449112,94.642890,89.473163,66.965324,8.041425,90.064954,3.631594,1.559776,2.258265,90.064954,0.000000,3.303249,4.146386,5,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",78.463087,298.000000,74.654362,6.112752,0.000000,15.424161,3.808725,90.724126,59.094631,97.087514,21.672483,74.654362,4.168121,0.643960,1.300671,74.654362,0.469799,1.638926,4.004027,7,9
"billy_joel/Piano_Man/02-Piano_Man",82.375444,338.000000,82.292604,16.052663,1.562130,0.009763,0.082840,83.144839,92.579586,72.565407,7.327811,82.292604,3.753846,6.661243,5.637574,82.292604,0.000000,10.452367,5.600296,7,8
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",70.103103,290.000000,69.252069,28.820690,0.069655,1.006552,0.851034,76.543174,58.852069,61.605027,39.290345,69.252069,7.722069,10.825517,10.273103,69.252069,3.471034,13.790345,11.559310,12,12
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",86.984255,235.000000,85.354468,12.508511,0.000000,0.507234,1.629787,88.824367,91.159574,65.378023,6.703404,85.354468,2.795319,4.849362,4.863830,85.354468,0.020000,8.361702,4.126809,6,7
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",84.167459,191.378000,82.131697,15.567098,0.252903,0.012541,2.035762,87.661814,82.303609,63.796040,15.648089,82.131697,6.461558,8.067803,1.037737,82.131697,1.050800,7.887531,6.628766,14,13
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",43.532432,174.486000,37.629380,55.490985,0.579989,0.396593,5.903052,78.990789,45.294178,3.824205,48.406176,37.629380,48.304735,6.418853,0.767397,37.629380,48.304735,5.887005,1.299245,4,5
"black_sabbath/Paranoid/04-Iron_Man",11.979508,209.249000,0.744090,5.092975,0.007168,82.920348,11.235418,12.732030,5.844233,-nan,0.000000,0.744090,0.000000,4.369913,0.723062,0.744090,0.000000,5.092975,0.000000,1,6
"blessid_union_of_souls/The_Singles/14-I_Believe",94.280080,234.269000,93.968472,5.657599,0.029453,0.032868,0.311608,95.996560,76.438197,88.685628,23.217327,93.968472,2.146251,1.134593,2.376755,93.968472,0.559186,2.332362,2.766051,4,5
"blink_182/Enema_Of_The_State/10-Mutt",87.747294,32.148000,82.527684,7.960060,4.292647,0.000000,5.219609,87.072530,94.780391,-nan,0.000000,82.527684,0.687446,7.272614,0.000000,82.527684,0.000000,7.272614,0.687446,2,3
"blondie/Parallel_Lines/02-One_Way_or_Another",89.345682,137.456000,85.653591,9.388459,0.000000,1.265860,3.692091,90.076952,92.838436,92.010565,2.203614,85.653591,6.428239,2.928937,0.031283,85.653591,6.041206,2.870737,0.476516,6,9
"bob_marley/Exodus/01-Natural_Mystic",91.528564,207.273000,90.037776,7.723630,0.054517,0.693289,1.490788,90.632184,9.234198,92.195789,88.581726,90.037776,0.217105,6.443676,1.062849,90.037776,0.217105,5.543896,1.962629,3,6
"bob_marley/Exodus/06-Jamming",79.171090,211.000000,77.412796,14.682938,2.146919,3.999052,1.758294,81.455110,40.002844,82.648585,54.239810,77.412796,1.596682,8.367299,4.718957,77.412796,1.169194,2.539810,10.973934,5,6
"bob_marley/Live_/05-No_Woman_No_Cry",64.344524,420.000000,64.096905,33.434524,2.007143,0.213810,0.247619,60.763879,87.068095,89.739575,12.470476,64.096905,6.140952,26.654762,0.638810,64.096905,0.352381,26.450238,6.631905,4,7
