MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.513682,107.247000,91.145616,8.403089,0.000000,0.083229,0.368066,87.215968,40.482251,94.535264,59.066454,91.145616,4.682426,0.095898,3.624765,91.145616,0.000000,2.399515,6.003574,3,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",83.640759,228.000000,80.394658,13.515754,0.279062,2.564426,3.246100,91.055539,52.792544,78.083382,41.396930,80.394658,6.615003,4.097931,2.802820,80.394658,1.837931,2.725659,8.952163,8,7
"abba/Arrival/02-Dancing_Queen",90.401639,230.000000,89.068995,9.154603,0.113793,0.329965,1.332643,89.778648,82.658696,94.772784,15.678696,89.068995,0.261530,7.630747,1.262326,89.068995,0.000000,6.894395,2.260208,7,7
"abba/Live/03-I_Have_A_Dream",94.812237,250.310000,93.815413,2.671052,1.073761,1.442951,0.996824,96.161538,97.560225,-nan,0.000000,93.815413,0.000000,2.514502,0.156550,93.815413,0.000000,2.671052,0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",81.244649,209.412000,78.211559,17.998189,0.027812,0.729349,3.033090,85.960716,57.040189,74.442248,39.197372,78.211559,7.978319,4.086033,5.933836,78.211559,6.587257,6.659409,4.751524,11,11
"abba/Live/08-Fernando",91.515736,324.000000,89.738406,2.464989,0.000000,6.019275,1.777330,97.671019,81.927160,94.580495,10.276235,89.738406,0.113310,2.042752,0.308927,89.738406,0.000000,2.275660,0.189329,7,7
"abba/Live/10-Super_Trouper",93.933006,263.000000,90.559622,5.869407,0.197588,0.000000,3.373384,95.422022,75.603042,87.604850,21.023574,90.559622,0.841256,4.744727,0.283423,90.559622,0.000000,4.157092,1.712315,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",49.882368,56.559000,49.184443,14.356285,0.000000,35.761348,0.697925,48.680143,17.776128,88.564084,45.764600,49.184443,0.677638,12.131950,1.546696,49.184443,0.677638,13.450975,0.227671,3,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",47.298902,106.961000,46.799600,46.888754,0.000000,5.812344,0.499303,49.952420,93.688354,-nan,0.000000,46.799600,0.000000,33.101032,13.787722,46.799600,0.000000,46.888754,0.000000,2,4
"aerosmith/Nine_Lives/02-Falling_In_Love",17.545936,72.075000,5.734984,35.735706,0.000000,46.718358,11.810952,-nan,0.000000,13.829006,41.470690,5.734984,29.922018,4.131993,1.681695,5.734984,0.137244,0.000000,35.598462,2,5
