MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",76.273462,107.247000,75.822168,22.350276,1.376262,0.000000,0.451295,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.998434,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.336780,59.066454,75.822168,12.939290,0.914711,8.496275,75.822168,2.864416,4.549311,14.936548,3,7
"a_ha/Hunting_High_and_Low/01-Take_On_Me",72.289474,228.000000,68.982895,23.956140,1.250439,2.503947,3.306579,-nan,0.000000,-nan,0.000000,0.000000,1.248684,89.160143,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,74.817232,30.776754,75.265789,8.234211,5.081140,4.357895,68.982895,7.559211,3.833772,12.563158,11,7
"abba/Arrival/02-Dancing_Queen",62.576522,230.000000,60.933043,37.386957,0.017391,0.019130,1.643478,-nan,0.000000,0.000000,29.204348,0.000000,5.118696,95.035620,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.651812,15.678696,90.293913,0.169565,6.717826,1.138696,60.933043,29.360870,1.366087,6.660000,12,7
"abba/Live/03-I_Have_A_Dream",97.644121,250.310000,95.402501,1.978347,0.179378,0.198154,2.241620,-nan,0.000000,0.000000,0.339179,-nan,0.000000,98.129474,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.741680,0.000000,1.551276,0.087891,95.402501,0.339179,1.639167,0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",74.238821,209.412000,70.476381,22.125762,3.635417,0.000000,3.762440,-nan,0.000000,-nan,0.000000,0.000000,4.446259,80.628847,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.613225,39.197372,73.971406,8.092182,5.843505,4.695051,70.476381,10.151281,5.869291,6.105190,13,14
"abba/Live/08-Fernando",85.916358,324.000000,78.347531,2.177778,11.678086,0.227778,7.568827,-nan,0.000000,-nan,0.000000,0.000000,0.317593,84.837093,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.673975,10.276235,78.347531,0.099383,1.607099,0.471296,78.347531,0.000000,1.696296,0.481481,8,8
"abba/Live/10-Super_Trouper",86.119392,263.000000,82.746008,9.584791,4.295817,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,94.245019,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,83.395638,20.240684,86.472243,1.319392,4.382129,0.157034,82.746008,3.733840,2.155133,3.695817,10,7
"ac_dc/Back_In_Black/01-Hells_Bells",67.002599,56.559000,47.589243,15.951484,0.000000,17.045917,19.413356,-nan,0.000000,-nan,0.000000,0.000000,12.360544,92.360431,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.057487,45.764600,47.589243,3.177213,11.343906,1.430365,47.589243,3.177213,0.413727,12.360544,4,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",41.497368,106.961000,37.738989,55.949365,0.000000,2.553267,3.758379,-nan,0.000000,0.000000,29.293855,-nan,0.000000,58.605921,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.712353,0.000000,33.201821,13.774179,37.738989,8.973364,25.711241,21.264760,2,5
"aerosmith/Nine_Lives/02-Falling_In_Love",15.414499,72.075000,0.000000,41.470690,0.000000,43.114811,15.414499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,5.645508,27.206382,6.887270,1.731530,0.000000,5.732917,0.000000,35.737773,2,6
"alanis_morissette/MTV_Unplugged/08-Ironic",66.832309,243.698000,55.514612,31.264106,0.118589,1.784996,11.317696,-nan,0.000000,0.000000,1.075922,0.000000,15.558601,76.380605,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.928785,19.348948,68.949273,1.743141,11.056307,5.029996,55.514612,13.434661,10.307430,7.522015,9,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",78.754221,92.103000,38.058478,3.422256,3.517801,14.305723,40.695743,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.197071,24.615919,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.659245,20.382615,38.058478,1.498323,1.923933,0.000000,38.058478,0.000000,1.110713,2.311543,3,4
"all_saints/All_Saints/01-Never_Ever",84.940568,387.000000,83.844961,14.875452,0.000000,0.183979,1.095607,-nan,0.000000,-nan,0.000000,0.000000,1.399483,92.562508,85.953230,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.690087,11.367700,84.932558,5.719380,6.782429,1.286047,83.844961,5.772868,4.045220,5.057364,8,9
"aqua/Aquarium/05-Doctor_Jones",66.562596,189.294000,62.909548,33.202320,0.235084,0.000000,3.653048,-nan,0.000000,0.000000,9.043076,0.000000,7.505256,84.337245,66.812472,-nan,0.000000,0.000000,2.214545,-nan,0.000000,60.917116,10.771604,73.588175,5.872347,8.529061,8.122286,62.909548,10.678627,9.419210,13.104483,8,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",91.173762,208.492000,89.595764,8.734148,0.000000,0.092090,1.577998,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.188638,61.429695,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.663842,36.900217,89.595764,2.476354,3.668246,2.589548,89.595764,0.000000,4.555570,4.178578,9,10
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",93.517246,232.864000,92.270166,6.231105,0.251649,0.000000,1.247080,-nan,0.000000,0.000000,0.319929,0.000000,0.304040,91.682491,60.381596,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.783845,37.747355,92.560464,1.191683,1.797186,2.951938,92.270166,0.588756,3.445359,2.196991,12,10
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",69.284058,218.691000,67.592631,30.038273,0.302253,0.375416,1.691428,-nan,0.000000,0.000000,1.811689,0.000000,9.673923,78.775814,65.695891,-nan,0.000000,0.000000,0.493847,-nan,0.000000,78.192858,20.257807,74.060204,3.833262,9.472726,10.264711,67.592631,6.605667,11.123000,12.309606,19,14
"beach_boys/Pet_Sounds/08-God_Only_Knows",46.989631,160.761000,45.099869,47.496594,0.001244,5.512531,1.889762,-nan,0.000000,0.000000,15.921150,0.000000,26.455421,91.617751,21.194195,-nan,0.000000,0.000000,0.634482,-nan,0.000000,90.454386,28.392458,81.716959,1.019526,8.651352,1.208626,45.099869,36.959835,2.761864,7.774896,14,10
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",95.656349,126.000000,93.383333,3.664286,0.679365,0.000000,2.273016,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.555321,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.383333,0.930159,2.273016,0.461111,93.383333,0.930159,2.434127,0.300000,4,5
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",86.512810,130.598000,83.077076,12.164811,1.322379,0.000000,3.435734,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.032939,96.564266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.077076,0.000000,1.998499,10.166312,83.077076,0.000000,12.164811,0.000000,3,3
"beck/Mellow_Gold/01-Loser",85.821794,183.507000,80.685750,9.207823,3.433112,1.537271,5.136044,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.455177,93.326685,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.685750,0.000000,6.906004,2.301820,80.685750,0.000000,9.156599,0.051224,1,10
