MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.513682,107.247000,91.145616,8.403089,0.000000,0.083229,0.368066,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.215968,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.535264,59.066454,91.145616,4.682426,0.095898,3.624765,91.145616,0.000000,2.399515,6.003574,3,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",83.640759,228.000000,80.394658,13.515754,0.279062,2.564426,3.246100,-nan,0.000000,-nan,0.000000,100.000000,1.248684,90.838854,51.543860,-nan,0.000000,65.400710,10.005702,0.000000,0.614474,83.765567,30.776754,80.394658,6.615003,4.097931,2.802820,80.394658,1.837931,2.087600,9.590223,11,10
"abba/Arrival/02-Dancing_Queen",79.224562,230.000000,77.891919,20.331680,0.113793,0.329965,1.332643,-nan,0.000000,44.061752,29.204348,82.322690,5.118696,95.066446,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.772784,15.678696,89.068995,0.261530,7.630747,1.262326,77.891919,11.177077,0.542326,8.612277,12,11
"abba/Live/03-I_Have_A_Dream",94.473057,250.310000,93.476234,3.010231,1.073761,1.442951,0.996824,-nan,0.000000,0.000000,0.339179,-nan,0.000000,96.148147,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.815413,0.000000,2.514502,0.156550,93.476234,0.339179,2.671052,-0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",78.956076,209.412000,75.922986,20.286762,0.027812,0.729349,3.033090,-nan,0.000000,-nan,0.000000,89.327840,4.446259,83.745906,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.193488,39.197372,78.211559,7.978319,4.086033,5.933836,75.922986,8.875830,6.374996,5.035936,13,18
"abba/Live/08-Fernando",91.515736,324.000000,89.738406,2.464989,0.000000,6.019275,1.777330,-nan,0.000000,-nan,0.000000,0.000000,0.317593,98.051116,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.580495,10.276235,89.738406,0.113310,2.042752,0.308927,89.738406,0.000000,1.958067,0.506922,8,7
"abba/Live/10-Super_Trouper",92.736134,263.000000,89.362750,7.066279,0.197588,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,93.619662,3.101901,97.357032,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,90.993320,20.240684,90.559622,0.841256,4.744727,0.283423,89.362750,1.196872,2.870274,2.999133,10,9
"ac_dc/Back_In_Black/01-Hells_Bells",45.409163,56.559000,44.711238,18.829490,0.000000,35.761348,0.697925,-nan,0.000000,-nan,0.000000,26.195131,12.360544,100.000000,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.789706,45.764600,49.184443,0.677638,12.131950,1.546696,44.711238,5.150843,4.555963,9.122683,4,8
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",40.365542,106.961000,39.866240,53.822114,0.000000,5.812344,0.499303,-nan,0.000000,7.114275,29.293855,-nan,0.000000,58.673016,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.799600,0.000000,33.101032,13.787722,39.866240,6.933360,26.612304,20.276450,2,5
"aerosmith/Nine_Lives/02-Falling_In_Love",17.545936,72.075000,5.734984,35.735706,0.000000,46.718358,11.810952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.829006,41.470690,-nan,0.000000,5.734984,29.922018,4.131993,1.681695,5.734984,0.137244,0.000000,35.598462,2,5
"alanis_morissette/MTV_Unplugged/08-Ironic",84.909221,243.698000,76.088035,10.809272,0.000000,4.281507,8.821185,-nan,0.000000,39.435545,1.075922,83.957939,15.558601,87.409609,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.532079,19.348948,76.578425,0.481639,6.647324,3.189919,76.088035,0.490390,4.728349,5.590533,9,8
"alanis_morissette/MTV_Unplugged/12-Uninvited",80.456330,92.103000,41.542631,3.455904,0.000000,16.087766,38.913700,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.936347,24.615919,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.821714,20.382615,41.542631,0.000000,3.455904,0.000000,41.542631,0.000000,0.267164,3.188740,3,4
"all_saints/All_Saints/01-Never_Ever",95.904719,387.000000,94.958526,3.761888,0.000000,0.333393,0.946193,-nan,0.000000,-nan,0.000000,80.933122,1.399483,96.106316,85.953230,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.695402,11.367700,94.958526,0.210177,2.088449,1.463262,94.958526,0.000000,3.252410,0.509478,8,7
"aqua/Aquarium/05-Doctor_Jones",79.826832,189.294000,76.772656,19.408727,0.165569,0.598872,3.054176,-nan,0.000000,37.948411,9.043076,40.052642,7.505256,91.973085,66.812472,-nan,0.000000,0.000000,2.214545,-nan,0.000000,82.489182,10.771604,84.347830,4.197868,5.399373,2.236312,76.772656,7.575174,5.359085,6.474468,8,8
"backstreet_boys/Millennium/02-I_Want_It_That_Way",91.170482,208.492000,90.790211,7.539701,0.000000,1.289817,0.380271,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.993929,61.429695,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.230694,36.900217,92.744789,3.502674,0.738076,1.344373,90.790211,1.954578,1.316346,4.268777,9,11
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",94.413674,232.864000,93.685782,5.047170,0.019968,0.503179,0.743901,-nan,0.000000,0.000000,0.319929,0.000000,0.304040,94.096082,60.381596,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.673245,37.747355,94.297728,0.883590,2.048596,1.503039,93.685782,0.611945,2.125765,2.309460,12,11
