MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",80.237209,107.247000,79.785915,19.654629,0.108162,0.000000,0.451295,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.622904,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.417021,59.066454,80.969165,9.986293,1.806111,6.678975,79.785915,7.310228,5.988046,6.356355,3,14
"a_ha/Hunting_High_and_Low/01-Take_On_Me",71.409211,228.000000,66.855263,21.274123,6.060088,1.256579,4.553947,-nan,0.000000,-nan,0.000000,52.687039,1.248684,87.075391,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,69.257956,30.776754,72.116228,7.960088,5.039474,2.925877,66.855263,8.935088,4.174123,8.164912,11,18
"abba/Arrival/02-Dancing_Queen",71.310870,230.000000,69.648261,27.830000,0.859130,0.000000,1.662609,-nan,0.000000,26.718773,29.204348,33.848637,5.118696,94.819739,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.084551,15.678696,89.293043,0.926522,6.279565,0.979130,69.648261,20.430435,1.193478,6.206087,12,15
"abba/Live/03-I_Have_A_Dream",94.197195,250.310000,92.103392,4.118893,1.337941,0.345971,2.093804,-nan,0.000000,22.850412,0.339179,-nan,0.000000,94.656344,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.042987,0.000000,2.069034,0.110263,92.103392,1.939595,2.176901,0.002397,4,5
"abba/Live/06-Thank_You_for_The_Music",66.479953,209.412000,62.717514,27.498424,6.021622,0.000000,3.762440,-nan,0.000000,-nan,0.000000,71.904199,4.446259,74.623654,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.720189,39.197372,63.515462,14.558860,5.769965,5.484404,62.717514,12.661643,7.121846,7.714935,13,26
"abba/Live/08-Fernando",86.876235,324.000000,79.803395,4.843210,7.556790,0.723765,7.072840,-nan,0.000000,-nan,0.000000,0.000000,0.317593,89.087230,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.088452,10.276235,80.698457,1.588889,2.044136,0.284259,79.803395,2.269444,1.783333,0.790432,8,12
"abba/Live/10-Super_Trouper",86.674525,263.000000,83.301141,8.828137,4.497338,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,74.773229,3.101901,92.366952,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,81.163940,20.240684,84.021293,2.456274,5.336502,0.315209,83.301141,1.615209,3.342966,3.869962,10,18
"ac_dc/Back_In_Black/01-Hells_Bells",71.113351,56.559000,48.853410,14.687318,0.000000,14.199332,22.259941,-nan,0.000000,-nan,0.000000,2.860821,12.360544,87.202089,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.657549,45.764600,49.017840,2.222458,11.419933,0.880496,48.853410,2.337382,1.934263,10.415672,4,10
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",54.761081,106.961000,49.058068,44.630286,0.000000,0.608633,5.703013,-nan,0.000000,7.659656,29.293855,-nan,0.000000,72.699159,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.943026,0.311328,35.373641,4.060358,49.058068,5.196286,21.943512,17.490487,2,6
"aerosmith/Nine_Lives/02-Falling_In_Love",15.678113,72.075000,0.000000,41.470690,0.000000,42.851197,15.678113,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,7.123136,22.224072,11.279917,0.843566,0.000000,9.956296,0.000000,31.514395,2,8
