MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",89.226312,233.750000,89.067373,10.618558,0.107010,0.048120,0.158939,89.252177,99.792941,99.685931,89.067373,0.000000,10.618558,0.000000,5,7
"a_ha/Hunting_High_and_Low/01-Take_On_Me",77.561267,228.000000,75.137430,19.052044,0.000000,3.386689,2.423837,79.772640,94.189474,94.189474,75.137430,0.000000,19.052044,0.000000,7,7
"abba/Arrival/02-Dancing_Queen",88.196253,230.000000,88.176061,10.161330,0.000000,1.642417,0.020191,89.666871,98.337391,98.337391,88.176061,0.000000,10.161330,-0.000000,6,9
"abba/Live/03-I_Have_A_Dream",88.657855,263.000000,87.638498,9.324241,0.715207,1.302696,1.019357,89.721888,97.677947,96.962739,87.638498,0.000000,9.324241,-0.000000,3,4
"abba/Live/06-Thank_You_for_The_Music",71.320214,219.000000,68.032554,28.078516,0.291213,0.310057,3.287660,70.571517,96.402283,96.111070,68.032554,0.000000,28.078516,-0.000000,8,9
"abba/Live/08-Fernando",88.575331,324.000000,85.927141,6.276254,0.000000,5.148415,2.648190,93.193034,92.203395,92.203395,85.927141,0.000000,6.276254,-0.000000,5,7
"abba/Live/10-Super_Trouper",86.817030,263.000000,83.970027,12.638932,0.017658,0.526381,2.847003,86.901550,96.626616,96.608958,83.970027,0.000000,12.638932,0.000000,6,7
"ac_dc/Back_In_Black/01-Hells_Bells",77.722826,312.000000,77.707942,15.682764,0.000000,6.594410,0.014885,83.207361,93.390705,93.390705,77.707942,0.000000,15.682764,0.000000,5,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",72.798538,239.000000,72.681952,24.484898,0.008463,2.708101,0.116586,74.794667,97.175314,97.166851,72.681952,0.000000,24.484898,0.000000,6,6
"aerosmith/Nine_Lives/02-Falling_In_Love",59.959281,205.000000,56.055913,23.366038,0.000000,16.674681,3.903368,70.579874,79.421951,79.421951,56.055913,0.000000,23.366038,0.000000,7,10
"alanis_morissette/MTV_Unplugged/08-Ironic",74.100901,253.000000,66.540183,20.838869,0.000000,5.060231,7.560718,76.151185,87.379051,87.379051,66.540183,0.000000,20.838869,0.000000,7,8
"alanis_morissette/MTV_Unplugged/12-Uninvited",81.450040,277.000000,71.302588,9.949410,0.459915,8.140635,10.147451,87.260946,81.711913,81.251999,71.302588,0.000000,9.949410,0.000000,2,5
"all_saints/All_Saints/01-Never_Ever",85.167786,387.000000,85.151591,13.568823,0.000000,1.263391,0.016195,86.255302,98.720413,98.720413,85.151591,0.000000,13.568823,0.000000,6,8
"aqua/Aquarium/05-Doctor_Jones",81.058274,203.000000,79.634417,16.959179,0.000000,1.982546,1.423858,82.442750,96.593596,96.593596,79.634417,0.000000,16.959179,-0.000000,4,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",90.164265,213.000000,90.129985,8.235273,0.000000,1.600462,0.034280,91.627864,98.365258,98.365258,90.129985,0.000000,8.235273,0.000000,7,7
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",86.986533,235.000000,86.595223,12.099842,0.069191,0.844435,0.391310,87.678708,98.764255,98.695064,86.595223,0.000000,12.099842,-0.000000,9,9
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",75.794984,223.000000,75.774159,22.198935,0.000000,2.006081,0.020825,77.341804,97.973094,97.973094,75.774159,0.000000,22.198935,0.000000,11,12
"beach_boys/Pet_Sounds/08-God_Only_Knows",80.278544,171.000000,80.246560,12.794376,0.000000,6.927080,0.031985,86.248659,93.040936,93.040936,80.246560,0.000000,12.794376,-0.000000,10,11
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",89.039395,126.000000,88.412824,9.314160,0.000000,1.646446,0.626570,90.469204,97.726984,97.726984,88.412824,0.000000,9.314160,-0.000000,4,7
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",76.025910,149.394000,75.748274,21.248259,0.000000,2.725832,0.277636,78.093796,96.996533,96.996533,75.748274,0.000000,21.248259,-0.000000,3,8
"beck/Mellow_Gold/01-Loser",44.842052,235.000000,43.441637,46.200622,5.146677,3.810648,1.400416,45.829860,94.788936,89.642259,43.441637,0.000000,46.200622,0.000000,2,7
"bette_midler/The_Rose/12-The_Rose",86.066628,220.000000,85.992537,9.726577,2.226796,1.980000,0.074091,87.795945,97.945909,95.719114,85.992537,0.000000,9.726577,0.000000,5,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",73.599931,298.000000,73.570407,7.196707,0.000000,19.203362,0.029524,91.089557,80.767114,80.767114,73.570407,0.000000,7.196707,0.000000,7,8
"billy_joel/Piano_Man/02-Piano_Man",79.283497,338.000000,79.228539,20.678858,0.000000,0.037645,0.054958,79.301975,99.907396,99.907396,79.228539,0.000000,20.678858,0.000000,6,8
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",76.008048,290.000000,75.992035,22.150379,0.000000,1.841572,0.016014,77.430370,98.142414,98.142414,75.992035,0.000000,22.150379,-0.000000,8,8
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",79.267546,235.000000,79.247784,17.923536,0.691658,2.117260,0.019762,80.978308,97.862979,97.171321,79.247784,0.000000,17.923536,0.000000,5,12
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",77.405699,201.000000,77.382595,20.667156,0.000000,1.927144,0.023104,78.921766,98.049751,98.049751,77.382595,0.000000,20.667156,-0.000000,10,10
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",67.073565,478.000000,66.967948,29.265436,1.467035,2.193964,0.105618,68.544177,97.700418,96.233384,66.967948,0.000000,29.265436,0.000000,7,11
"black_sabbath/Paranoid/04-Iron_Man",35.153003,358.000000,32.649399,12.317082,0.000000,52.529916,2.503604,72.608304,44.966480,44.966480,32.649399,0.000000,12.317082,0.000000,7,9
"blessid_union_of_souls/The_Singles/14-I_Believe",82.261394,234.269000,82.241571,17.244227,0.169727,0.324652,0.019823,82.525852,99.655524,99.485798,82.241571,0.000000,17.244227,0.000000,4,6
"blink_182/Enema_Of_The_State/10-Mutt",87.793694,203.000000,87.061637,12.111762,0.000000,0.094543,0.732058,87.787287,99.173399,99.173399,87.061637,0.000000,12.111762,-0.000000,5,5
