MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",93.578145,233.750000,93.409273,6.383669,0.000000,0.038186,0.168872,93.603086,99.792941,99.792941,93.409273,0.000000,6.383669,0.000000,5,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",84.450497,228.000000,81.143292,12.767120,0.279062,2.503321,3.307206,86.149002,94.189474,93.910412,81.143292,0.000000,12.767120,0.000000,7,7
"abba/Arrival/02-Dancing_Queen",90.781493,230.000000,89.448849,8.865610,0.022932,0.329965,1.332643,90.961178,98.337391,98.314459,89.448849,0.000000,8.865610,-0.000000,6,6
"abba/Live/03-I_Have_A_Dream",94.345921,263.000000,93.520800,2.470763,1.686384,1.496931,0.825122,95.744027,97.677947,95.991563,93.520800,0.000000,2.470763,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",83.560516,219.000000,80.294062,15.180845,0.927377,0.331262,3.266454,83.290623,96.402283,95.474907,80.294062,0.000000,15.180845,-0.000000,8,7
"abba/Live/08-Fernando",91.885748,324.000000,90.215918,1.987477,0.000000,6.126775,1.669830,97.844464,92.203395,92.203395,90.215918,0.000000,1.987477,-0.000000,5,5
"abba/Live/10-Super_Trouper",95.717959,263.000000,92.344575,4.190400,0.091641,0.000000,3.373384,95.568466,96.626616,96.534975,92.344575,0.000000,4.190400,-0.000000,6,6
"ac_dc/Back_In_Black/01-Hells_Bells",77.735562,312.000000,77.609043,15.781662,0.000000,6.482776,0.126519,83.101464,93.390705,93.390705,77.609043,0.000000,15.781662,-0.000000,5,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",70.874534,239.000000,70.651078,26.524236,0.000000,2.601231,0.223456,72.704760,97.175314,97.175314,70.651078,0.000000,26.524236,0.000000,6,6
"aerosmith/Nine_Lives/02-Falling_In_Love",63.824940,205.000000,59.751670,19.670282,0.000000,16.504778,4.073270,75.233193,79.421951,79.421951,59.751670,0.000000,19.670282,0.000000,7,8
"alanis_morissette/MTV_Unplugged/08-Ironic",79.368412,253.000000,70.687996,16.691055,0.000000,3.940533,8.680416,80.898104,87.379051,87.379051,70.687996,0.000000,16.691055,0.000000,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",85.739413,277.000000,72.800538,7.034792,1.876583,5.349211,12.938875,89.094154,81.711913,79.835330,72.800538,0.000000,7.034792,-0.000000,2,6
"all_saints/All_Saints/01-Never_Ever",96.052004,387.000000,95.099810,3.620603,0.000000,0.327393,0.952193,96.332467,98.720413,98.720413,95.099810,0.000000,3.620603,0.000000,6,5
"aqua/Aquarium/05-Doctor_Jones",87.842766,203.000000,84.994799,11.513037,0.085760,0.558437,2.847966,87.992168,96.593596,96.507836,84.994799,0.000000,11.513037,-0.000000,4,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",89.595155,213.000000,89.222932,9.142326,0.000000,1.262519,0.372223,90.705737,98.365258,98.365258,89.222932,0.000000,9.142326,0.000000,7,7
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",94.761488,235.000000,94.040212,4.704256,0.019787,0.498606,0.737139,95.216849,98.764255,98.744469,94.040212,0.000000,4.704256,-0.000000,9,8
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",81.123963,223.000000,80.324191,17.648903,0.000000,1.227134,0.799772,81.985969,97.973094,97.973094,80.324191,0.000000,17.648903,-0.000000,11,11
"beach_boys/Pet_Sounds/08-God_Only_Knows",78.961720,171.000000,77.354581,15.686355,0.000000,5.351925,1.607140,83.140373,93.040936,93.040936,77.354581,0.000000,15.686355,0.000000,10,9
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",96.569361,126.000000,96.237647,1.489337,0.000000,1.941302,0.331714,98.476023,97.726984,97.726984,96.237647,0.000000,1.489337,0.000000,4,4
