MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",78.043219,104.815000,77.581453,20.548586,1.408195,0.000000,0.461766,77.330178,39.101274,-nan,0.000000,-nan,0.000000,78.336780,60.436960,-nan,0.000000,77.581453,10.919239,0.935935,8.693412,0.000000,77.581453,2.930878,4.654868,12.962839,3,7
"a_ha/Hunting_High_and_Low/01-Take_On_Me",42.576754,228.000000,39.270175,53.668860,1.250439,2.503947,3.306579,94.308825,30.202193,0.000000,6.283333,0.000000,16.307018,69.130875,15.603509,0.000000,25.793421,39.270175,41.441667,5.809211,3.714474,2.703509,39.270175,37.271930,2.005263,14.391667,13,7
"abba/Arrival/02-Dancing_Queen",79.411739,230.000000,77.768261,20.551739,0.017391,0.019130,1.643478,90.887676,71.613478,0.000000,0.873478,0.000000,10.171739,95.139455,13.328261,0.000000,2.350435,77.768261,12.695217,6.417826,1.438696,0.000000,77.768261,12.525652,5.780870,2.245217,11,7
"abba/Live/03-I_Have_A_Dream",50.690344,250.310000,48.448724,48.932124,0.179378,0.198154,2.241620,97.998368,49.438297,-nan,0.000000,0.000000,48.121929,-nan,0.000000,-nan,0.000000,48.448724,47.292957,0.810195,0.828972,0.000000,48.448724,47.292957,0.810195,0.828972,3,3
"abba/Live/06-Thank_You_for_The_Music",47.431937,203.597000,43.562037,48.828814,3.739250,0.000000,3.869900,83.655583,31.550563,-nan,0.000000,0.000000,27.118769,70.772844,24.258216,0.000000,13.202552,43.562037,37.417545,3.919508,5.777099,1.714662,43.562037,37.478450,3.308988,8.041376,15,14
"abba/Live/08-Fernando",59.741667,324.000000,52.172840,28.352469,11.678086,0.227778,7.568827,91.668638,46.974074,-nan,0.000000,0.000000,34.953086,88.673975,10.276235,-nan,0.000000,52.172840,26.274074,1.301543,0.776852,0.000000,52.172840,26.174691,1.237037,0.940741,10,8
"abba/Live/10-Super_Trouper",89.845627,263.000000,86.472243,5.858555,4.295817,0.000000,3.373384,92.049729,75.603042,-nan,0.000000,-nan,0.000000,80.290096,21.023574,-nan,0.000000,86.472243,1.319392,4.382129,0.157034,0.000000,86.472243,0.007605,3.609125,2.241825,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",24.415212,56.559000,5.001856,58.538871,0.000000,17.045917,19.413356,28.138055,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,45.764600,5.001856,42.587387,14.521120,1.430365,0.000000,5.001856,45.764600,12.544423,0.229848,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",45.045390,106.961000,41.287011,52.401343,0.000000,2.553267,3.758379,55.059472,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,41.287011,5.425342,33.110199,13.865802,0.000000,41.287011,5.425342,29.483644,17.492357,3,5
"aerosmith/Nine_Lives/02-Falling_In_Love",21.060007,72.075000,5.645508,35.825182,0.000000,43.114811,15.414499,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.613249,41.470690,-nan,0.000000,5.645508,27.206382,6.887270,1.731530,0.000000,5.645508,0.087409,0.584114,35.153659,2,6
"alanis_morissette/MTV_Unplugged/08-Ironic",55.121565,208.530000,41.895171,42.653815,0.138589,2.086031,13.226394,85.493404,49.003980,0.000000,13.325661,-nan,0.000000,-nan,0.000000,0.000000,22.357934,41.895171,30.978756,6.364072,4.772455,0.538532,41.895171,30.130916,5.808277,6.714621,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",70.526476,92.103000,29.830733,11.650001,3.517801,14.305723,40.695743,72.057747,16.319772,-nan,0.000000,0.000000,8.296147,88.659245,20.382615,-nan,0.000000,29.830733,9.726068,1.855531,0.068402,0.000000,29.830733,8.227745,1.042311,2.379944,4,4
"all_saints/All_Saints/01-Never_Ever",61.264083,387.000000,60.168475,38.551938,0.000000,0.183979,1.095607,92.258806,65.217054,-nan,0.000000,0.000000,22.135659,-nan,0.000000,0.000000,11.367700,60.168475,25.795607,7.493798,5.262532,0.000000,60.168475,29.449354,3.547545,5.555039,9,9
"aqua/Aquarium/05-Doctor_Jones",77.241223,189.294000,73.588175,22.523693,0.235084,0.000000,3.653048,80.145377,83.360804,-nan,0.000000,-nan,0.000000,52.196729,12.986149,-nan,0.000000,73.588175,5.872347,8.529061,8.122286,0.000000,73.588175,0.000000,13.579934,8.943759,4,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",88.084915,208.492000,86.506916,11.822996,0.000000,0.092090,1.577998,90.028890,58.107745,-nan,0.000000,0.000000,3.321950,92.663842,36.900217,-nan,0.000000,86.506916,5.565202,3.435144,2.822650,0.000000,86.506916,3.088848,4.322468,4.411680,11,10
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",80.268741,232.864000,79.021661,19.479610,0.251649,0.000000,1.247080,93.867920,44.861808,-nan,0.000000,0.000000,16.143758,97.783845,37.747355,-nan,0.000000,79.021661,14.432029,0.896661,3.761423,0.389498,79.021661,13.837261,2.130857,3.511492,12,10
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",46.351702,218.691000,44.660274,52.970630,0.302253,0.375416,1.691428,74.467087,54.593467,0.000000,20.267867,0.000000,2.320169,88.441349,4.529679,0.000000,16.221975,44.660274,33.053944,9.210713,9.055242,1.650731,44.660274,29.538024,11.207594,12.225012,21,14
"beach_boys/Pet_Sounds/08-God_Only_Knows",62.530299,146.457000,60.455970,31.417413,0.001366,6.050923,2.074329,93.158063,64.148521,-nan,0.000000,0.000000,1.429771,100.000000,0.696450,0.000000,25.600005,60.455970,24.460422,3.842766,3.114225,0.000000,60.455970,23.718907,3.504783,4.193722,10,10
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",95.656349,126.000000,93.383333,3.664286,0.679365,0.000000,2.273016,95.555321,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.383333,0.930159,2.273016,0.461111,0.000000,93.383333,0.930159,2.434127,0.300000,4,5
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",86.512810,130.598000,83.077076,12.164811,1.322379,0.000000,3.435734,86.032939,96.564266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.077076,0.000000,1.998499,10.166312,0.000000,83.077076,0.000000,12.164811,0.000000,3,3
"beck/Mellow_Gold/01-Loser",84.624020,183.507000,79.487976,10.405598,3.433112,1.537271,5.136044,91.158843,87.197219,-nan,0.000000,0.000000,6.129466,-nan,0.000000,-nan,0.000000,79.487976,1.197774,6.906004,2.301820,0.000000,79.487976,1.197774,6.126742,3.081081,2,10
"bette_midler/The_Rose/12-The_Rose",88.824723,181.821000,86.375611,11.138977,0.000000,0.036299,2.449112,96.236504,86.192464,0.000000,1.978319,0.000000,1.302380,99.504950,3.444047,0.000000,4.597379,86.375611,5.213369,3.593094,2.332514,0.000000,86.375611,3.689343,3.229000,4.220635,8,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",60.895638,298.000000,57.086913,23.680201,0.000000,15.424161,3.808725,95.590624,41.316779,0.000000,17.777852,-nan,0.000000,98.336178,17.889597,0.000000,3.782886,57.086913,20.223490,1.807047,1.532886,0.116779,57.086913,18.037248,1.426174,4.216779,8,9
"billy_joel/Piano_Man/02-Piano_Man",66.431065,338.000000,66.348225,31.997041,1.562130,0.009763,0.082840,85.721151,74.496746,0.000000,3.967751,0.000000,14.115089,92.348227,2.694970,0.000000,4.632840,66.348225,19.698225,5.730473,6.568343,0.000000,66.348225,15.944379,6.165680,9.886982,12,8
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",22.627607,274.417000,21.728246,76.235073,0.073611,1.063710,0.899361,61.029977,34.609007,0.000000,17.002591,0.000000,10.582435,19.606457,3.092738,0.000000,32.750158,21.728246,51.338656,10.500807,14.395245,0.000364,21.728246,50.577770,12.552429,13.104873,16,12
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",80.702553,235.000000,79.072766,18.790213,0.000000,0.507234,1.629787,88.441112,84.451915,-nan,0.000000,0.000000,6.707660,77.471040,5.657021,0.000000,1.046383,79.072766,8.359149,5.547234,4.883830,0.000000,79.072766,6.301702,7.955745,4.532766,9,7
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",59.349347,181.141000,57.198536,40.370209,0.267195,0.013249,2.150811,87.775801,56.171159,0.000000,6.297856,0.000000,18.834499,72.675985,10.861704,0.000000,5.670721,57.198536,30.395659,7.126493,2.824319,0.023738,57.198536,25.899713,6.179716,8.290779,22,13
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",42.053804,174.486000,36.150751,56.969614,0.579989,0.396593,5.903052,78.990789,45.294178,-nan,0.000000,-nan,0.000000,2.989880,12.459452,0.000000,35.946724,36.150751,15.315269,40.886948,0.767397,0.000000,36.150751,49.783364,5.887005,1.299245,5,5
"black_sabbath/Paranoid/04-Iron_Man",11.979508,209.249000,0.744090,5.092975,0.007168,82.920348,11.235418,12.732030,5.844233,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.744090,0.000000,4.369913,0.723062,0.000000,0.744090,0.000000,5.092975,0.000000,1,6
"blessid_union_of_souls/The_Singles/14-I_Believe",85.992598,234.269000,85.680991,13.945080,0.029453,0.032868,0.311608,96.203292,75.338606,0.000000,1.099591,-nan,0.000000,86.522323,15.259381,0.000000,7.957946,85.680991,10.414523,1.153802,2.193632,0.183123,85.680991,8.846668,2.132591,2.965821,6,5
"blink_182/Enema_Of_The_State/10-Mutt",87.747294,32.148000,82.527684,7.960060,4.292647,0.000000,5.219609,87.072530,94.780391,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.527684,0.687446,7.272614,0.000000,0.000000,82.527684,0.000000,7.272614,0.687446,2,3
"blondie/Parallel_Lines/02-One_Way_or_Another",72.183099,137.456000,68.491008,26.551042,0.000000,1.265860,3.692091,90.061607,76.049063,-nan,0.000000,0.000000,16.789373,-nan,0.000000,0.000000,2.203614,68.491008,22.674892,3.812856,0.063293,0.000000,68.491008,23.203789,1.956262,1.390991,8,9
"bob_marley/Exodus/01-Natural_Mystic",91.528564,207.273000,90.037776,7.723630,0.054517,0.693289,1.490788,90.632184,9.234198,-nan,0.000000,-nan,0.000000,92.195789,88.581726,-nan,0.000000,90.037776,0.217105,6.443676,1.062849,0.000000,90.037776,0.217105,5.543896,1.962629,3,6
"bob_marley/Exodus/06-Jamming",56.240284,211.000000,54.481991,37.613744,2.146919,3.999052,1.758294,86.092485,23.182938,-nan,0.000000,0.000000,16.819905,80.550242,42.859242,0.000000,11.380569,54.481991,23.595735,9.169668,4.124645,0.723697,54.481991,24.100000,2.085308,11.428436,8,6
