MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",93.260578,104.815000,92.883972,6.654262,0.000000,0.085160,0.376606,90.221343,39.101274,-nan,0.000000,-nan,0.000000,95.316306,60.436960,-nan,0.000000,92.883972,3.211504,0.098532,3.344225,0.000000,92.883972,1.124158,2.410380,3.119724,3,6
"a_ha/Hunting_High_and_Low/01-Take_On_Me",54.336270,228.000000,51.029065,42.881347,0.279062,2.503321,3.307206,91.414365,30.202193,0.275746,6.283333,3.679507,16.307018,69.348135,15.603509,46.453068,25.793421,51.029065,33.811770,4.837022,2.445270,1.787285,51.029065,30.114227,2.295091,10.472029,13,12
"abba/Arrival/02-Dancing_Queen",82.686630,230.000000,81.353987,16.960472,0.022932,0.329965,1.332643,89.867026,71.613478,0.000000,0.873478,19.381440,10.171739,95.100325,13.328261,100.000000,2.350435,81.353987,8.275628,7.368844,1.316001,0.000000,81.353987,8.094862,6.405070,2.460540,11,9
"abba/Live/03-I_Have_A_Dream",68.876970,250.310000,68.010017,28.541383,1.008825,1.572822,0.866953,96.160161,49.438297,-nan,0.000000,42.537927,48.121929,-nan,0.000000,-nan,0.000000,68.010017,26.793506,0.654495,1.093382,0.000000,68.010017,26.793506,0.654495,1.093382,3,4
"abba/Live/06-Thank_You_for_The_Music",57.270611,203.597000,53.757035,42.003240,0.369826,0.356324,3.513576,82.763323,31.550563,-nan,0.000000,30.310552,27.118769,47.357066,24.258216,60.116500,13.202552,53.757035,31.247226,3.510089,7.245925,0.000000,53.757035,29.209748,3.616245,9.177247,15,19
"abba/Live/08-Fernando",69.054109,324.000000,67.384279,24.819116,0.000000,6.126775,1.669830,92.763404,46.974074,-nan,0.000000,39.983733,34.953086,95.696337,10.276235,-nan,0.000000,67.384279,22.930616,1.031819,0.856682,0.000000,67.384279,22.831639,0.983316,1.004161,10,11
"abba/Live/10-Super_Trouper",95.712165,263.000000,92.338781,4.196194,0.091641,0.000000,3.373384,96.663929,75.603042,-nan,0.000000,-nan,0.000000,91.601504,21.023574,-nan,0.000000,92.338781,0.290831,3.739751,0.165613,0.000000,92.338781,0.005794,3.365514,0.824886,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",18.503572,56.559000,17.805647,45.735080,0.000000,35.761348,0.697925,40.827761,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.048497,45.764600,17.805647,29.291187,15.225631,1.218261,0.000000,17.805647,30.414258,14.305271,1.015551,3,8
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",41.743307,106.961000,41.244005,52.444349,0.000000,5.812344,0.499303,55.002120,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,41.244005,5.425342,33.360194,13.658813,0.000000,41.244005,5.425342,33.742205,13.276802,3,4
"aerosmith/Nine_Lives/02-Falling_In_Love",18.641293,72.075000,7.055856,34.414835,0.000000,46.943872,11.585438,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.014078,41.470690,-nan,0.000000,7.055856,26.007187,6.661520,1.746128,0.000000,7.055856,0.072811,1.546997,32.795027,2,6
